,Time,IN1,IN2,OUTCHANGED,CORRECT
107,107,1,1,0,1
108,108,0,1,0,0
109,109,0,1,1,1
110,110,1,1,0,1
111,111,0,1,1,1
112,112,1,1,0,1
113,113,0,0,0,1
114,114,1,0,1,1
115,115,1,0,1,1
116,116,1,1,1,0
117,117,0,1,1,1
118,118,1,1,1,0
119,119,1,1,1,0
120,120,1,1,1,0
121,121,0,0,0,1
122,122,1,1,0,1
123,123,0,1,1,1
124,124,0,0,0,1
125,125,0,0,1,0
126,126,1,0,1,1
127,127,0,1,0,0
128,128,0,0,0,1
129,129,1,0,1,1
130,130,1,0,1,1
131,131,0,0,0,1
132,132,0,0,1,0
133,133,1,0,1,1
134,134,1,1,0,1
135,135,1,1,0,1
136,136,0,0,1,0
137,137,1,0,0,0
138,138,0,1,0,0
139,139,1,1,0,1
140,140,1,0,1,1
141,141,1,0,0,0
142,142,1,1,1,0
143,143,0,1,1,1
144,144,1,0,1,1
145,145,1,1,1,0
146,146,0,0,0,1
147,147,1,0,0,0
148,148,0,1,1,1
149,149,1,1,0,1
150,150,1,1,1,0
151,151,1,0,1,1
152,152,0,0,1,0
153,153,1,1,1,0
154,154,0,1,1,1
155,155,0,1,0,0
156,156,1,1,1,0
157,157,1,1,1,0
158,158,0,0,0,1
159,159,0,0,0,1
160,160,0,1,1,1
161,161,1,1,1,0
162,162,0,1,1,1
163,163,0,1,0,0
164,164,1,1,0,1
165,165,1,1,1,0
166,166,1,1,0,1
167,167,1,1,0,1
168,168,1,1,1,0
169,169,1,0,0,0
170,170,0,1,0,0
171,171,1,0,1,1
172,172,0,0,1,0
173,173,1,0,0,0
174,174,1,1,1,0
175,175,0,1,1,1
176,176,1,0,0,0
177,177,0,1,1,1
178,178,0,1,1,1
179,179,1,0,0,0
180,180,1,0,0,0
181,181,1,0,1,1
182,182,1,0,1,1
183,183,1,1,1,0
184,184,0,0,1,0
185,185,1,0,1,1
186,186,0,1,1,1
187,187,1,1,1,0
188,188,1,0,1,1
189,189,0,0,0,1
190,190,0,0,0,1
191,191,1,1,0,1
192,192,0,0,1,0
193,193,0,1,1,1
194,194,1,0,1,1
195,195,0,1,0,0
196,196,1,0,1,1
197,197,1,0,1,1
198,198,0,0,1,0
199,199,0,0,0,1
200,200,0,1,1,1
201,201,1,1,0,1
202,202,1,0,0,0
203,203,0,1,0,0
204,204,0,0,0,1
205,205,0,1,1,1
206,206,1,0,0,0
207,207,1,1,1,0
208,208,1,1,0,1
209,209,1,1,1,0
210,210,0,0,1,0
211,211,0,1,0,0
212,212,0,0,0,1
213,213,0,1,0,0
214,214,0,0,0,1
215,215,1,0,0,0
216,216,0,1,0,0
217,217,1,1,1,0
218,218,1,1,0,1
219,219,1,0,1,1
220,220,1,1,0,1
221,221,0,0,1,0
222,222,1,1,0,1
223,223,1,1,0,1
224,224,1,1,1,0
225,225,1,1,1,0
226,226,1,1,0,1
227,227,0,1,1,1
228,228,0,1,1,1
229,229,0,0,0,1
230,230,0,1,1,1
231,231,1,0,0,0
232,232,1,1,1,0
233,233,0,0,1,0
234,234,1,0,1,1
235,235,0,1,1,1
236,236,1,1,0,1
237,237,0,0,1,0
238,238,0,1,0,0
239,239,1,1,1,0
240,240,1,0,1,1
241,241,0,1,0,0
242,242,0,1,1,1
243,243,1,1,0,1
244,244,1,0,1,1
245,245,1,0,1,1
246,246,0,1,0,0
247,247,1,0,1,1
248,248,0,0,1,0
249,249,0,0,1,0
250,250,1,0,1,1
251,251,0,0,1,0
252,252,0,0,1,0
253,253,0,0,0,1
254,254,0,1,0,0
255,255,0,1,0,0
256,256,0,0,0,1
257,257,1,0,1,1
258,258,0,1,1,1
259,259,1,1,1,0
260,260,1,0,0,0
261,261,0,0,1,0
262,262,0,0,0,1
263,263,0,0,0,1
264,264,0,0,1,0
265,265,1,1,1,0
266,266,1,0,0,0
267,267,0,0,1,0
268,268,0,1,1,1
269,269,1,1,1,0
270,270,1,1,0,1
271,271,0,1,1,1
272,272,0,1,0,0
273,273,0,0,0,1
274,274,0,0,1,0
275,275,0,1,1,1
276,276,0,0,0,1
277,277,0,1,0,0
278,278,1,1,1,0
279,279,1,0,1,1
280,280,1,0,0,0
281,281,0,0,1,0
282,282,1,1,1,0
283,283,1,0,1,1
284,284,1,0,1,1
285,285,0,1,0,0
286,286,0,1,0,0
287,287,0,1,1,1
288,288,1,0,1,1
289,289,0,0,1,0
290,290,0,1,1,1
291,291,1,1,0,1
292,292,1,0,0,0
293,293,1,1,1,0
294,294,1,0,1,1
295,295,1,1,0,1
296,296,1,1,1,0
297,297,0,1,1,1
298,298,1,0,0,0
299,299,0,0,0,1
300,300,1,1,1,0
301,301,0,0,0,1
302,302,1,1,0,1
303,303,1,1,0,1
304,304,1,1,0,1
305,305,0,0,1,0
306,306,1,0,1,1
307,307,0,0,1,0
308,308,1,1,0,1
309,309,1,0,1,1
310,310,0,1,1,1
311,311,0,0,1,0
312,312,0,1,1,1
313,313,0,0,1,0
314,314,0,0,1,0
315,315,0,1,1,1
316,316,0,1,0,0
317,317,1,1,0,1
318,318,0,1,0,0
319,319,1,0,1,1
320,320,0,1,0,0
321,321,0,0,1,0
322,322,0,0,1,0
323,323,0,0,0,1
324,324,0,0,1,0
325,325,1,0,0,0
326,326,1,0,0,0
327,327,0,0,1,0
328,328,1,1,1,0
329,329,0,1,0,0
330,330,0,0,1,0
331,331,0,1,1,1
332,332,0,1,0,0
333,333,1,1,0,1
334,334,0,0,1,0
335,335,0,1,1,1
336,336,1,0,1,1
337,337,1,0,0,0
338,338,1,1,0,1
339,339,0,1,0,0
340,340,0,0,0,1
341,341,0,1,0,0
342,342,1,0,1,1
343,343,1,1,0,1
344,344,0,1,0,0
345,345,0,0,0,1
346,346,1,1,0,1
347,347,0,1,1,1
348,348,1,0,1,1
349,349,1,1,0,1
350,350,1,1,1,0
351,351,1,1,1,0
352,352,0,0,0,1
353,353,1,1,0,1
354,354,1,1,1,0
355,355,1,0,1,1
356,356,0,1,0,0
357,357,1,0,1,1
358,358,1,0,0,0
359,359,0,1,1,1
360,360,0,0,0,1
361,361,1,0,1,1
362,362,0,0,1,0
363,363,0,0,0,1
364,364,1,1,1,0
365,365,1,1,1,0
366,366,0,0,1,0
367,367,1,1,0,1
368,368,0,0,0,1
369,369,0,0,1,0
370,370,0,1,0,0
371,371,0,0,1,0
372,372,1,0,1,1
373,373,0,1,1,1
374,374,1,0,0,0
375,375,1,0,0,0
376,376,1,0,0,0
377,377,1,0,1,1
378,378,0,1,0,0
379,379,1,1,1,0
380,380,0,0,1,0
381,381,0,0,1,0
382,382,0,0,0,1
383,383,0,0,0,1
384,384,1,0,0,0
385,385,1,1,1,0
386,386,0,0,0,1
387,387,0,0,0,1
388,388,1,0,1,1
389,389,0,0,1,0
390,390,1,1,0,1
391,391,0,1,0,0
392,392,1,0,1,1
393,393,1,0,1,1
394,394,1,1,0,1
395,395,0,0,0,1
396,396,1,0,1,1
397,397,1,0,1,1
398,398,1,1,0,1
399,399,1,1,0,1
400,400,0,1,0,0
401,401,0,0,1,0
402,402,0,0,0,1
403,403,1,0,1,1
404,404,0,1,0,0
405,405,0,1,1,1
406,406,0,1,0,0
407,407,0,0,0,1
408,408,0,1,0,0
409,409,1,0,0,0
410,410,0,0,1,0
411,411,1,0,0,0
412,412,0,1,0,0
413,413,1,0,1,1
414,414,1,1,0,1
415,415,1,0,0,0
416,416,0,1,0,0
417,417,1,0,1,1
418,418,1,1,1,0
419,419,0,0,1,0
420,420,1,0,0,0
421,421,0,1,0,0
422,422,0,0,0,1
423,423,0,0,0,1
424,424,1,1,1,0
425,425,1,0,1,1
426,426,1,1,1,0
427,427,1,1,1,0
428,428,1,1,1,0
429,429,1,0,0,0
430,430,0,0,1,0
431,431,0,0,1,0
432,432,0,0,0,1
433,433,0,1,0,0
434,434,1,1,0,1
435,435,1,1,0,1
436,436,1,0,1,1
437,437,0,0,0,1
438,438,1,1,0,1
439,439,0,1,0,0
440,440,1,0,0,0
441,441,1,1,1,0
442,442,1,0,1,1
443,443,1,0,1,1
444,444,1,0,0,0
445,445,1,1,0,1
446,446,0,1,0,0
447,447,1,0,0,0
448,448,0,1,1,1
449,449,1,1,1,0
450,450,1,1,1,0
451,451,0,0,0,1
452,452,1,0,0,0
453,453,1,0,0,0
454,454,1,0,1,1
455,455,1,0,1,1
456,456,1,0,0,0
457,457,1,1,0,1
458,458,1,1,0,1
459,459,0,1,1,1
460,460,0,0,1,0
461,461,0,0,0,1
462,462,1,1,1,0
463,463,1,0,0,0
464,464,0,0,0,1
465,465,0,0,0,1
466,466,0,0,0,1
467,467,0,0,0,1
468,468,0,0,1,0
469,469,0,0,1,0
470,470,0,1,0,0
471,471,1,1,0,1
472,472,0,0,0,1
473,473,1,0,1,1
474,474,0,0,1,0
475,475,1,0,1,1
476,476,0,0,0,1
477,477,1,1,1,0
478,478,0,1,1,1
479,479,1,1,0,1
480,480,0,1,1,1
481,481,0,0,0,1
482,482,0,1,0,0
483,483,0,1,0,0
484,484,1,1,0,1
485,485,0,0,1,0
486,486,1,1,1,0
487,487,0,1,1,1
488,488,0,0,0,1
489,489,0,1,0,0
490,490,0,0,1,0
491,491,0,0,0,1
492,492,1,1,1,0
493,493,1,0,1,1
494,494,0,1,0,0
495,495,0,0,0,1
496,496,0,1,1,1
497,497,1,1,0,1
498,498,0,1,1,1
499,499,0,0,1,0
500,500,0,0,0,1
501,501,0,1,1,1
502,502,0,1,0,0
503,503,0,0,0,1
504,504,1,0,1,1
505,505,1,0,0,0
506,506,0,1,1,1
507,507,0,0,0,1
508,508,1,0,0,0
509,509,1,1,1,0
510,510,0,1,1,1
511,511,0,0,1,0
512,512,0,0,1,0
513,513,0,0,1,0
514,514,0,1,1,1
515,515,0,0,0,1
516,516,1,0,0,0
517,517,0,1,0,0
518,518,1,0,0,0
519,519,0,0,1,0
520,520,0,1,0,0
521,521,1,0,0,0
522,522,1,0,1,1
523,523,1,1,1,0
524,524,0,0,1,0
525,525,0,1,1,1
526,526,0,0,1,0
527,527,1,1,0,1
528,528,0,0,1,0
529,529,1,1,0,1
530,530,1,0,0,0
531,531,0,0,0,1
532,532,0,0,0,1
533,533,1,0,1,1
534,534,1,1,1,0
535,535,1,1,0,1
536,536,1,0,0,0
537,537,1,0,0,0
538,538,0,1,1,1
539,539,1,1,0,1
540,540,1,1,0,1
541,541,0,0,1,0
542,542,0,0,0,1
543,543,0,0,0,1
544,544,1,1,1,0
545,545,0,1,0,0
546,546,0,0,1,0
547,547,1,0,1,1
548,548,1,1,0,1
549,549,0,0,0,1
550,550,1,1,0,1
551,551,1,1,1,0
552,552,0,1,1,1
553,553,0,1,0,0
554,554,0,1,0,0
555,555,0,1,0,0
556,556,1,1,1,0
557,557,0,1,1,1
558,558,1,1,1,0
559,559,0,1,0,0
560,560,0,0,0,1
561,561,0,0,0,1
562,562,0,0,1,0
563,563,0,0,0,1
564,564,1,0,1,1
565,565,0,1,1,1
566,566,1,0,0,0
567,567,1,0,0,0
568,568,0,1,0,0
569,569,0,0,1,0
570,570,1,1,0,1
571,571,1,1,1,0
572,572,0,0,0,1
573,573,1,0,1,1
574,574,0,1,0,0
575,575,0,0,0,1
576,576,1,0,1,1
577,577,0,0,1,0
578,578,1,1,1,0
579,579,0,0,0,1
580,580,0,0,0,1
581,581,1,1,0,1
582,582,0,0,0,1
583,583,1,1,1,0
584,584,0,0,1,0
585,585,0,0,1,0
586,586,0,0,0,1
587,587,1,1,1,0
588,588,1,0,1,1
589,589,0,1,0,0
590,590,0,0,0,1
591,591,0,1,0,0
592,592,1,0,1,1
593,593,0,1,0,0
594,594,0,0,1,0
595,595,0,1,1,1
596,596,0,0,1,0
597,597,0,1,1,1
598,598,0,1,0,0
599,599,1,0,1,1
600,600,1,1,1,0
601,601,0,1,1,1
602,602,1,1,0,1
603,603,0,0,1,0
604,604,0,1,0,0
605,605,0,1,0,0
606,606,0,1,1,1
607,607,1,1,0,1
608,608,0,0,1,0
609,609,1,1,1,0
610,610,1,0,1,1
611,611,0,0,0,1
612,612,0,1,0,0
613,613,0,1,1,1
614,614,0,1,0,0
615,615,0,0,0,1
616,616,1,1,1,0
617,617,1,0,0,0
618,618,1,0,0,0
619,619,0,0,1,0
620,620,1,1,0,1
621,621,0,0,1,0
622,622,0,1,0,0
623,623,0,0,1,0
624,624,0,1,1,1
625,625,0,1,1,1
626,626,0,1,1,1
627,627,0,0,0,1
628,628,0,1,1,1
629,629,1,1,1,0
630,630,0,1,0,0
631,631,0,1,0,0
632,632,1,1,1,0
633,633,1,1,1,0
634,634,0,0,1,0
635,635,0,1,0,0
636,636,0,0,0,1
637,637,0,0,0,1
638,638,1,1,0,1
639,639,1,0,0,0
640,640,0,0,0,1
641,641,0,1,0,0
642,642,0,0,0,1
643,643,1,0,1,1
644,644,0,1,0,0
645,645,1,1,1,0
646,646,0,1,1,1
647,647,1,1,1,0
648,648,1,1,0,1
649,649,0,0,0,1
650,650,1,0,0,0
651,651,0,1,1,1
652,652,1,1,0,1
653,653,1,0,0,0
654,654,0,1,1,1
655,655,1,1,0,1
656,656,1,1,0,1
657,657,0,0,1,0
658,658,1,1,1,0
659,659,0,1,0,0
660,660,1,1,0,1
661,661,1,1,1,0
662,662,1,0,1,1
663,663,0,0,1,0
664,664,0,0,0,1
665,665,1,1,0,1
666,666,0,1,0,0
667,667,1,0,0,0
668,668,0,0,1,0
669,669,1,1,0,1
670,670,1,0,0,0
671,671,0,1,0,0
672,672,0,0,0,1
673,673,0,0,1,0
674,674,0,1,0,0
675,675,1,0,0,0
676,676,0,1,0,0
677,677,0,0,1,0
678,678,1,1,0,1
679,679,0,0,0,1
680,680,1,1,0,1
681,681,0,0,1,0
682,682,1,1,1,0
683,683,1,0,1,1
684,684,0,1,1,1
685,685,1,1,0,1
686,686,0,1,1,1
687,687,0,1,1,1
688,688,0,1,0,0
689,689,0,1,0,0
690,690,1,1,1,0
691,691,1,1,0,1
692,692,1,0,1,1
693,693,1,1,1,0
694,694,1,1,0,1
695,695,0,0,1,0
696,696,1,1,0,1
697,697,1,1,0,1
698,698,0,0,0,1
699,699,1,1,1,0
700,700,1,1,1,0
701,701,1,1,0,1
702,702,1,1,1,0
703,703,1,0,1,1
704,704,1,1,1,0
705,705,1,0,1,1
706,706,0,1,0,0
707,707,1,1,1,0
708,708,1,1,0,1
709,709,1,0,0,0
710,710,0,0,1,0
711,711,0,1,0,0
712,712,0,0,1,0
713,713,1,1,1,0
714,714,0,0,1,0
715,715,0,1,1,1
716,716,1,1,0,1
717,717,1,0,1,1
718,718,0,1,1,1
719,719,0,0,0,1
720,720,0,1,1,1
721,721,0,1,1,1
722,722,1,1,1,0
723,723,1,0,1,1
724,724,1,1,0,1
725,725,0,0,1,0
726,726,1,0,1,1
727,727,0,1,0,0
728,728,0,0,0,1
729,729,1,0,0,0
730,730,0,1,1,1
731,731,1,1,0,1
732,732,1,1,1,0
733,733,1,1,1,0
734,734,1,1,0,1
735,735,0,1,1,1
736,736,0,1,1,1
737,737,0,0,0,1
738,738,0,0,0,1
739,739,1,0,0,0
740,740,0,1,0,0
741,741,1,0,1,1
742,742,0,1,0,0
743,743,1,1,1,0
744,744,0,1,0,0
745,745,1,0,1,1
746,746,0,1,1,1
747,747,1,1,1,0
748,748,1,1,0,1
749,749,1,0,1,1
750,750,1,0,0,0
751,751,0,0,1,0
752,752,1,0,0,0
753,753,0,0,1,0
754,754,1,1,0,1
755,755,0,1,0,0
756,756,0,1,0,0
757,757,1,1,0,1
758,758,1,1,1,0
759,759,0,1,0,0
760,760,0,0,0,1
761,761,1,1,1,0
762,762,1,0,1,1
763,763,1,0,0,0
764,764,0,1,1,1
765,765,1,1,0,1
766,766,0,1,0,0
767,767,0,1,0,0
768,768,1,0,0,0
769,769,1,1,0,1
770,770,0,0,1,0
771,771,0,1,1,1
772,772,1,1,0,1
773,773,1,1,1,0
774,774,1,0,1,1
775,775,1,1,1,0
776,776,0,1,1,1
777,777,0,0,0,1
778,778,0,0,1,0
779,779,1,0,1,1
780,780,0,0,1,0
781,781,1,1,0,1
782,782,1,0,1,1
783,783,1,0,0,0
784,784,1,0,0,0
785,785,1,1,1,0
786,786,1,0,1,1
787,787,1,0,1,1
788,788,1,1,0,1
789,789,1,0,0,0
790,790,0,0,1,0
791,791,1,1,1,0
792,792,0,0,1,0
793,793,0,1,1,1
794,794,0,1,0,0
795,795,0,0,1,0
796,796,1,1,0,1
797,797,0,0,1,0
798,798,1,1,1,0
799,799,0,1,0,0
800,800,1,0,1,1
801,801,1,0,0,0
802,802,1,0,0,0
803,803,1,0,1,1
804,804,1,0,1,1
805,805,1,0,0,0
806,806,1,1,1,0
807,807,0,1,0,0
808,808,1,0,1,1
809,809,0,0,0,1
810,810,1,0,1,1
811,811,1,1,1,0
812,812,0,1,1,1
813,813,0,1,0,0
814,814,0,0,0,1
815,815,1,1,1,0
816,816,0,1,1,1
817,817,1,1,1,0
818,818,1,1,0,1
819,819,1,0,1,1
820,820,1,0,0,0
821,821,1,0,0,0
822,822,1,1,1,0
823,823,1,1,0,1
824,824,1,0,0,0
825,825,0,0,0,1
826,826,1,1,1,0
827,827,0,1,1,1
828,828,0,0,1,0
829,829,1,1,0,1
830,830,1,1,0,1
831,831,0,0,0,1
832,832,1,0,1,1
833,833,0,1,0,0
834,834,0,0,1,0
835,835,0,1,1,1
836,836,1,1,0,1
837,837,1,0,1,1
838,838,0,0,0,1
839,839,0,1,0,0
840,840,0,1,0,0
841,841,0,1,0,0
842,842,1,1,0,1
843,843,1,0,0,0
844,844,0,1,0,0
845,845,1,0,1,1
846,846,0,1,1,1
847,847,0,0,0,1
848,848,1,0,1,1
849,849,1,0,0,0
850,850,0,0,1,0
851,851,1,1,1,0
852,852,1,0,0,0
853,853,0,0,0,1
854,854,1,1,1,0
855,855,1,1,1,0
856,856,1,1,1,0
857,857,1,1,1,0
858,858,0,1,0,0
859,859,0,1,0,0
860,860,0,0,1,0
861,861,1,0,0,0
862,862,1,1,1,0
863,863,1,1,0,1
864,864,0,1,0,0
865,865,0,1,1,1
866,866,0,0,1,0
867,867,0,1,0,0
868,868,1,1,1,0
869,869,1,0,1,1
870,870,1,0,1,1
871,871,0,1,0,0
872,872,0,1,1,1
873,873,0,0,0,1
874,874,1,0,1,1
875,875,0,0,1,0
876,876,1,1,0,1
877,877,1,0,0,0
878,878,1,1,0,1
879,879,0,0,0,1
880,880,0,0,1,0
881,881,0,0,0,1
882,882,0,0,0,1
883,883,0,1,0,0
884,884,0,0,0,1
885,885,1,0,0,0
886,886,1,0,0,0
887,887,0,0,0,1
888,888,1,1,0,1
889,889,0,1,0,0
890,890,1,0,0,0
891,891,1,0,1,1
892,892,1,1,1,0
893,893,0,1,0,0
894,894,1,0,1,1
895,895,1,0,1,1
896,896,1,1,0,1
897,897,0,0,0,1
898,898,0,1,1,1
899,899,0,1,1,1
900,900,0,1,1,1
901,901,1,0,1,1
902,902,1,1,1,0
903,903,1,0,0,0
904,904,1,1,0,1
905,905,0,1,1,1
906,906,0,1,0,0
907,907,1,1,1,0
908,908,1,0,0,0
909,909,0,1,0,0
910,910,1,1,0,1
911,911,1,0,0,0
912,912,0,1,0,0
913,913,0,1,1,1
914,914,1,0,1,1
915,915,0,0,0,1
916,916,1,0,0,0
917,917,1,1,1,0
918,918,1,0,1,1
919,919,0,1,0,0
920,920,1,0,0,0
921,921,1,0,0,0
922,922,0,0,0,1
923,923,0,0,0,1
924,924,0,1,1,1
925,925,1,0,1,1
926,926,0,1,0,0
927,927,1,1,1,0
928,928,1,1,1,0
929,929,1,0,0,0
930,930,1,1,1,0
931,931,0,0,0,1
932,932,0,0,1,0
933,933,1,0,1,1
934,934,0,0,0,1
935,935,0,0,1,0
936,936,1,1,0,1
937,937,0,1,0,0
938,938,0,0,0,1
939,939,1,1,0,1
940,940,0,0,0,1
941,941,1,0,1,1
942,942,0,1,0,0
943,943,1,0,0,0
944,944,0,1,1,1
945,945,1,1,1,0
946,946,0,1,0,0
947,947,0,1,0,0
948,948,0,0,0,1
949,949,1,0,0,0
950,950,0,1,1,1
951,951,0,1,1,1
952,952,0,1,0,0
953,953,1,1,1,0
954,954,0,1,1,1
955,955,1,1,0,1
956,956,0,1,1,1
957,957,1,0,0,0
958,958,0,0,0,1
959,959,1,0,1,1
960,960,1,0,1,1
961,961,0,1,0,0
962,962,0,1,0,0
963,963,0,1,0,0
964,964,0,0,0,1
965,965,0,1,1,1
966,966,0,1,1,1
967,967,0,0,1,0
968,968,0,0,0,1
969,969,0,1,0,0
970,970,1,0,1,1
971,971,1,0,1,1
972,972,0,1,1,1
973,973,1,0,0,0
974,974,1,1,0,1
975,975,1,1,1,0
976,976,1,1,0,1
977,977,1,0,1,1
978,978,0,0,0,1
979,979,1,1,0,1
980,980,1,0,0,0
981,981,0,0,0,1
982,982,0,1,1,1
983,983,1,0,1,1
984,984,1,0,0,0
985,985,1,0,0,0
986,986,0,1,1,1
987,987,0,1,0,0
988,988,1,1,0,1
989,989,1,0,1,1
990,990,1,0,1,1
991,991,1,1,0,1
992,992,1,1,0,1
993,993,0,1,1,1
994,994,0,1,1,1
995,995,1,1,0,1
996,996,1,0,1,1
997,997,1,1,1,0
998,998,1,1,0,1
999,999,1,1,0,1
1000,1000,1,1,1,0
1001,1001,1,1,0,1
1002,1002,1,0,1,1
1003,1003,1,1,1,0
1004,1004,0,0,1,0
1005,1005,1,1,0,1
1006,1006,0,0,0,1
1007,1007,1,0,0,0
1008,1008,1,1,1,0
1009,1009,0,0,0,1
1010,1010,0,0,0,1
1011,1011,0,0,1,0
1012,1012,1,0,0,0
1013,1013,0,0,0,1
1014,1014,1,1,1,0
1015,1015,1,1,1,0
1016,1016,1,0,1,1
1017,1017,0,1,1,1
1018,1018,1,0,0,0
1019,1019,1,1,1,0
1020,1020,0,1,1,1
1021,1021,0,1,1,1
1022,1022,0,0,1,0
1023,1023,1,0,0,0
1024,1024,1,0,1,1
1025,1025,0,0,1,0
1026,1026,1,0,1,1
1027,1027,1,0,0,0
1028,1028,1,0,0,0
1029,1029,1,1,0,1
1030,1030,1,1,0,1
1031,1031,1,0,1,1
1032,1032,1,0,1,1
1033,1033,0,0,1,0
1034,1034,1,1,0,1
1035,1035,1,0,0,0
1036,1036,0,1,0,0
1037,1037,0,1,0,0
1038,1038,1,0,1,1
1039,1039,0,0,1,0
1040,1040,1,0,0,0
1041,1041,0,0,1,0
1042,1042,0,1,1,1
1043,1043,0,0,1,0
1044,1044,1,0,1,1
1045,1045,0,1,1,1
1046,1046,1,1,1,0
1047,1047,1,0,1,1
1048,1048,1,0,1,1
1049,1049,1,1,1,0
1050,1050,1,0,1,1
1051,1051,1,0,1,1
1052,1052,0,0,0,1
1053,1053,1,0,0,0
1054,1054,0,0,1,0
1055,1055,1,0,0,0
1056,1056,1,1,1,0
1057,1057,0,1,0,0
1058,1058,0,0,0,1
1059,1059,1,0,1,1
1060,1060,1,1,0,1
1061,1061,0,0,0,1
1062,1062,1,1,1,0
1063,1063,0,1,1,1
1064,1064,0,1,1,1
1065,1065,0,0,0,1
1066,1066,0,1,0,0
1067,1067,1,1,1,0
1068,1068,0,1,0,0
1069,1069,0,1,1,1
1070,1070,0,0,1,0
1071,1071,1,0,0,0
1072,1072,0,0,0,1
1073,1073,1,0,0,0
1074,1074,1,0,0,0
1075,1075,0,0,0,1
1076,1076,0,1,1,1
1077,1077,1,1,0,1
1078,1078,1,0,1,1
1079,1079,1,1,1,0
1080,1080,1,0,0,0
1081,1081,0,0,0,1
1082,1082,0,0,1,0
1083,1083,1,0,0,0
1084,1084,0,0,1,0
1085,1085,1,0,0,0
1086,1086,1,1,1,0
1087,1087,1,1,1,0
1088,1088,1,1,1,0
1089,1089,0,0,1,0
1090,1090,0,1,0,0
1091,1091,0,1,1,1
1092,1092,0,0,0,1
1093,1093,0,0,1,0
1094,1094,1,1,0,1
1095,1095,1,1,0,1
1096,1096,1,1,0,1
1097,1097,0,1,0,0
1098,1098,1,1,0,1
1099,1099,1,0,1,1
1100,1100,0,1,0,0
1101,1101,0,1,1,1
1102,1102,1,1,1,0
1103,1103,0,0,1,0
1104,1104,0,1,0,0
1105,1105,1,0,0,0
1106,1106,1,1,1,0
1107,1107,1,0,1,1
1108,1108,1,1,1,0
1109,1109,0,0,1,0
1110,1110,1,1,0,1
1111,1111,0,1,0,0
1112,1112,1,0,0,0
1113,1113,0,1,0,0
1114,1114,1,0,1,1
1115,1115,0,1,0,0
1116,1116,0,0,1,0
1117,1117,1,0,0,0
1118,1118,0,1,1,1
1119,1119,0,1,1,1
1120,1120,1,1,0,1
1121,1121,1,1,1,0
1122,1122,1,0,0,0
1123,1123,0,1,1,1
1124,1124,1,1,0,1
1125,1125,0,0,0,1
1126,1126,1,1,0,1
1127,1127,1,1,1,0
1128,1128,1,1,1,0
1129,1129,1,0,0,0
1130,1130,0,1,0,0
1131,1131,0,0,1,0
1132,1132,1,0,1,1
1133,1133,0,0,0,1
1134,1134,1,0,1,1
1135,1135,0,0,1,0
1136,1136,0,1,1,1
1137,1137,1,1,1,0
1138,1138,0,1,1,1
