clock,in1,in2,in3,in4,in5,output1,output2
87,1,1,1,0,1,1,1
88,0,0,0,1,1,0,1
89,1,0,0,1,1,0,1
90,0,1,0,1,1,1,1
91,1,1,0,1,1,1,1
92,0,0,1,1,1,0,0
93,1,0,1,1,1,1,0
94,0,1,1,1,1,0,0
95,1,1,1,1,1,1,0
96,0,0,0,0,0,0,0
97,1,0,0,0,0,0,0
98,0,1,0,0,0,1,1
99,1,1,0,0,0,1,1
100,0,0,1,0,0,0,0
101,1,0,1,0,0,1,0
102,0,1,1,0,0,1,1
103,1,1,1,0,0,1,1
104,0,0,0,1,0,0,0
105,1,0,0,1,0,0,0
106,0,1,0,1,0,1,1
107,1,1,0,1,0,1,1
108,0,0,1,1,0,0,0
109,1,0,1,1,0,1,0
110,0,1,1,1,0,0,0
111,1,1,1,1,0,1,0
112,0,0,0,0,1,0,1
113,1,0,0,0,1,0,1
114,0,1,0,0,1,1,1
115,1,1,0,0,1,1,1
116,0,0,1,0,1,0,1
117,1,0,1,0,1,1,1
118,0,1,1,0,1,1,1
119,1,1,1,0,1,1,1
120,0,0,0,1,1,0,1
121,1,0,0,1,1,0,1
122,0,1,0,1,1,1,1
123,1,1,0,1,1,1,1
124,0,0,1,1,1,0,0
125,1,0,1,1,1,1,0
126,0,1,1,1,1,0,0
127,1,1,1,1,1,1,0
128,0,0,0,0,0,0,0
129,1,0,0,0,0,0,0
130,0,1,0,0,0,1,1
131,1,1,0,0,0,1,1
132,0,0,1,0,0,0,0
133,1,0,1,0,0,1,0
134,0,1,1,0,0,1,1
135,1,1,1,0,0,1,1
136,0,0,0,1,0,0,0
137,1,0,0,1,0,0,0
138,0,1,0,1,0,1,1
139,1,1,0,1,0,1,1
140,0,0,1,1,0,0,0
141,1,0,1,1,0,1,0
142,0,1,1,1,0,0,0
143,1,1,1,1,0,1,0
144,0,0,0,0,1,0,1
145,1,0,0,0,1,0,1
146,0,1,0,0,1,1,1
147,1,1,0,0,1,1,1
148,0,0,1,0,1,0,1
149,1,0,1,0,1,1,1
150,0,1,1,0,1,1,1
151,1,1,1,0,1,1,1
152,0,0,0,1,1,0,1
153,1,0,0,1,1,0,1
154,0,1,0,1,1,1,1
155,1,1,0,1,1,1,1
156,0,0,1,1,1,0,0
157,1,0,1,1,1,1,0
158,0,1,1,1,1,0,0
159,1,1,1,1,1,1,0
160,0,0,0,0,0,0,0
161,1,0,0,0,0,0,0
162,0,1,0,0,0,1,1
163,1,1,0,0,0,1,1
164,0,0,1,0,0,0,0
165,1,0,1,0,0,1,0
166,0,1,1,0,0,1,1
167,1,1,1,0,0,1,1
168,0,0,0,1,0,0,0
169,1,0,0,1,0,0,0
170,0,1,0,1,0,1,1
171,1,1,0,1,0,1,1
172,0,0,1,1,0,0,0
173,1,0,1,1,0,1,0
174,0,1,1,1,0,0,0
175,1,1,1,1,0,1,0
176,0,0,0,0,1,0,1
177,1,0,0,0,1,0,1
178,0,1,0,0,1,1,1
179,1,1,0,0,1,1,1
180,0,0,1,0,1,0,1
181,1,0,1,0,1,1,1
182,0,1,1,0,1,1,1
183,1,1,1,0,1,1,1
184,0,0,0,1,1,0,1
185,1,0,0,1,1,0,1
186,0,1,0,1,1,1,1
187,1,1,0,1,1,1,1
188,0,0,1,1,1,0,0
189,1,0,1,1,1,1,0
190,0,1,1,1,1,0,0
191,1,1,1,1,1,1,0
192,0,0,0,0,0,0,0
193,1,0,0,0,0,0,0
194,0,1,0,0,0,1,1
195,1,1,0,0,0,1,1
196,0,0,1,0,0,0,0
197,1,0,1,0,0,1,0
198,0,1,1,0,0,1,1
199,1,1,1,0,0,1,1
200,0,0,0,1,0,0,0
201,1,0,0,1,0,0,0
202,0,1,0,1,0,1,1
203,1,1,0,1,0,1,1
204,0,0,1,1,0,0,0
205,1,0,1,1,0,1,0
206,0,1,1,1,0,0,0
207,1,1,1,1,0,1,0
208,0,0,0,0,1,0,1
209,1,0,0,0,1,0,1
210,0,1,0,0,1,1,1
211,1,1,0,0,1,1,1
212,0,0,1,0,1,0,1
213,1,0,1,0,1,1,1
214,0,1,1,0,1,1,1
215,1,1,1,0,1,1,1
216,0,0,0,1,1,0,1
217,1,0,0,1,1,0,1
218,0,1,0,1,1,1,1
219,1,1,0,1,1,1,1
220,0,0,1,1,1,0,0
221,1,0,1,1,1,1,0
222,0,1,1,1,1,0,0
223,1,1,1,1,1,1,0
224,0,0,0,0,0,0,0
225,1,0,0,0,0,0,0
226,0,1,0,0,0,1,1
227,1,1,0,0,0,1,1
228,0,0,1,0,0,0,0
229,1,0,1,0,0,1,0
230,0,1,1,0,0,1,1
231,1,1,1,0,0,1,1
232,0,0,0,1,0,0,0
233,1,0,0,1,0,0,0
234,0,1,0,1,0,1,1
235,1,1,0,1,0,1,1
236,0,0,1,1,0,0,0
237,1,0,1,1,0,1,0
238,0,1,1,1,0,0,0
239,1,1,1,1,0,1,0
240,0,0,0,0,1,0,1
241,1,0,0,0,1,0,1
242,0,1,0,0,1,1,1
243,1,1,0,0,1,1,1
244,0,0,1,0,1,0,1
245,1,0,1,0,1,1,1
246,0,1,1,0,1,1,1
247,1,1,1,0,1,1,1
248,0,0,0,1,1,0,1
249,1,0,0,1,1,0,1
250,0,1,0,1,1,1,1
251,1,1,0,1,1,1,1
252,0,0,1,1,1,0,0
253,1,0,1,1,1,1,0
254,0,1,1,1,1,0,0
255,1,1,1,1,1,1,0
256,0,0,0,0,0,0,0
257,1,0,0,0,0,0,0
258,0,1,0,0,0,1,1
259,1,1,0,0,0,1,1
260,0,0,1,0,0,0,0
261,1,0,1,0,0,1,0
262,0,1,1,0,0,1,1
263,1,1,1,0,0,1,1
264,0,0,0,1,0,0,0
265,1,0,0,1,0,0,0
266,0,1,0,1,0,1,1
267,1,1,0,1,0,1,1
268,0,0,1,1,0,0,0
269,1,0,1,1,0,1,0
270,0,1,1,1,0,0,0
271,1,1,1,1,0,1,0
272,0,0,0,0,1,0,1
273,1,0,0,0,1,0,1
274,0,1,0,0,1,1,1
275,1,1,0,0,1,1,1
276,0,0,1,0,1,0,1
277,1,0,1,0,1,1,1
278,0,1,1,0,1,1,1
279,1,1,1,0,1,1,1
280,0,0,0,1,1,0,1
281,1,0,0,1,1,0,1
282,0,1,0,1,1,1,1
283,1,1,0,1,1,1,1
284,0,0,1,1,1,0,0
285,1,0,1,1,1,1,0
286,0,1,1,1,1,0,0
287,1,1,1,1,1,1,0
288,0,0,0,0,0,0,0
289,1,0,0,0,0,0,0
290,0,1,0,0,0,1,1
291,1,1,0,0,0,1,1
292,0,0,1,0,0,0,0
293,1,0,1,0,0,1,0
294,0,1,1,0,0,1,1
295,1,1,1,0,0,1,1
296,0,0,0,1,0,0,0
297,1,0,0,1,0,0,0
298,0,1,0,1,0,1,1
299,1,1,0,1,0,1,1
300,0,0,1,1,0,0,0
301,1,0,1,1,0,1,0
302,0,1,1,1,0,0,0
303,1,1,1,1,0,1,0
304,0,0,0,0,1,0,1
305,1,0,0,0,1,0,1
306,0,1,0,0,1,1,1
307,1,1,0,0,1,1,1
308,0,0,1,0,1,0,1
309,1,0,1,0,1,1,1
310,0,1,1,0,1,1,1
311,1,1,1,0,1,1,1
312,0,0,0,1,1,0,1
313,1,0,0,1,1,0,1
314,0,1,0,1,1,1,1
315,1,1,0,1,1,1,1
316,0,0,1,1,1,0,0
317,1,0,1,1,1,1,0
318,0,1,1,1,1,0,0
319,1,1,1,1,1,1,0
320,0,0,0,0,0,0,0
321,1,0,0,0,0,0,0
322,0,1,0,0,0,1,1
323,1,1,0,0,0,1,1
324,0,0,1,0,0,0,0
325,1,0,1,0,0,1,0
326,0,1,1,0,0,1,1
327,1,1,1,0,0,1,1
328,0,0,0,1,0,0,0
329,1,0,0,1,0,0,0
330,0,1,0,1,0,1,1
331,1,1,0,1,0,1,1
332,0,0,1,1,0,0,0
333,1,0,1,1,0,1,0
334,0,1,1,1,0,0,0
335,1,1,1,1,0,1,0
336,0,0,0,0,1,0,1
337,1,0,0,0,1,0,1
338,0,1,0,0,1,1,1
339,1,1,0,0,1,1,1
340,0,0,1,0,1,0,1
341,1,0,1,0,1,1,1
342,0,1,1,0,1,1,1
343,1,1,1,0,1,1,1
344,0,0,0,1,1,0,1
345,1,0,0,1,1,0,1
346,0,1,0,1,1,1,1
347,1,1,0,1,1,1,1
348,0,0,1,1,1,0,0
349,1,0,1,1,1,1,0
350,0,1,1,1,1,0,0
351,1,1,1,1,1,1,0
352,0,0,0,0,0,0,0
353,1,0,0,0,0,0,0
354,0,1,0,0,0,1,1
355,1,1,0,0,0,1,1
356,0,0,1,0,0,0,0
357,1,0,1,0,0,1,0
358,0,1,1,0,0,1,1
359,1,1,1,0,0,1,1
360,0,0,0,1,0,0,0
361,1,0,0,1,0,0,0
362,0,1,0,1,0,1,1
363,1,1,0,1,0,1,1
364,0,0,1,1,0,0,0
365,1,0,1,1,0,1,0
366,0,1,1,1,0,0,0
367,1,1,1,1,0,1,0
368,0,0,0,0,1,0,1
369,1,0,0,0,1,0,1
370,0,1,0,0,1,1,1
371,1,1,0,0,1,1,1
372,0,0,1,0,1,0,1
373,1,0,1,0,1,1,1
374,0,1,1,0,1,1,1
375,1,1,1,0,1,1,1
376,0,0,0,1,1,0,1
377,1,0,0,1,1,0,1
378,0,1,0,1,1,1,1
379,1,1,0,1,1,1,1
380,0,0,1,1,1,0,0
381,1,0,1,1,1,1,0
382,0,1,1,1,1,0,0
383,1,1,1,1,1,1,0
384,0,0,0,0,0,0,0
385,1,0,0,0,0,0,0
386,0,1,0,0,0,1,1
387,1,1,0,0,0,1,1
388,0,0,1,0,0,0,0
389,1,0,1,0,0,1,0
390,0,1,1,0,0,1,1
391,1,1,1,0,0,1,1
392,0,0,0,1,0,0,0
393,1,0,0,1,0,0,0
394,0,1,0,1,0,1,1
395,1,1,0,1,0,1,1
396,0,0,1,1,0,0,0
397,1,0,1,1,0,1,0
398,0,1,1,1,0,0,0
399,1,1,1,1,0,1,0
400,0,0,0,0,1,0,1
401,1,0,0,0,1,0,1
402,0,1,0,0,1,1,1
403,1,1,0,0,1,1,1
404,0,0,1,0,1,0,1
405,1,0,1,0,1,1,1
406,0,1,1,0,1,1,1
407,1,1,1,0,1,1,1
408,0,0,0,1,1,0,1
409,1,0,0,1,1,0,1
410,0,1,0,1,1,1,1
411,1,1,0,1,1,1,1
412,0,0,1,1,1,0,0
413,1,0,1,1,1,1,0
414,0,1,1,1,1,0,0
415,1,1,1,1,1,1,0
416,0,0,0,0,0,0,0
417,1,0,0,0,0,0,0
418,0,1,0,0,0,1,1
419,1,1,0,0,0,1,1
420,0,0,1,0,0,0,0
421,1,0,1,0,0,1,0
422,0,1,1,0,0,1,1
423,1,1,1,0,0,1,1
424,0,0,0,1,0,0,0
425,1,0,0,1,0,0,0
426,0,1,0,1,0,1,1
427,1,1,0,1,0,1,1
428,0,0,1,1,0,0,0
429,1,0,1,1,0,1,0
430,0,1,1,1,0,0,0
431,1,1,1,1,0,1,0
432,0,0,0,0,1,0,1
433,1,0,0,0,1,0,1
434,0,1,0,0,1,1,1
435,1,1,0,0,1,1,1
436,0,0,1,0,1,0,1
437,1,0,1,0,1,1,1
438,0,1,1,0,1,1,1
439,1,1,1,0,1,1,1
440,0,0,0,1,1,0,1
441,1,0,0,1,1,0,1
442,0,1,0,1,1,1,1
443,1,1,0,1,1,1,1
444,0,0,1,1,1,0,0
445,1,0,1,1,1,1,0
446,0,1,1,1,1,0,0
447,1,1,1,1,1,1,0
448,0,0,0,0,0,0,0
449,1,0,0,0,0,0,0
450,0,1,0,0,0,1,1
451,1,1,0,0,0,1,1
452,0,0,1,0,0,0,0
453,1,0,1,0,0,1,0
454,0,1,1,0,0,1,1
455,1,1,1,0,0,1,1
456,0,0,0,1,0,0,0
457,1,0,0,1,0,0,0
458,0,1,0,1,0,1,1
459,1,1,0,1,0,1,1
460,0,0,1,1,0,0,0
461,1,0,1,1,0,1,0
462,0,1,1,1,0,0,0
463,1,1,1,1,0,1,0
464,0,0,0,0,1,0,1
465,1,0,0,0,1,0,1
466,0,1,0,0,1,1,1
467,1,1,0,0,1,1,1
468,0,0,1,0,1,0,1
469,1,0,1,0,1,1,1
470,0,1,1,0,1,1,1
471,1,1,1,0,1,1,1
472,0,0,0,1,1,0,1
473,1,0,0,1,1,0,1
474,0,1,0,1,1,1,1
475,1,1,0,1,1,1,1
476,0,0,1,1,1,0,0
477,1,0,1,1,1,1,0
478,0,1,1,1,1,0,0
479,1,1,1,1,1,1,0
480,0,0,0,0,0,0,0
481,1,0,0,0,0,0,0
482,0,1,0,0,0,1,1
483,1,1,0,0,0,1,1
484,0,0,1,0,0,0,0
485,1,0,1,0,0,1,0
486,0,1,1,0,0,1,1
487,1,1,1,0,0,1,1
488,0,0,0,1,0,0,0
489,1,0,0,1,0,0,0
490,0,1,0,1,0,1,1
491,1,1,0,1,0,1,1
492,0,0,1,1,0,0,0
493,1,0,1,1,0,1,0
494,0,1,1,1,0,0,0
495,1,1,1,1,0,1,0
496,0,0,0,0,1,0,1
497,1,0,0,0,1,0,1
498,0,1,0,0,1,1,1
499,1,1,0,0,1,1,1
500,0,0,1,0,1,0,1
501,1,0,1,0,1,1,1
502,0,1,1,0,1,1,1
503,1,1,1,0,1,1,1
504,0,0,0,1,1,0,1
505,1,0,0,1,1,0,1
506,0,1,0,1,1,1,1
507,1,1,0,1,1,1,1
508,0,0,1,1,1,0,0
509,1,0,1,1,1,1,0
510,0,1,1,1,1,0,0
511,1,1,1,1,1,1,0
512,0,0,0,0,0,0,0
513,1,0,0,0,0,0,0
514,0,1,0,0,0,1,1
515,1,1,0,0,0,1,1
516,0,0,1,0,0,0,0
517,1,0,1,0,0,1,0
518,0,1,1,0,0,1,1
519,1,1,1,0,0,1,1
520,0,0,0,1,0,0,0
521,1,0,0,1,0,0,0
522,0,1,0,1,0,1,1
523,1,1,0,1,0,1,1
524,0,0,1,1,0,0,0
525,1,0,1,1,0,1,0
526,0,1,1,1,0,0,0
527,1,1,1,1,0,1,0
528,0,0,0,0,1,0,1
529,1,0,0,0,1,0,1
530,0,1,0,0,1,1,1
531,1,1,0,0,1,1,1
532,0,0,1,0,1,0,1
533,1,0,1,0,1,1,1
534,0,1,1,0,1,1,1
535,1,1,1,0,1,1,1
536,0,0,0,1,1,0,1
537,1,0,0,1,1,0,1
538,0,1,0,1,1,1,1
539,1,1,0,1,1,1,1
540,0,0,1,1,1,0,0
541,1,0,1,1,1,1,0
542,0,1,1,1,1,0,0
543,1,1,1,1,1,1,0
544,0,0,0,0,0,0,0
545,1,0,0,0,0,0,0
546,0,1,0,0,0,1,1
547,1,1,0,0,0,1,1
548,0,0,1,0,0,0,0
549,1,0,1,0,0,1,0
550,0,1,1,0,0,1,1
551,1,1,1,0,0,1,1
552,0,0,0,1,0,0,0
553,1,0,0,1,0,0,0
554,0,1,0,1,0,1,1
555,1,1,0,1,0,1,1
556,0,0,1,1,0,0,0
557,1,0,1,1,0,1,0
558,0,1,1,1,0,0,0
559,1,1,1,1,0,1,0
560,0,0,0,0,1,0,1
561,1,0,0,0,1,0,1
562,0,1,0,0,1,1,1
563,1,1,0,0,1,1,1
564,0,0,1,0,1,0,1
565,1,0,1,0,1,1,1
566,0,1,1,0,1,1,1
567,1,1,1,0,1,1,1
568,0,0,0,1,1,0,1
569,1,0,0,1,1,0,1
570,0,1,0,1,1,1,1
571,1,1,0,1,1,1,1
572,0,0,1,1,1,0,0
573,1,0,1,1,1,1,0
574,0,1,1,1,1,0,0
575,1,1,1,1,1,1,0
576,0,0,0,0,0,0,0
577,1,0,0,0,0,0,0
578,0,1,0,0,0,1,1
579,1,1,0,0,0,1,1
580,0,0,1,0,0,0,0
581,1,0,1,0,0,1,0
582,0,1,1,0,0,1,1
583,1,1,1,0,0,1,1
584,0,0,0,1,0,0,0
585,1,0,0,1,0,0,0
586,0,1,0,1,0,1,1
587,1,1,0,1,0,1,1
588,0,0,1,1,0,0,0
589,1,0,1,1,0,1,0
590,0,1,1,1,0,0,0
591,1,1,1,1,0,1,0
592,0,0,0,0,1,0,1
593,1,0,0,0,1,0,1
594,0,1,0,0,1,1,1
595,1,1,0,0,1,1,1
596,0,0,1,0,1,0,1
597,1,0,1,0,1,1,1
598,0,1,1,0,1,1,1
599,1,1,1,0,1,1,1
600,0,0,0,1,1,0,1
601,1,0,0,1,1,0,1
602,0,1,0,1,1,1,1
603,1,1,0,1,1,1,1
604,0,0,1,1,1,0,0
605,1,0,1,1,1,1,0
606,0,1,1,1,1,0,0
607,1,1,1,1,1,1,0
608,0,0,0,0,0,0,0
609,1,0,0,0,0,0,0
610,0,1,0,0,0,1,1
611,1,1,0,0,0,1,1
612,0,0,1,0,0,0,0
613,1,0,1,0,0,1,0
614,0,1,1,0,0,1,1
615,1,1,1,0,0,1,1
616,0,0,0,1,0,0,0
617,1,0,0,1,0,0,0
618,0,1,0,1,0,1,1
619,1,1,0,1,0,1,1
620,0,0,1,1,0,0,0
621,1,0,1,1,0,1,0
622,0,1,1,1,0,0,0
623,1,1,1,1,0,1,0
624,0,0,0,0,1,0,1
625,1,0,0,0,1,0,1
626,0,1,0,0,1,1,1
627,1,1,0,0,1,1,1
628,0,0,1,0,1,0,1
629,1,0,1,0,1,1,1
630,0,1,1,0,1,1,1
631,1,1,1,0,1,1,1
632,0,0,0,1,1,0,1
633,1,0,0,1,1,0,1
634,0,1,0,1,1,1,1
635,1,1,0,1,1,1,1
636,0,0,1,1,1,0,0
637,1,0,1,1,1,1,0
638,0,1,1,1,1,0,0
639,1,1,1,1,1,1,0
640,0,0,0,0,0,0,0
641,1,0,0,0,0,0,0
642,0,1,0,0,0,1,1
643,1,1,0,0,0,1,1
644,0,0,1,0,0,0,0
645,1,0,1,0,0,1,0
646,0,1,1,0,0,1,1
647,1,1,1,0,0,1,1
648,0,0,0,1,0,0,0
649,1,0,0,1,0,0,0
650,0,1,0,1,0,1,1
651,1,1,0,1,0,1,1
652,0,0,1,1,0,0,0
653,1,0,1,1,0,1,0
654,0,1,1,1,0,0,0
655,1,1,1,1,0,1,0
656,0,0,0,0,1,0,1
657,1,0,0,0,1,0,1
658,0,1,0,0,1,1,1
659,1,1,0,0,1,1,1
660,0,0,1,0,1,0,1
661,1,0,1,0,1,1,1
662,0,1,1,0,1,1,1
663,1,1,1,0,1,1,1
664,0,0,0,1,1,0,1
665,1,0,0,1,1,0,1
666,0,1,0,1,1,1,1
667,1,1,0,1,1,1,1
668,0,0,1,1,1,0,0
669,1,0,1,1,1,1,0
670,0,1,1,1,1,0,0
671,1,1,1,1,1,1,0
672,0,0,0,0,0,0,0
673,1,0,0,0,0,0,0
674,0,1,0,0,0,1,1
675,1,1,0,0,0,1,1
676,0,0,1,0,0,0,0
677,1,0,1,0,0,1,0
678,0,1,1,0,0,1,1
679,1,1,1,0,0,1,1
680,0,0,0,1,0,0,0
681,1,0,0,1,0,0,0
682,0,1,0,1,0,1,1
683,1,1,0,1,0,1,1
684,0,0,1,1,0,0,0
685,1,0,1,1,0,1,0
686,0,1,1,1,0,0,0
687,1,1,1,1,0,1,0
688,0,0,0,0,1,0,1
689,1,0,0,0,1,0,1
690,0,1,0,0,1,1,1
691,1,1,0,0,1,1,1
692,0,0,1,0,1,0,1
693,1,0,1,0,1,1,1
694,0,1,1,0,1,1,1
695,1,1,1,0,1,1,1
696,0,0,0,1,1,0,1
697,1,0,0,1,1,0,1
698,0,1,0,1,1,1,1
699,1,1,0,1,1,1,1
700,0,0,1,1,1,0,0
701,1,0,1,1,1,1,0
702,0,1,1,1,1,0,0
703,1,1,1,1,1,1,0
704,0,0,0,0,0,0,0
705,1,0,0,0,0,0,0
706,0,1,0,0,0,1,1
707,1,1,0,0,0,1,1
708,0,0,1,0,0,0,0
709,1,0,1,0,0,1,0
710,0,1,1,0,0,1,1
711,1,1,1,0,0,1,1
712,0,0,0,1,0,0,0
713,1,0,0,1,0,0,0
714,0,1,0,1,0,1,1
715,1,1,0,1,0,1,1
716,0,0,1,1,0,0,0
717,1,0,1,1,0,1,0
718,0,1,1,1,0,0,0
719,1,1,1,1,0,1,0
720,0,0,0,0,1,0,1
721,1,0,0,0,1,0,1
722,0,1,0,0,1,1,1
723,1,1,0,0,1,1,1
724,0,0,1,0,1,0,1
725,1,0,1,0,1,1,1
726,0,1,1,0,1,1,1
727,1,1,1,0,1,1,1
728,0,0,0,1,1,0,1
729,1,0,0,1,1,0,1
730,0,1,0,1,1,1,1
731,1,1,0,1,1,1,1
732,0,0,1,1,1,0,0
733,1,0,1,1,1,1,0
734,0,1,1,1,1,0,0
735,1,1,1,1,1,1,0
736,0,0,0,0,0,0,0
737,1,0,0,0,0,0,0
738,0,1,0,0,0,1,1
739,1,1,0,0,0,1,1
740,0,0,1,0,0,0,0
741,1,0,1,0,0,1,0
742,0,1,1,0,0,1,1
743,1,1,1,0,0,1,1
744,0,0,0,1,0,0,0
745,1,0,0,1,0,0,0
746,0,1,0,1,0,1,1
747,1,1,0,1,0,1,1
748,0,0,1,1,0,0,0
749,1,0,1,1,0,1,0
750,0,1,1,1,0,0,0
751,1,1,1,1,0,1,0
752,0,0,0,0,1,0,1
753,1,0,0,0,1,0,1
754,0,1,0,0,1,1,1
755,1,1,0,0,1,1,1
756,0,0,1,0,1,0,1
757,1,0,1,0,1,1,1
758,0,1,1,0,1,1,1
759,1,1,1,0,1,1,1
760,0,0,0,1,1,0,1
761,1,0,0,1,1,0,1
762,0,1,0,1,1,1,1
763,1,1,0,1,1,1,1
764,0,0,1,1,1,0,0
765,1,0,1,1,1,1,0
766,0,1,1,1,1,0,0
767,1,1,1,1,1,1,0
768,0,0,0,0,0,0,0
769,1,0,0,0,0,0,0
770,0,1,0,0,0,1,1
771,1,1,0,0,0,1,1
772,0,0,1,0,0,0,0
773,1,0,1,0,0,1,0
774,0,1,1,0,0,1,1
775,1,1,1,0,0,1,1
776,0,0,0,1,0,0,0
777,1,0,0,1,0,0,0
778,0,1,0,1,0,1,1
779,1,1,0,1,0,1,1
780,0,0,1,1,0,0,0
781,1,0,1,1,0,1,0
782,0,1,1,1,0,0,0
783,1,1,1,1,0,1,0
784,0,0,0,0,1,0,1
785,1,0,0,0,1,0,1
786,0,1,0,0,1,1,1
787,1,1,0,0,1,1,1
788,0,0,1,0,1,0,1
789,1,0,1,0,1,1,1
790,0,1,1,0,1,1,1
791,1,1,1,0,1,1,1
792,0,0,0,1,1,0,1
793,1,0,0,1,1,0,1
794,0,1,0,1,1,1,1
795,1,1,0,1,1,1,1
796,0,0,1,1,1,0,0
797,1,0,1,1,1,1,0
798,0,1,1,1,1,0,0
799,1,1,1,1,1,1,0
800,0,0,0,0,0,0,0
801,1,0,0,0,0,0,0
802,0,1,0,0,0,1,1
803,1,1,0,0,0,1,1
804,0,0,1,0,0,0,0
805,1,0,1,0,0,1,0
806,0,1,1,0,0,1,1
807,1,1,1,0,0,1,1
808,0,0,0,1,0,0,0
809,1,0,0,1,0,0,0
810,0,1,0,1,0,1,1
811,1,1,0,1,0,1,1
812,0,0,1,1,0,0,0
813,1,0,1,1,0,1,0
814,0,1,1,1,0,0,0
815,1,1,1,1,0,1,0
816,0,0,0,0,1,0,1
817,1,0,0,0,1,0,1
818,0,1,0,0,1,1,1
819,1,1,0,0,1,1,1
820,0,0,1,0,1,0,1
821,1,0,1,0,1,1,1
822,0,1,1,0,1,1,1
823,1,1,1,0,1,1,1
824,0,0,0,1,1,0,1
825,1,0,0,1,1,0,1
826,0,1,0,1,1,1,1
827,1,1,0,1,1,1,1
828,0,0,1,1,1,0,0
829,1,0,1,1,1,1,0
830,0,1,1,1,1,0,0
831,1,1,1,1,1,1,0
832,0,0,0,0,0,0,0
833,1,0,0,0,0,0,0
834,0,1,0,0,0,1,1
835,1,1,0,0,0,1,1
836,0,0,1,0,0,0,0
837,1,0,1,0,0,1,0
838,0,1,1,0,0,1,1
839,1,1,1,0,0,1,1
840,0,0,0,1,0,0,0
841,1,0,0,1,0,0,0
842,0,1,0,1,0,1,1
843,1,1,0,1,0,1,1
844,0,0,1,1,0,0,0
845,1,0,1,1,0,1,0
846,0,1,1,1,0,0,0
847,1,1,1,1,0,1,0
848,0,0,0,0,1,0,1
849,1,0,0,0,1,0,1
850,0,1,0,0,1,1,1
851,1,1,0,0,1,1,1
852,0,0,1,0,1,0,1
853,1,0,1,0,1,1,1
854,0,1,1,0,1,1,1
855,1,1,1,0,1,1,1
856,0,0,0,1,1,0,1
857,1,0,0,1,1,0,1
858,0,1,0,1,1,1,1
859,1,1,0,1,1,1,1
860,0,0,1,1,1,0,0
861,1,0,1,1,1,1,0
862,0,1,1,1,1,0,0
863,1,1,1,1,1,1,0
864,0,0,0,0,0,0,0
865,1,0,0,0,0,0,0
866,0,1,0,0,0,1,1
867,1,1,0,0,0,1,1
868,0,0,1,0,0,0,0
869,1,0,1,0,0,1,0
870,0,1,1,0,0,1,1
871,1,1,1,0,0,1,1
