,time,input,outputchanged,correct
595,595,1,10,1
596,596,0,10,1
597,597,1,11,1
598,598,0,11,1
599,599,1,12,1
600,600,0,4,0
601,601,1,13,1
602,602,0,13,1
603,603,1,14,1
604,604,0,14,1
605,605,1,18,0
606,606,0,5,0
607,607,1,28,0
608,608,0,16,1
609,609,1,17,1
610,610,0,2,0
611,611,1,20,0
612,612,0,18,1
613,613,1,19,1
614,614,0,19,1
615,615,1,20,1
616,616,0,20,1
617,617,1,21,1
618,618,0,21,1
619,619,1,22,1
620,620,0,22,1
621,621,1,23,1
622,622,0,23,1
623,623,1,24,1
624,624,0,13,0
625,625,1,25,1
626,626,0,24,0
627,627,1,24,0
628,628,0,13,0
629,629,1,26,0
630,630,0,26,0
631,631,1,22,0
632,632,0,28,1
633,633,1,29,1
634,634,0,29,1
635,635,1,30,1
636,636,0,30,1
637,637,1,31,1
638,638,0,7,0
639,639,1,26,0
640,640,0,0,1
641,641,1,1,1
642,642,0,1,1
643,643,1,2,1
644,644,0,2,1
645,645,1,19,0
646,646,0,3,1
647,647,1,4,1
648,648,0,14,0
649,649,1,6,0
650,650,0,5,1
651,651,1,6,1
652,652,0,22,0
653,653,1,18,0
654,654,0,7,1
655,655,1,8,1
656,656,0,8,1
657,657,1,9,1
658,658,0,9,1
659,659,1,10,1
660,660,0,21,0
661,661,1,11,1
662,662,0,15,0
663,663,1,12,1
664,664,0,19,0
665,665,1,27,0
666,666,0,22,0
667,667,1,17,0
668,668,0,14,1
669,669,1,15,1
670,670,0,15,1
671,671,1,16,1
672,672,0,16,1
673,673,1,17,1
674,674,0,17,1
675,675,1,18,1
676,676,0,18,1
677,677,1,29,0
678,678,0,19,1
679,679,1,20,1
680,680,0,16,0
681,681,1,21,1
682,682,0,21,1
683,683,1,22,1
684,684,0,22,1
685,685,1,23,1
686,686,0,23,1
687,687,1,24,1
688,688,0,25,0
689,689,1,9,0
690,690,0,25,1
691,691,1,25,0
692,692,0,4,0
693,693,1,27,1
694,694,0,27,1
695,695,1,2,0
696,696,0,9,0
697,697,1,29,1
698,698,0,29,1
699,699,1,30,1
700,700,0,30,1
701,701,1,31,1
702,702,0,11,0
703,703,1,0,1
704,704,0,0,1
705,705,1,1,1
706,706,0,1,1
707,707,1,2,1
708,708,0,27,0
709,709,1,4,0
710,710,0,21,0
711,711,1,23,0
712,712,0,4,1
713,713,1,15,0
714,714,0,5,1
715,715,1,18,0
716,716,0,6,1
717,717,1,7,1
718,718,0,7,1
719,719,1,7,0
720,720,0,25,0
721,721,1,9,1
722,722,0,28,0
723,723,1,10,1
724,724,0,10,1
725,725,1,11,1
726,726,0,11,1
727,727,1,24,0
728,728,0,12,1
729,729,1,9,0
730,730,0,13,1
731,731,1,28,0
732,732,0,14,1
733,733,1,15,1
734,734,0,15,1
735,735,1,2,0
736,736,0,27,0
737,737,1,17,1
738,738,0,17,1
739,739,1,18,1
740,740,0,18,1
741,741,1,19,1
742,742,0,19,1
743,743,1,20,1
744,744,0,20,1
745,745,1,21,1
746,746,0,21,1
747,747,1,22,1
748,748,0,22,1
749,749,1,23,1
750,750,0,23,1
751,751,1,5,0
752,752,0,24,1
753,753,1,31,0
754,754,0,25,1
755,755,1,5,0
756,756,0,21,0
757,757,1,27,1
758,758,0,3,0
759,759,1,28,1
760,760,0,28,1
761,761,1,29,1
762,762,0,29,1
763,763,1,30,1
764,764,0,30,1
765,765,1,31,1
766,766,0,3,0
767,767,1,0,1
768,768,0,0,1
769,769,1,1,1
770,770,0,1,1
771,771,1,2,1
772,772,0,2,1
773,773,1,12,0
774,774,0,3,1
775,775,1,7,0
776,776,0,16,0
777,777,1,5,1
778,778,0,18,0
779,779,1,6,1
780,780,0,6,1
781,781,1,12,0
782,782,0,16,0
783,783,1,8,1
784,784,0,8,1
785,785,1,9,1
786,786,0,9,1
787,787,1,10,1
788,788,0,10,1
789,789,1,11,1
790,790,0,11,1
791,791,1,28,0
792,792,0,1,0
793,793,1,25,0
794,794,0,13,1
795,795,1,21,0
796,796,0,14,1
797,797,1,15,1
798,798,0,15,1
799,799,1,20,0
800,800,0,13,0
801,801,1,1,0
802,802,0,17,1
803,803,1,18,1
804,804,0,18,1
805,805,1,19,1
806,806,0,19,1
807,807,1,20,1
808,808,0,20,1
809,809,1,12,0
810,810,0,21,1
811,811,1,28,0
812,812,0,20,0
813,813,1,23,1
814,814,0,23,1
815,815,1,24,1
816,816,0,24,1
817,817,1,25,1
818,818,0,25,1
819,819,1,26,1
820,820,0,26,1
821,821,1,27,1
822,822,0,27,1
823,823,1,17,0
824,824,0,29,0
825,825,1,23,0
826,826,0,23,0
827,827,1,30,1
828,828,0,30,1
829,829,1,31,1
830,830,0,29,0
831,831,1,0,1
832,832,0,11,0
833,833,1,22,0
834,834,0,23,0
835,835,1,2,1
836,836,0,2,1
837,837,1,15,0
838,838,0,3,1
839,839,1,4,1
840,840,0,5,0
841,841,1,17,0
842,842,0,5,1
843,843,1,6,1
844,844,0,6,1
845,845,1,19,0
846,846,0,7,1
847,847,1,8,1
848,848,0,8,1
849,849,1,9,1
850,850,0,0,0
851,851,1,19,0
852,852,0,10,1
853,853,1,1,0
854,854,0,11,1
855,855,1,12,1
856,856,0,22,0
857,857,1,13,1
858,858,0,13,1
859,859,1,14,1
860,860,0,0,0
861,861,1,8,0
862,862,0,17,0
863,863,1,6,0
864,864,0,16,1
865,865,1,5,0
866,866,0,17,1
867,867,1,15,0
868,868,0,29,0
869,869,1,1,0
870,870,0,13,0
871,871,1,18,0
872,872,0,20,1
873,873,1,21,1
874,874,0,21,1
875,875,1,22,1
876,876,0,13,0
877,877,1,26,0
878,878,0,23,1
879,879,1,24,1
880,880,0,17,0
881,881,1,16,0
882,882,0,20,0
883,883,1,5,0
884,884,0,26,1
885,885,1,27,1
886,886,0,27,1
887,887,1,14,0
888,888,0,11,0
889,889,1,29,1
890,890,0,18,0
891,891,1,30,1
892,892,0,2,0
893,893,1,23,0
894,894,0,15,0
895,895,1,10,0
896,896,0,0,1
897,897,1,25,0
898,898,0,1,1
899,899,1,14,0
900,900,0,2,1
901,901,1,22,0
902,902,0,3,1
903,903,1,24,0
904,904,0,15,0
905,905,1,19,0
906,906,0,5,1
907,907,1,6,1
908,908,0,6,1
909,909,1,7,1
910,910,0,22,0
911,911,1,8,1
912,912,0,8,1
913,913,1,9,1
914,914,0,9,1
915,915,1,19,0
916,916,0,10,1
917,917,1,11,1
918,918,0,11,1
919,919,1,12,1
920,920,0,12,1
921,921,1,13,1
922,922,0,13,1
923,923,1,27,0
924,924,0,14,1
925,925,1,15,1
926,926,0,15,1
927,927,1,16,1
928,928,0,16,1
929,929,1,17,1
930,930,0,17,1
931,931,1,9,0
932,932,0,18,1
933,933,1,19,1
934,934,0,21,0
935,935,1,20,1
936,936,0,20,1
937,937,1,14,0
938,938,0,21,1
939,939,1,22,1
940,940,0,22,1
941,941,1,23,1
942,942,0,0,0
943,943,1,24,1
944,944,0,20,0
945,945,1,24,0
946,946,0,25,1
947,947,1,16,0
948,948,0,26,1
949,949,1,12,0
950,950,0,27,1
951,951,1,28,1
952,952,0,22,0
953,953,1,29,1
954,954,0,29,1
955,955,1,30,1
956,956,0,30,1
957,957,1,31,1
958,958,0,9,0
959,959,1,0,1
960,960,0,25,0
961,961,1,20,0
962,962,0,1,1
963,963,1,16,0
964,964,0,2,1
965,965,1,8,0
966,966,0,3,1
967,967,1,28,0
968,968,0,4,1
969,969,1,18,0
970,970,0,11,0
971,971,1,6,1
972,972,0,6,1
973,973,1,9,0
974,974,0,7,1
975,975,1,20,0
976,976,0,8,1
977,977,1,9,1
978,978,0,9,1
979,979,1,17,0
980,980,0,19,0
981,981,1,11,1
982,982,0,28,0
983,983,1,5,0
984,984,0,23,0
985,985,1,22,0
986,986,0,13,1
987,987,1,0,0
988,988,0,18,0
989,989,1,31,0
990,990,0,15,1
991,991,1,8,0
992,992,0,16,1
993,993,1,16,0
994,994,0,17,1
995,995,1,18,1
996,996,0,19,0
997,997,1,20,0
998,998,0,5,0
999,999,1,20,1
1000,1000,0,15,0
1001,1001,1,21,1
1002,1002,0,8,0
1003,1003,1,22,1
1004,1004,0,10,0
1005,1005,1,31,0
1006,1006,0,23,1
1007,1007,1,9,0
1008,1008,0,23,0
1009,1009,1,5,0
1010,1010,0,28,0
1011,1011,1,11,0
1012,1012,0,26,1
1013,1013,1,27,1
1014,1014,0,27,1
1015,1015,1,28,1
1016,1016,0,28,1
1017,1017,1,4,0
1018,1018,0,24,0
1019,1019,1,30,1
1020,1020,0,30,1
1021,1021,1,22,0
1022,1022,0,2,0
1023,1023,1,11,0
1024,1024,0,0,1
1025,1025,1,1,1
1026,1026,0,1,1
1027,1027,1,2,1
1028,1028,0,27,0
1029,1029,1,3,1
1030,1030,0,13,0
1031,1031,1,4,1
1032,1032,0,29,0
1033,1033,1,5,1
1034,1034,0,12,0
1035,1035,1,6,1
1036,1036,0,6,1
1037,1037,1,7,1
1038,1038,0,10,0
1039,1039,1,8,1
1040,1040,0,25,0
1041,1041,1,9,1
1042,1042,0,9,1
1043,1043,1,10,1
1044,1044,0,10,1
1045,1045,1,8,0
1046,1046,0,11,1
1047,1047,1,20,0
1048,1048,0,9,0
1049,1049,1,8,0
1050,1050,0,13,1
1051,1051,1,14,1
1052,1052,0,0,0
1053,1053,1,15,1
1054,1054,0,30,0
1055,1055,1,16,1
1056,1056,0,16,1
1057,1057,1,17,1
1058,1058,0,17,1
1059,1059,1,8,0
1060,1060,0,18,1
1061,1061,1,19,1
1062,1062,0,13,0
1063,1063,1,20,1
1064,1064,0,25,0
1065,1065,1,1,0
1066,1066,0,27,0
1067,1067,1,17,0
1068,1068,0,22,1
1069,1069,1,23,1
1070,1070,0,17,0
1071,1071,1,24,1
1072,1072,0,24,1
1073,1073,1,3,0
1074,1074,0,18,0
1075,1075,1,7,0
1076,1076,0,26,1
1077,1077,1,27,1
1078,1078,0,14,0
1079,1079,1,23,0
1080,1080,0,24,0
1081,1081,1,29,1
1082,1082,0,29,1
1083,1083,1,25,0
1084,1084,0,30,1
1085,1085,1,31,1
1086,1086,0,31,1
1087,1087,1,28,0
1088,1088,0,0,1
1089,1089,1,7,0
1090,1090,0,20,0
1091,1091,1,11,0
1092,1092,0,2,1
1093,1093,1,22,0
1094,1094,0,3,1
1095,1095,1,1,0
1096,1096,0,4,1
1097,1097,1,31,0
1098,1098,0,10,0
1099,1099,1,15,0
1100,1100,0,6,1
1101,1101,1,6,0
1102,1102,0,30,0
1103,1103,1,8,1
1104,1104,0,8,1
1105,1105,1,9,1
1106,1106,0,9,1
1107,1107,1,12,0
1108,1108,0,10,1
1109,1109,1,11,1
1110,1110,0,11,1
1111,1111,1,12,1
1112,1112,0,12,1
1113,1113,1,13,1
1114,1114,0,25,0
1115,1115,1,14,1
1116,1116,0,21,0
1117,1117,1,15,1
1118,1118,0,15,1
1119,1119,1,17,0
1120,1120,0,9,0
1121,1121,1,17,1
1122,1122,0,17,1
1123,1123,1,18,1
1124,1124,0,10,0
1125,1125,1,25,0
1126,1126,0,19,1
1127,1127,1,20,1
1128,1128,0,22,0
1129,1129,1,21,1
1130,1130,0,21,1
1131,1131,1,13,0
1132,1132,0,22,1
1133,1133,1,3,0
1134,1134,0,23,1
1135,1135,1,16,0
1136,1136,0,3,0
1137,1137,1,11,0
1138,1138,0,17,0
1139,1139,1,26,1
1140,1140,0,15,0
1141,1141,1,30,0
1142,1142,0,14,0
1143,1143,1,28,1
1144,1144,0,28,1
1145,1145,1,29,1
1146,1146,0,16,0
1147,1147,1,30,1
1148,1148,0,30,1
1149,1149,1,22,0
1150,1150,0,31,1
1151,1151,1,0,1
1152,1152,0,18,0
1153,1153,1,1,1
1154,1154,0,1,1
1155,1155,1,16,0
1156,1156,0,2,1
1157,1157,1,3,1
1158,1158,0,3,1
1159,1159,1,4,1
1160,1160,0,2,0
1161,1161,1,5,1
1162,1162,0,5,1
1163,1163,1,28,0
1164,1164,0,6,1
1165,1165,1,7,1
1166,1166,0,8,0
1167,1167,1,27,0
1168,1168,0,12,0
1169,1169,1,13,0
1170,1170,0,9,1
1171,1171,1,12,0
1172,1172,0,10,1
1173,1173,1,24,0
1174,1174,0,11,1
1175,1175,1,12,1
1176,1176,0,12,1
1177,1177,1,13,1
1178,1178,0,13,1
1179,1179,1,1,0
1180,1180,0,14,1
1181,1181,1,12,0
1182,1182,0,15,1
1183,1183,1,16,1
1184,1184,0,16,1
1185,1185,1,30,0
1186,1186,0,17,1
1187,1187,1,6,0
1188,1188,0,18,1
1189,1189,1,13,0
1190,1190,0,19,1
1191,1191,1,20,1
1192,1192,0,20,1
1193,1193,1,21,1
1194,1194,0,21,1
1195,1195,1,22,1
1196,1196,0,22,1
1197,1197,1,4,0
1198,1198,0,5,0
1199,1199,1,24,1
1200,1200,0,19,0
1201,1201,1,15,0
1202,1202,0,25,1
1203,1203,1,26,1
1204,1204,0,2,0
1205,1205,1,30,0
1206,1206,0,5,0
1207,1207,1,28,1
1208,1208,0,28,1
1209,1209,1,30,0
1210,1210,0,29,1
1211,1211,1,30,1
1212,1212,0,30,1
1213,1213,1,31,1
1214,1214,0,31,1
1215,1215,1,0,1
1216,1216,0,7,0
1217,1217,1,1,1
1218,1218,0,1,1
1219,1219,1,2,1
1220,1220,0,2,1
1221,1221,1,3,1
1222,1222,0,3,1
1223,1223,1,4,1
1224,1224,0,4,1
1225,1225,1,5,1
1226,1226,0,19,0
1227,1227,1,6,1
1228,1228,0,6,1
1229,1229,1,22,0
1230,1230,0,5,0
1231,1231,1,8,1
1232,1232,0,8,1
1233,1233,1,30,0
1234,1234,0,24,0
1235,1235,1,10,1
1236,1236,0,10,1
1237,1237,1,11,1
1238,1238,0,6,0
1239,1239,1,12,1
1240,1240,0,12,1
1241,1241,1,30,0
1242,1242,0,13,1
1243,1243,1,14,1
1244,1244,0,19,0
1245,1245,1,15,1
1246,1246,0,15,1
1247,1247,1,16,1
1248,1248,0,16,1
1249,1249,1,17,1
1250,1250,0,0,0
1251,1251,1,18,1
1252,1252,0,7,0
1253,1253,1,13,0
1254,1254,0,10,0
1255,1255,1,20,1
1256,1256,0,23,0
1257,1257,1,21,1
1258,1258,0,6,0
1259,1259,1,22,1
1260,1260,0,22,1
1261,1261,1,23,1
1262,1262,0,30,0
1263,1263,1,9,0
1264,1264,0,24,1
1265,1265,1,15,0
1266,1266,0,12,0
1267,1267,1,27,0
1268,1268,0,26,1
1269,1269,1,27,1
1270,1270,0,27,1
1271,1271,1,28,1
1272,1272,0,9,0
1273,1273,1,29,1
1274,1274,0,23,0
1275,1275,1,30,1
1276,1276,0,26,0
1277,1277,1,31,1
1278,1278,0,31,1
1279,1279,1,0,1
1280,1280,0,0,1
1281,1281,1,1,1
1282,1282,0,1,1
1283,1283,1,4,0
1284,1284,0,17,0
1285,1285,1,3,1
1286,1286,0,3,1
1287,1287,1,13,0
1288,1288,0,4,1
1289,1289,1,5,1
1290,1290,0,28,0
1291,1291,1,6,1
1292,1292,0,24,0
1293,1293,1,7,1
1294,1294,0,7,1
1295,1295,1,12,0
1296,1296,0,8,1
1297,1297,1,9,1
1298,1298,0,20,0
1299,1299,1,31,0
1300,1300,0,10,1
1301,1301,1,23,0
1302,1302,0,11,1
1303,1303,1,12,1
1304,1304,0,12,1
1305,1305,1,13,1
1306,1306,0,10,0
1307,1307,1,1,0
1308,1308,0,14,1
1309,1309,1,10,0
1310,1310,0,15,1
1311,1311,1,16,1
1312,1312,0,23,0
1313,1313,1,28,0
1314,1314,0,17,1
1315,1315,1,18,1
1316,1316,0,18,1
1317,1317,1,19,1
1318,1318,0,10,0
1319,1319,1,20,1
1320,1320,0,20,1
1321,1321,1,21,1
1322,1322,0,6,0
1323,1323,1,22,1
1324,1324,0,28,0
1325,1325,1,23,1
1326,1326,0,23,1
1327,1327,1,24,1
1328,1328,0,14,0
1329,1329,1,28,0
1330,1330,0,25,1
