,clock,D0,S0,S1,S2,out1,out2,out3,out4,out5,out6,out7,out8,CORRECT
81,81,0,0,0,1,0,0,0,0,0,0,0,1,0
82,82,0,0,1,0,0,0,0,0,0,0,0,0,1
83,83,0,0,1,1,0,0,0,0,0,0,0,1,0
84,84,0,1,0,0,0,0,0,0,0,0,0,1,0
85,85,0,1,0,1,0,0,0,0,0,0,0,0,1
86,86,0,1,1,0,0,0,0,0,0,0,0,0,1
87,87,0,1,1,1,0,0,0,0,0,0,0,1,0
88,88,1,0,0,0,0,0,0,1,0,0,0,0,0
89,89,1,0,0,1,0,0,0,0,0,0,0,0,0
90,90,1,0,1,0,0,0,1,0,0,0,0,0,1
91,91,1,0,1,1,0,0,0,0,0,0,1,0,1
92,92,1,1,0,0,0,0,0,0,0,0,0,0,0
93,93,1,1,0,1,0,0,0,0,0,0,0,1,0
94,94,1,1,1,0,0,0,1,0,0,0,0,0,0
95,95,1,1,1,1,0,0,0,0,0,0,0,1,1
96,96,0,0,0,0,0,0,0,0,0,0,0,0,1
97,97,0,0,0,1,0,0,0,0,0,0,0,1,0
98,98,0,0,1,0,0,0,0,0,0,0,0,1,0
99,99,0,0,1,1,0,0,0,0,0,0,0,0,1
100,100,0,1,0,0,0,0,0,0,0,0,0,1,0
101,101,0,1,0,1,0,0,0,0,0,0,0,1,0
102,102,0,1,1,0,0,0,0,0,0,0,0,1,0
103,103,0,1,1,1,0,0,0,0,0,0,0,0,1
104,104,1,0,0,0,1,0,0,0,0,0,0,0,1
105,105,1,0,0,1,0,0,0,0,1,0,0,0,1
106,106,1,0,1,0,0,0,0,0,0,0,0,1,0
107,107,1,0,1,1,0,1,0,0,0,0,0,0,0
108,108,1,1,0,0,0,1,0,0,0,0,0,0,1
109,109,1,1,0,1,0,0,0,0,1,0,0,0,0
110,110,1,1,1,0,0,0,0,0,0,0,0,1,0
111,111,1,1,1,1,0,0,0,0,0,1,0,0,0
112,112,0,0,0,0,0,0,0,0,0,0,0,1,0
113,113,0,0,0,1,0,0,0,0,0,0,0,1,0
114,114,0,0,1,0,0,0,0,0,0,0,0,1,0
115,115,0,0,1,1,0,0,0,0,0,0,0,1,0
116,116,0,1,0,0,0,0,0,0,0,0,0,1,0
117,117,0,1,0,1,0,0,0,0,0,0,0,0,1
118,118,0,1,1,0,0,0,0,0,0,0,0,0,1
119,119,0,1,1,1,0,0,0,0,0,0,0,0,1
120,120,1,0,0,0,1,0,0,0,0,0,0,0,1
121,121,1,0,0,1,0,0,0,0,1,0,0,0,1
122,122,1,0,1,0,0,0,1,0,0,0,0,0,1
123,123,1,0,1,1,0,0,0,0,1,0,0,0,0
124,124,1,1,0,0,0,1,0,0,0,0,0,0,1
125,125,1,1,0,1,0,0,0,0,0,1,0,0,1
126,126,1,1,1,0,0,0,0,1,0,0,0,0,1
127,127,1,1,1,1,0,0,0,0,0,0,0,1,1
128,128,0,0,0,0,0,0,0,0,0,0,0,0,1
129,129,0,0,0,1,0,0,0,0,0,0,0,1,0
130,130,0,0,1,0,0,0,0,0,0,0,0,0,1
131,131,0,0,1,1,0,0,0,0,0,0,0,0,1
132,132,0,1,0,0,0,0,0,0,0,0,0,1,0
133,133,0,1,0,1,0,0,0,0,0,0,0,1,0
134,134,0,1,1,0,0,0,0,0,0,0,0,0,1
135,135,0,1,1,1,0,0,0,0,0,0,0,0,1
136,136,1,0,0,0,1,0,1,0,0,0,1,1,0
137,137,1,0,0,1,0,0,0,0,1,0,0,0,1
138,138,1,0,1,0,0,0,0,0,1,0,0,0,0
139,139,1,0,1,1,0,0,0,0,0,0,1,0,1
140,140,1,1,0,0,0,0,1,0,0,0,0,0,0
141,141,1,1,0,1,0,0,1,0,0,0,0,0,0
142,142,1,1,1,0,0,0,0,0,0,1,0,0,0
143,143,1,1,1,1,0,0,0,0,0,0,1,0,0
144,144,0,0,0,0,0,0,0,0,0,0,0,1,0
145,145,0,0,0,1,0,0,0,0,0,0,0,0,1
146,146,0,0,1,0,0,0,0,0,0,0,0,0,1
147,147,0,0,1,1,0,0,0,0,0,0,0,1,0
148,148,0,1,0,0,0,0,0,0,0,0,0,1,0
149,149,0,1,0,1,0,0,0,0,0,0,0,1,0
150,150,0,1,1,0,0,0,0,0,0,0,0,1,0
151,151,0,1,1,1,0,0,0,0,0,0,0,1,0
152,152,1,0,0,0,0,0,0,0,1,0,0,0,0
153,153,1,0,0,1,0,0,0,0,1,0,0,0,1
154,154,1,0,1,0,0,0,0,0,1,0,0,0,0
155,155,1,0,1,1,0,0,0,1,0,0,0,0,0
156,156,1,1,0,0,0,0,0,0,0,0,0,0,0
157,157,1,1,0,1,0,0,0,0,0,1,0,0,1
158,158,1,1,1,0,0,0,0,1,0,0,0,0,1
159,159,1,1,1,1,0,0,0,0,0,0,0,1,1
160,160,0,0,0,0,0,0,0,0,0,0,0,1,0
161,161,0,0,0,1,0,0,0,0,0,0,0,1,0
162,162,0,0,1,0,0,0,0,0,0,0,0,1,0
163,163,0,0,1,1,0,0,0,0,0,0,0,0,1
164,164,0,1,0,0,0,0,0,0,0,0,0,1,0
165,165,0,1,0,1,0,0,0,0,0,0,0,1,0
166,166,0,1,1,0,0,0,0,0,0,0,0,1,0
167,167,0,1,1,1,0,0,0,0,0,0,0,1,0
168,168,1,0,0,0,0,0,0,0,1,0,0,0,0
169,169,1,0,0,1,0,0,0,0,1,0,0,0,1
170,170,1,0,1,0,0,0,1,0,0,0,0,0,1
171,171,1,0,1,1,0,0,0,0,0,0,0,1,0
172,172,1,1,0,0,1,0,0,0,0,0,0,0,0
173,173,1,1,0,1,0,0,0,0,1,0,0,0,0
174,174,1,1,1,0,0,0,0,1,0,0,0,0,1
175,175,1,1,1,1,0,0,0,0,0,0,0,0,0
176,176,0,0,0,0,0,0,0,0,0,0,0,1,0
177,177,0,0,0,1,0,0,0,0,0,0,0,1,0
178,178,0,0,1,0,0,0,0,0,0,0,0,1,0
179,179,0,0,1,1,0,0,0,0,0,0,0,0,1
180,180,0,1,0,0,0,0,0,0,0,0,0,0,1
181,181,0,1,0,1,0,0,0,0,0,0,0,0,1
182,182,0,1,1,0,0,0,0,0,0,0,0,0,1
183,183,0,1,1,1,0,0,0,0,0,0,0,1,0
184,184,1,0,0,0,0,0,0,0,0,0,0,0,0
185,185,1,0,0,1,0,0,0,0,1,0,0,0,1
186,186,1,0,1,0,0,0,1,0,0,0,0,0,1
187,187,1,0,1,1,0,0,0,0,0,0,0,0,0
188,188,1,1,0,0,0,0,0,1,0,0,0,0,0
189,189,1,1,0,1,0,0,0,0,0,0,1,0,0
190,190,1,1,1,0,0,0,0,1,0,0,0,0,1
191,191,1,1,1,1,0,0,0,1,0,0,0,0,0
192,192,0,0,0,0,0,0,0,0,0,0,0,0,1
193,193,0,0,0,1,0,0,0,0,0,0,0,0,1
194,194,0,0,1,0,0,0,0,0,0,0,0,0,1
195,195,0,0,1,1,0,0,0,0,0,0,0,0,1
196,196,0,1,0,0,0,0,0,0,0,0,0,1,0
197,197,0,1,0,1,0,0,0,0,0,0,0,0,1
198,198,0,1,1,0,0,0,0,0,0,0,0,0,1
199,199,0,1,1,1,0,0,0,0,0,0,0,1,0
200,200,1,0,0,0,0,0,0,0,1,0,0,0,0
201,201,1,0,0,1,0,0,0,0,0,0,1,0,0
202,202,1,0,1,0,0,0,0,0,1,0,0,0,0
203,203,1,0,1,1,0,0,0,0,0,0,1,0,1
204,204,1,1,0,0,0,0,1,0,0,0,0,0,0
205,205,1,1,0,1,0,0,0,0,0,1,0,0,1
206,206,1,1,1,0,0,0,0,1,0,0,0,0,1
207,207,1,1,1,1,0,0,0,0,0,0,0,1,1
208,208,0,0,0,0,0,0,0,0,0,0,0,1,0
209,209,0,0,0,1,0,0,0,0,0,0,0,0,1
210,210,0,0,1,0,0,0,0,0,0,0,0,0,1
211,211,0,0,1,1,0,0,0,0,0,0,0,1,0
212,212,0,1,0,0,0,0,0,0,0,0,0,0,1
213,213,0,1,0,1,0,0,0,0,0,0,0,0,1
214,214,0,1,1,0,0,0,0,0,0,0,0,1,0
215,215,0,1,1,1,0,0,0,0,0,0,0,1,0
216,216,1,0,0,0,0,0,0,0,0,0,0,0,0
217,217,1,0,0,1,0,0,0,0,1,0,0,0,1
218,218,1,0,1,0,0,0,0,1,0,0,0,0,0
219,219,1,0,1,1,0,0,0,0,1,0,0,0,0
220,220,1,1,0,0,0,0,1,0,0,0,0,0,0
221,221,1,1,0,1,1,0,1,0,0,1,1,0,0
222,222,1,1,1,0,0,0,0,0,0,1,0,0,0
223,223,1,1,1,1,0,0,1,0,0,0,0,0,0
224,224,0,0,0,0,0,0,0,0,0,0,0,0,1
225,225,0,0,0,1,0,0,0,0,0,0,0,0,1
226,226,0,0,1,0,0,0,0,0,0,0,0,1,0
227,227,0,0,1,1,0,0,0,0,0,0,0,0,1
228,228,0,1,0,0,0,0,0,0,0,0,0,0,1
229,229,0,1,0,1,0,0,0,0,0,0,0,0,1
230,230,0,1,1,0,0,0,0,0,0,0,0,0,1
231,231,0,1,1,1,0,0,0,0,0,0,0,0,1
232,232,1,0,0,0,1,0,0,1,1,0,1,0,0
233,233,1,0,0,1,0,0,0,0,0,0,1,0,0
234,234,1,0,1,0,0,0,0,0,0,0,1,0,0
235,235,1,0,1,1,0,0,0,0,0,0,1,0,1
236,236,1,1,0,0,0,0,1,0,0,0,0,0,0
237,237,1,1,0,1,0,0,0,0,0,1,0,0,1
238,238,1,1,1,0,1,0,0,0,0,0,0,0,0
239,239,1,1,1,1,0,0,0,0,0,0,0,1,1
240,240,0,0,0,0,0,0,0,0,0,0,0,1,0
241,241,0,0,0,1,0,0,0,0,0,0,0,1,0
242,242,0,0,1,0,0,0,0,0,0,0,0,1,0
243,243,0,0,1,1,0,0,0,0,0,0,0,0,1
244,244,0,1,0,0,0,0,0,0,0,0,0,0,1
245,245,0,1,0,1,0,0,0,0,0,0,0,0,1
246,246,0,1,1,0,0,0,0,0,0,0,0,1,0
247,247,0,1,1,1,0,0,0,0,0,0,0,0,1
248,248,1,0,0,0,0,0,0,0,0,0,1,0,0
249,249,1,0,0,1,0,0,0,0,1,0,0,0,1
250,250,1,0,1,0,0,0,1,0,0,0,0,0,1
251,251,1,0,1,1,0,1,0,0,0,0,0,0,0
252,252,1,1,0,0,1,0,0,0,1,0,1,1,0
253,253,1,1,0,1,0,0,0,0,1,0,0,0,0
254,254,1,1,1,0,0,0,0,0,0,0,0,1,0
255,255,1,1,1,1,1,1,1,1,1,1,1,0,0
256,256,0,0,0,0,0,0,0,0,0,0,0,0,1
257,257,0,0,0,1,0,0,0,0,0,0,0,0,1
258,258,0,0,1,0,0,0,0,0,0,0,0,1,0
259,259,0,0,1,1,0,0,0,0,0,0,0,1,0
260,260,0,1,0,0,0,0,0,0,0,0,0,0,1
261,261,0,1,0,1,0,0,0,0,0,0,0,1,0
262,262,0,1,1,0,0,0,0,0,0,0,0,0,1
263,263,0,1,1,1,0,0,0,0,0,0,0,1,0
264,264,1,0,0,0,1,0,0,0,0,0,0,0,1
265,265,1,0,0,1,0,1,0,0,0,0,0,0,0
266,266,1,0,1,0,0,0,1,0,0,0,0,0,1
267,267,1,0,1,1,0,0,0,0,0,0,1,0,1
268,268,1,1,0,0,0,1,0,0,0,0,0,0,1
269,269,1,1,0,1,0,0,1,0,0,0,0,0,0
270,270,1,1,1,0,0,0,0,1,0,0,0,0,1
271,271,1,1,1,1,0,0,0,0,0,0,0,1,1
272,272,0,0,0,0,0,0,0,0,0,0,0,1,0
273,273,0,0,0,1,0,0,0,0,0,0,0,0,1
274,274,0,0,1,0,0,0,0,0,0,0,0,1,0
275,275,0,0,1,1,0,0,0,0,0,0,0,0,1
276,276,0,1,0,0,0,0,0,0,0,0,0,1,0
277,277,0,1,0,1,0,0,0,0,0,0,0,1,0
278,278,0,1,1,0,0,0,0,0,0,0,0,0,1
279,279,0,1,1,1,0,0,0,0,0,0,0,1,0
280,280,1,0,0,0,0,0,0,1,0,0,0,0,0
281,281,1,0,0,1,0,0,0,1,0,0,0,0,0
282,282,1,0,1,0,1,0,1,0,0,0,1,1,0
283,283,1,0,1,1,0,0,0,0,0,0,0,1,0
284,284,1,1,0,0,0,1,0,0,0,0,0,0,1
285,285,1,1,0,1,0,0,0,0,0,0,0,0,0
286,286,1,1,1,0,0,1,0,0,0,0,0,0,0
287,287,1,1,1,1,0,0,0,0,0,0,0,1,1
288,288,0,0,0,0,0,0,0,0,0,0,0,1,0
289,289,0,0,0,1,0,0,0,0,0,0,0,0,1
290,290,0,0,1,0,0,0,0,0,0,0,0,1,0
291,291,0,0,1,1,0,0,0,0,0,0,0,0,1
292,292,0,1,0,0,0,0,0,0,0,0,0,1,0
293,293,0,1,0,1,0,0,0,0,0,0,0,0,1
294,294,0,1,1,0,0,0,0,0,0,0,0,1,0
295,295,0,1,1,1,0,0,0,0,0,0,0,1,0
296,296,1,0,0,0,0,0,1,0,0,0,0,0,0
297,297,1,0,0,1,0,0,0,0,1,0,0,0,1
298,298,1,0,1,0,0,0,1,0,0,0,0,0,1
299,299,1,0,1,1,0,0,0,0,0,0,1,0,1
300,300,1,1,0,0,0,0,0,0,0,0,0,1,0
301,301,1,1,0,1,0,0,0,0,0,1,0,0,1
302,302,1,1,1,0,0,0,0,0,0,0,0,0,0
303,303,1,1,1,1,1,1,1,1,0,0,1,0,0
304,304,0,0,0,0,0,0,0,0,0,0,0,0,1
305,305,0,0,0,1,0,0,0,0,0,0,0,1,0
306,306,0,0,1,0,0,0,0,0,0,0,0,0,1
307,307,0,0,1,1,0,0,0,0,0,0,0,0,1
308,308,0,1,0,0,0,0,0,0,0,0,0,0,1
309,309,0,1,0,1,0,0,0,0,0,0,0,0,1
310,310,0,1,1,0,0,0,0,0,0,0,0,1,0
311,311,0,1,1,1,0,0,0,0,0,0,0,1,0
312,312,1,0,0,0,1,0,0,0,0,1,1,0,0
313,313,1,0,0,1,0,0,1,0,0,0,0,0,0
314,314,1,0,1,0,0,0,1,0,0,0,0,0,1
315,315,1,0,1,1,0,0,0,0,0,0,1,0,1
316,316,1,1,0,0,0,0,1,0,0,0,0,0,0
317,317,1,1,0,1,1,0,0,0,0,0,0,0,0
318,318,1,1,1,0,0,0,0,1,0,0,0,0,1
319,319,1,1,1,1,1,1,1,0,1,0,1,1,0
320,320,0,0,0,0,0,0,0,0,0,0,0,0,1
321,321,0,0,0,1,0,0,0,0,0,0,0,1,0
322,322,0,0,1,0,0,0,0,0,0,0,0,0,1
323,323,0,0,1,1,0,0,0,0,0,0,0,0,1
324,324,0,1,0,0,0,0,0,0,0,0,0,0,1
325,325,0,1,0,1,0,0,0,0,0,0,0,1,0
326,326,0,1,1,0,0,0,0,0,0,0,0,0,1
327,327,0,1,1,1,0,0,0,0,0,0,0,0,1
328,328,1,0,0,0,0,0,0,0,0,0,0,0,0
329,329,1,0,0,1,0,0,0,0,1,0,0,0,1
330,330,1,0,1,0,0,0,0,0,0,0,1,0,0
331,331,1,0,1,1,1,0,0,0,0,0,0,0,0
332,332,1,1,0,0,0,0,0,0,1,0,0,0,0
333,333,1,1,0,1,0,0,0,0,0,1,0,0,1
334,334,1,1,1,0,0,0,0,0,0,0,1,0,0
335,335,1,1,1,1,0,0,0,0,0,0,0,1,1
336,336,0,0,0,0,0,0,0,0,0,0,0,1,0
337,337,0,0,0,1,0,0,0,0,0,0,0,1,0
338,338,0,0,1,0,0,0,0,0,0,0,0,1,0
339,339,0,0,1,1,0,0,0,0,0,0,0,0,1
340,340,0,1,0,0,0,0,0,0,0,0,0,1,0
341,341,0,1,0,1,0,0,0,0,0,0,0,1,0
342,342,0,1,1,0,0,0,0,0,0,0,0,0,1
343,343,0,1,1,1,0,0,0,0,0,0,0,1,0
344,344,1,0,0,0,1,0,0,0,0,0,0,0,1
345,345,1,0,0,1,0,0,0,0,1,0,0,0,1
346,346,1,0,1,0,0,1,0,0,0,0,0,0,0
347,347,1,0,1,1,0,0,0,0,0,0,1,0,1
348,348,1,1,0,0,0,0,0,0,1,0,0,0,0
349,349,1,1,0,1,1,0,1,0,1,1,1,0,0
350,350,1,1,1,0,0,0,1,0,0,0,0,0,0
351,351,1,1,1,1,0,0,0,0,1,0,0,0,0
352,352,0,0,0,0,0,0,0,0,0,0,0,1,0
353,353,0,0,0,1,0,0,0,0,0,0,0,0,1
354,354,0,0,1,0,0,0,0,0,0,0,0,0,1
355,355,0,0,1,1,0,0,0,0,0,0,0,0,1
356,356,0,1,0,0,0,0,0,0,0,0,0,0,1
357,357,0,1,0,1,0,0,0,0,0,0,0,0,1
358,358,0,1,1,0,0,0,0,0,0,0,0,0,1
359,359,0,1,1,1,0,0,0,0,0,0,0,0,1
360,360,1,0,0,0,0,0,0,0,0,0,1,0,0
361,361,1,0,0,1,0,0,0,0,1,0,0,0,1
362,362,1,0,1,0,0,0,1,0,0,0,0,0,1
363,363,1,0,1,1,0,0,0,0,0,1,0,0,0
364,364,1,1,0,0,1,0,1,0,1,1,1,0,0
365,365,1,1,0,1,0,0,0,0,0,1,0,0,1
366,366,1,1,1,0,0,0,0,0,0,0,0,1,0
367,367,1,1,1,1,0,0,0,0,0,0,1,0,0
368,368,0,0,0,0,0,0,0,0,0,0,0,0,1
369,369,0,0,0,1,0,0,0,0,0,0,0,1,0
370,370,0,0,1,0,0,0,0,0,0,0,0,0,1
371,371,0,0,1,1,0,0,0,0,0,0,0,0,1
372,372,0,1,0,0,0,0,0,0,0,0,0,0,1
373,373,0,1,0,1,0,0,0,0,0,0,0,1,0
374,374,0,1,1,0,0,0,0,0,0,0,0,0,1
375,375,0,1,1,1,0,0,0,0,0,0,0,0,1
376,376,1,0,0,0,0,1,0,0,0,0,0,0,0
377,377,1,0,0,1,0,0,0,0,1,0,0,0,1
378,378,1,0,1,0,0,1,0,0,0,0,0,0,0
379,379,1,0,1,1,0,0,0,0,1,0,0,0,0
380,380,1,1,0,0,0,0,1,0,0,0,0,0,0
381,381,1,1,0,1,0,0,0,0,0,1,0,0,1
382,382,1,1,1,0,0,0,0,0,1,0,0,0,0
383,383,1,1,1,1,1,0,0,0,0,0,0,0,0
384,384,0,0,0,0,0,0,0,0,0,0,0,0,1
385,385,0,0,0,1,0,0,0,0,0,0,0,0,1
386,386,0,0,1,0,0,0,0,0,0,0,0,0,1
387,387,0,0,1,1,0,0,0,0,0,0,0,0,1
388,388,0,1,0,0,0,0,0,0,0,0,0,1,0
389,389,0,1,0,1,0,0,0,0,0,0,0,0,1
390,390,0,1,1,0,0,0,0,0,0,0,0,0,1
391,391,0,1,1,1,0,0,0,0,0,0,0,1,0
392,392,1,0,0,0,0,0,0,0,0,0,0,1,0
393,393,1,0,0,1,0,0,0,0,1,0,0,0,1
394,394,1,0,1,0,0,0,1,0,0,0,0,0,1
395,395,1,0,1,1,0,0,0,0,0,0,0,1,0
396,396,1,1,0,0,0,1,0,0,0,0,0,0,1
397,397,1,1,0,1,1,0,0,0,0,0,0,0,0
398,398,1,1,1,0,0,0,1,0,0,0,0,0,0
399,399,1,1,1,1,0,0,0,0,1,0,0,0,0
400,400,0,0,0,0,0,0,0,0,0,0,0,0,1
401,401,0,0,0,1,0,0,0,0,0,0,0,0,1
402,402,0,0,1,0,0,0,0,0,0,0,0,0,1
403,403,0,0,1,1,0,0,0,0,0,0,0,1,0
404,404,0,1,0,0,0,0,0,0,0,0,0,1,0
405,405,0,1,0,1,0,0,0,0,0,0,0,0,1
406,406,0,1,1,0,0,0,0,0,0,0,0,1,0
407,407,0,1,1,1,0,0,0,0,0,0,0,1,0
408,408,1,0,0,0,0,0,0,0,0,0,0,1,0
409,409,1,0,0,1,0,0,0,1,0,0,0,0,0
410,410,1,0,1,0,0,0,1,0,0,0,0,0,1
411,411,1,0,1,1,0,0,0,0,0,0,0,0,0
412,412,1,1,0,0,0,0,0,0,0,0,0,0,0
413,413,1,1,0,1,0,0,0,1,0,0,0,0,0
414,414,1,1,1,0,0,0,0,1,0,0,0,0,1
415,415,1,1,1,1,0,0,0,0,0,0,0,0,0
416,416,0,0,0,0,0,0,0,0,0,0,0,1,0
417,417,0,0,0,1,0,0,0,0,0,0,0,1,0
418,418,0,0,1,0,0,0,0,0,0,0,0,1,0
419,419,0,0,1,1,0,0,0,0,0,0,0,0,1
420,420,0,1,0,0,0,0,0,0,0,0,0,1,0
421,421,0,1,0,1,0,0,0,0,0,0,0,0,1
422,422,0,1,1,0,0,0,0,0,0,0,0,1,0
423,423,0,1,1,1,0,0,0,0,0,0,0,1,0
424,424,1,0,0,0,1,0,0,0,0,0,0,0,1
425,425,1,0,0,1,0,0,1,0,0,0,0,0,0
426,426,1,0,1,0,0,0,1,0,0,0,0,0,1
427,427,1,0,1,1,1,0,0,0,0,0,0,0,0
428,428,1,1,0,0,1,1,1,0,0,1,1,0,0
429,429,1,1,0,1,0,0,0,0,1,0,0,0,0
430,430,1,1,1,0,0,0,0,0,0,1,0,0,0
431,431,1,1,1,1,0,0,0,0,0,0,0,1,1
432,432,0,0,0,0,0,0,0,0,0,0,0,1,0
433,433,0,0,0,1,0,0,0,0,0,0,0,0,1
434,434,0,0,1,0,0,0,0,0,0,0,0,0,1
435,435,0,0,1,1,0,0,0,0,0,0,0,1,0
436,436,0,1,0,0,0,0,0,0,0,0,0,0,1
437,437,0,1,0,1,0,0,0,0,0,0,0,1,0
438,438,0,1,1,0,0,0,0,0,0,0,0,0,1
439,439,0,1,1,1,0,0,0,0,0,0,0,1,0
440,440,1,0,0,0,0,0,0,0,0,0,0,0,0
441,441,1,0,0,1,1,1,1,1,0,1,1,0,0
442,442,1,0,1,0,0,0,1,0,0,0,0,0,1
443,443,1,0,1,1,0,0,0,0,0,0,0,1,0
444,444,1,1,0,0,0,0,0,0,0,0,0,1,0
445,445,1,1,0,1,0,0,1,0,0,0,0,0,0
446,446,1,1,1,0,0,0,0,1,0,0,0,0,1
447,447,1,1,1,1,1,1,0,0,0,1,1,0,0
448,448,0,0,0,0,0,0,0,0,0,0,0,1,0
449,449,0,0,0,1,0,0,0,0,0,0,0,1,0
450,450,0,0,1,0,0,0,0,0,0,0,0,1,0
451,451,0,0,1,1,0,0,0,0,0,0,0,0,1
452,452,0,1,0,0,0,0,0,0,0,0,0,0,1
453,453,0,1,0,1,0,0,0,0,0,0,0,1,0
454,454,0,1,1,0,0,0,0,0,0,0,0,0,1
455,455,0,1,1,1,0,0,0,0,0,0,0,1,0
456,456,1,0,0,0,0,0,0,0,0,0,0,1,0
457,457,1,0,0,1,0,0,0,0,0,0,0,0,0
458,458,1,0,1,0,0,0,1,0,0,0,0,0,1
459,459,1,0,1,1,0,0,0,0,0,0,0,0,0
460,460,1,1,0,0,0,1,0,0,0,0,0,0,1
461,461,1,1,0,1,0,0,0,0,0,0,1,0,0
462,462,1,1,1,0,0,0,0,0,1,0,0,0,0
