,time,input,output
145,145,1,9
146,146,0,9
147,147,1,10
148,148,0,10
149,149,1,11
150,150,0,11
151,151,1,12
152,152,0,12
153,153,1,13
154,154,0,13
155,155,1,14
156,156,0,14
157,157,1,15
158,158,0,15
159,159,1,16
160,160,0,16
161,161,1,17
162,162,0,17
163,163,1,18
164,164,0,18
165,165,1,19
166,166,0,19
167,167,1,20
168,168,0,20
169,169,1,21
170,170,0,21
171,171,1,22
172,172,0,22
173,173,1,23
174,174,0,23
175,175,1,24
176,176,0,24
177,177,1,25
178,178,0,25
179,179,1,26
180,180,0,26
181,181,1,27
182,182,0,27
183,183,1,28
184,184,0,28
185,185,1,29
186,186,0,29
187,187,1,30
188,188,0,30
189,189,1,31
190,190,0,31
191,191,1,0
192,192,0,0
193,193,1,1
194,194,0,1
195,195,1,2
196,196,0,2
197,197,1,3
198,198,0,3
199,199,1,4
200,200,0,4
201,201,1,5
202,202,0,5
203,203,1,6
204,204,0,6
205,205,1,7
206,206,0,7
207,207,1,8
208,208,0,8
209,209,1,9
210,210,0,9
211,211,1,10
212,212,0,10
213,213,1,11
214,214,0,11
215,215,1,12
216,216,0,12
217,217,1,13
218,218,0,13
219,219,1,14
220,220,0,14
221,221,1,15
222,222,0,15
223,223,1,16
224,224,0,16
225,225,1,17
226,226,0,17
227,227,1,18
228,228,0,18
229,229,1,19
230,230,0,19
231,231,1,20
232,232,0,20
233,233,1,21
234,234,0,21
235,235,1,22
236,236,0,22
237,237,1,23
238,238,0,23
239,239,1,24
240,240,0,24
241,241,1,25
242,242,0,25
243,243,1,26
244,244,0,26
245,245,1,27
246,246,0,27
247,247,1,28
248,248,0,28
249,249,1,29
250,250,0,29
251,251,1,30
252,252,0,30
253,253,1,31
254,254,0,31
255,255,1,0
256,256,0,0
257,257,1,1
258,258,0,1
259,259,1,2
260,260,0,2
261,261,1,3
262,262,0,3
263,263,1,4
264,264,0,4
265,265,1,5
266,266,0,5
267,267,1,6
268,268,0,6
269,269,1,7
270,270,0,7
271,271,1,8
272,272,0,8
273,273,1,9
274,274,0,9
275,275,1,10
276,276,0,10
277,277,1,11
278,278,0,11
279,279,1,12
280,280,0,12
281,281,1,13
282,282,0,13
283,283,1,14
284,284,0,14
285,285,1,15
286,286,0,15
287,287,1,16
288,288,0,16
289,289,1,17
290,290,0,17
291,291,1,18
292,292,0,18
293,293,1,19
294,294,0,19
295,295,1,20
296,296,0,20
297,297,1,21
298,298,0,21
299,299,1,22
300,300,0,22
301,301,1,23
302,302,0,23
303,303,1,24
304,304,0,24
305,305,1,25
306,306,0,25
307,307,1,26
308,308,0,26
309,309,1,27
310,310,0,27
311,311,1,28
312,312,0,28
313,313,1,29
314,314,0,29
315,315,1,30
316,316,0,30
317,317,1,31
318,318,0,31
319,319,1,0
320,320,0,0
321,321,1,1
322,322,0,1
323,323,1,2
324,324,0,2
325,325,1,3
326,326,0,3
327,327,1,4
328,328,0,4
329,329,1,5
330,330,0,5
331,331,1,6
332,332,0,6
333,333,1,7
334,334,0,7
335,335,1,8
336,336,0,8
337,337,1,9
338,338,0,9
339,339,1,10
340,340,0,10
341,341,1,11
342,342,0,11
343,343,1,12
344,344,0,12
345,345,1,13
346,346,0,13
347,347,1,14
348,348,0,14
349,349,1,15
350,350,0,15
351,351,1,16
352,352,0,16
353,353,1,17
354,354,0,17
355,355,1,18
356,356,0,18
357,357,1,19
358,358,0,19
359,359,1,20
360,360,0,20
361,361,1,21
362,362,0,21
363,363,1,22
364,364,0,22
365,365,1,23
366,366,0,23
367,367,1,24
368,368,0,24
369,369,1,25
370,370,0,25
371,371,1,26
372,372,0,26
373,373,1,27
374,374,0,27
375,375,1,28
376,376,0,28
377,377,1,29
378,378,0,29
379,379,1,30
380,380,0,30
381,381,1,31
382,382,0,31
383,383,1,0
384,384,0,0
385,385,1,1
386,386,0,1
387,387,1,2
388,388,0,2
389,389,1,3
390,390,0,3
391,391,1,4
392,392,0,4
393,393,1,5
394,394,0,5
395,395,1,6
396,396,0,6
397,397,1,7
398,398,0,7
399,399,1,8
400,400,0,8
401,401,1,9
402,402,0,9
403,403,1,10
404,404,0,10
405,405,1,11
406,406,0,11
407,407,1,12
408,408,0,12
409,409,1,13
410,410,0,13
411,411,1,14
412,412,0,14
413,413,1,15
414,414,0,15
415,415,1,16
416,416,0,16
417,417,1,17
418,418,0,17
419,419,1,18
420,420,0,18
421,421,1,19
422,422,0,19
423,423,1,20
424,424,0,20
425,425,1,21
426,426,0,21
427,427,1,22
428,428,0,22
429,429,1,23
430,430,0,23
431,431,1,24
432,432,0,24
433,433,1,25
434,434,0,25
435,435,1,26
436,436,0,26
437,437,1,27
438,438,0,27
439,439,1,28
440,440,0,28
441,441,1,29
442,442,0,29
443,443,1,30
444,444,0,30
445,445,1,31
446,446,0,31
447,447,1,0
448,448,0,0
449,449,1,1
450,450,0,1
451,451,1,2
452,452,0,2
453,453,1,3
454,454,0,3
455,455,1,4
456,456,0,4
457,457,1,5
458,458,0,5
459,459,1,6
460,460,0,6
461,461,1,7
462,462,0,7
463,463,1,8
464,464,0,8
465,465,1,9
466,466,0,9
467,467,1,10
468,468,0,10
469,469,1,11
470,470,0,11
471,471,1,12
472,472,0,12
473,473,1,13
474,474,0,13
475,475,1,14
476,476,0,14
477,477,1,15
478,478,0,15
479,479,1,16
480,480,0,16
481,481,1,17
482,482,0,17
483,483,1,18
484,484,0,18
485,485,1,19
486,486,0,19
487,487,1,20
488,488,0,20
489,489,1,21
490,490,0,21
491,491,1,22
492,492,0,22
493,493,1,23
494,494,0,23
495,495,1,24
496,496,0,24
497,497,1,25
498,498,0,25
499,499,1,26
500,500,0,26
501,501,1,27
502,502,0,27
503,503,1,28
504,504,0,28
505,505,1,29
506,506,0,29
507,507,1,30
508,508,0,30
509,509,1,31
510,510,0,31
511,511,1,0
512,512,0,0
513,513,1,1
514,514,0,1
515,515,1,2
516,516,0,2
517,517,1,3
518,518,0,3
519,519,1,4
520,520,0,4
521,521,1,5
522,522,0,5
523,523,1,6
524,524,0,6
525,525,1,7
526,526,0,7
527,527,1,8
528,528,0,8
529,529,1,9
530,530,0,9
531,531,1,10
532,532,0,10
533,533,1,11
534,534,0,11
535,535,1,12
536,536,0,12
537,537,1,13
538,538,0,13
539,539,1,14
540,540,0,14
541,541,1,15
542,542,0,15
543,543,1,16
544,544,0,16
545,545,1,17
546,546,0,17
547,547,1,18
548,548,0,18
549,549,1,19
550,550,0,19
551,551,1,20
552,552,0,20
553,553,1,21
554,554,0,21
555,555,1,22
556,556,0,22
557,557,1,23
558,558,0,23
559,559,1,24
560,560,0,24
561,561,1,25
562,562,0,25
563,563,1,26
564,564,0,26
565,565,1,27
566,566,0,27
567,567,1,28
568,568,0,28
569,569,1,29
570,570,0,29
571,571,1,30
572,572,0,30
573,573,1,31
574,574,0,31
575,575,1,0
576,576,0,0
577,577,1,1
578,578,0,1
579,579,1,2
580,580,0,2
581,581,1,3
582,582,0,3
583,583,1,4
584,584,0,4
585,585,1,5
586,586,0,5
587,587,1,6
588,588,0,6
589,589,1,7
590,590,0,7
591,591,1,8
592,592,0,8
593,593,1,9
594,594,0,9
595,595,1,10
596,596,0,10
597,597,1,11
598,598,0,11
599,599,1,12
600,600,0,12
601,601,1,13
602,602,0,13
603,603,1,14
604,604,0,14
605,605,1,15
606,606,0,15
607,607,1,16
608,608,0,16
609,609,1,17
610,610,0,17
611,611,1,18
612,612,0,18
613,613,1,19
614,614,0,19
615,615,1,20
616,616,0,20
617,617,1,21
618,618,0,21
619,619,1,22
620,620,0,22
621,621,1,23
622,622,0,23
623,623,1,24
624,624,0,24
625,625,1,25
626,626,0,25
627,627,1,26
628,628,0,26
629,629,1,27
630,630,0,27
631,631,1,28
632,632,0,28
633,633,1,29
634,634,0,29
635,635,1,30
636,636,0,30
637,637,1,31
638,638,0,31
639,639,1,0
640,640,0,0
641,641,1,1
642,642,0,1
643,643,1,2
644,644,0,2
645,645,1,3
646,646,0,3
647,647,1,4
648,648,0,4
649,649,1,5
650,650,0,5
651,651,1,6
652,652,0,6
653,653,1,7
654,654,0,7
655,655,1,8
656,656,0,8
657,657,1,9
658,658,0,9
659,659,1,10
660,660,0,10
661,661,1,11
662,662,0,11
663,663,1,12
664,664,0,12
665,665,1,13
666,666,0,13
667,667,1,14
668,668,0,14
669,669,1,15
670,670,0,15
671,671,1,16
672,672,0,16
673,673,1,17
674,674,0,17
675,675,1,18
676,676,0,18
677,677,1,19
678,678,0,19
679,679,1,20
680,680,0,20
681,681,1,21
682,682,0,21
683,683,1,22
684,684,0,22
685,685,1,23
686,686,0,23
687,687,1,24
688,688,0,24
689,689,1,25
690,690,0,25
691,691,1,26
692,692,0,26
693,693,1,27
694,694,0,27
695,695,1,28
696,696,0,28
697,697,1,29
698,698,0,29
699,699,1,30
700,700,0,30
701,701,1,31
702,702,0,31
703,703,1,0
704,704,0,0
705,705,1,1
706,706,0,1
707,707,1,2
708,708,0,2
709,709,1,3
710,710,0,3
711,711,1,4
712,712,0,4
713,713,1,5
714,714,0,5
715,715,1,6
716,716,0,6
717,717,1,7
718,718,0,7
719,719,1,8
720,720,0,8
721,721,1,9
722,722,0,9
723,723,1,10
724,724,0,10
725,725,1,11
726,726,0,11
727,727,1,12
728,728,0,12
729,729,1,13
730,730,0,13
731,731,1,14
732,732,0,14
733,733,1,15
734,734,0,15
735,735,1,16
736,736,0,16
737,737,1,17
738,738,0,17
739,739,1,18
740,740,0,18
741,741,1,19
742,742,0,19
743,743,1,20
744,744,0,20
745,745,1,21
746,746,0,21
747,747,1,22
748,748,0,22
749,749,1,23
750,750,0,23
751,751,1,24
752,752,0,24
753,753,1,25
754,754,0,25
755,755,1,26
756,756,0,26
757,757,1,27
758,758,0,27
759,759,1,28
760,760,0,28
761,761,1,29
762,762,0,29
763,763,1,30
764,764,0,30
765,765,1,31
766,766,0,31
767,767,1,0
768,768,0,0
769,769,1,1
770,770,0,1
771,771,1,2
772,772,0,2
773,773,1,3
774,774,0,3
775,775,1,4
776,776,0,4
777,777,1,5
778,778,0,5
779,779,1,6
780,780,0,6
781,781,1,7
782,782,0,7
783,783,1,8
784,784,0,8
785,785,1,9
786,786,0,9
787,787,1,10
788,788,0,10
789,789,1,11
790,790,0,11
791,791,1,12
792,792,0,12
793,793,1,13
794,794,0,13
795,795,1,14
796,796,0,14
797,797,1,15
798,798,0,15
799,799,1,16
800,800,0,16
801,801,1,17
802,802,0,17
803,803,1,18
804,804,0,18
805,805,1,19
806,806,0,19
807,807,1,20
808,808,0,20
809,809,1,21
810,810,0,21
811,811,1,22
812,812,0,22
813,813,1,23
814,814,0,23
815,815,1,24
816,816,0,24
817,817,1,25
818,818,0,25
819,819,1,26
820,820,0,26
821,821,1,27
822,822,0,27
823,823,1,28
824,824,0,28
825,825,1,29
826,826,0,29
827,827,1,30
828,828,0,30
829,829,1,31
830,830,0,31
831,831,1,0
832,832,0,0
833,833,1,1
834,834,0,1
835,835,1,2
836,836,0,2
837,837,1,3
838,838,0,3
839,839,1,4
840,840,0,4
841,841,1,5
842,842,0,5
843,843,1,6
844,844,0,6
845,845,1,7
846,846,0,7
847,847,1,8
848,848,0,8
849,849,1,9
850,850,0,9
851,851,1,10
852,852,0,10
853,853,1,11
854,854,0,11
855,855,1,12
856,856,0,12
857,857,1,13
858,858,0,13
859,859,1,14
860,860,0,14
861,861,1,15
862,862,0,15
863,863,1,16
864,864,0,16
865,865,1,17
866,866,0,17
867,867,1,18
868,868,0,18
869,869,1,19
870,870,0,19
871,871,1,20
872,872,0,20
873,873,1,21
874,874,0,21
875,875,1,22
876,876,0,22
877,877,1,23
878,878,0,23
879,879,1,24
880,880,0,24
881,881,1,25
882,882,0,25
883,883,1,26
884,884,0,26
885,885,1,27
886,886,0,27
887,887,1,28
888,888,0,28
889,889,1,29
890,890,0,29
891,891,1,30
892,892,0,30
893,893,1,31
894,894,0,31
895,895,1,0
896,896,0,0
897,897,1,1
898,898,0,1
899,899,1,2
900,900,0,2
901,901,1,3
902,902,0,3
903,903,1,4
904,904,0,4
905,905,1,5
906,906,0,5
907,907,1,6
908,908,0,6
909,909,1,7
910,910,0,7
911,911,1,8
912,912,0,8
913,913,1,9
914,914,0,9
915,915,1,10
916,916,0,10
917,917,1,11
918,918,0,11
919,919,1,12
920,920,0,12
921,921,1,13
922,922,0,13
923,923,1,14
924,924,0,14
925,925,1,15
926,926,0,15
927,927,1,16
928,928,0,16
929,929,1,17
930,930,0,17
931,931,1,18
932,932,0,18
933,933,1,19
934,934,0,19
935,935,1,20
936,936,0,20
937,937,1,21
938,938,0,21
939,939,1,22
940,940,0,22
941,941,1,23
942,942,0,23
943,943,1,24
944,944,0,24
945,945,1,25
946,946,0,25
947,947,1,26
948,948,0,26
949,949,1,27
950,950,0,27
951,951,1,28
952,952,0,28
953,953,1,29
954,954,0,29
955,955,1,30
956,956,0,30
957,957,1,31
958,958,0,31
959,959,1,0
960,960,0,0
961,961,1,1
962,962,0,1
963,963,1,2
964,964,0,2
965,965,1,3
966,966,0,3
967,967,1,4
968,968,0,4
969,969,1,5
970,970,0,5
971,971,1,6
972,972,0,6
973,973,1,7
974,974,0,7
975,975,1,8
976,976,0,8
977,977,1,9
978,978,0,9
979,979,1,10
980,980,0,10
981,981,1,11
982,982,0,11
983,983,1,12
984,984,0,12
985,985,1,13
986,986,0,13
987,987,1,14
988,988,0,14
989,989,1,15
990,990,0,15
991,991,1,16
992,992,0,16
993,993,1,17
994,994,0,17
995,995,1,18
996,996,0,18
997,997,1,19
998,998,0,19
999,999,1,20
1000,1000,0,20
1001,1001,1,21
1002,1002,0,21
1003,1003,1,22
1004,1004,0,22
1005,1005,1,23
1006,1006,0,23
1007,1007,1,24
1008,1008,0,24
1009,1009,1,25
1010,1010,0,25
1011,1011,1,26
1012,1012,0,26
1013,1013,1,27
1014,1014,0,27
1015,1015,1,28
1016,1016,0,28
1017,1017,1,29
1018,1018,0,29
1019,1019,1,30
1020,1020,0,30
1021,1021,1,31
1022,1022,0,31
1023,1023,1,0
1024,1024,0,0
1025,1025,1,1
1026,1026,0,1
1027,1027,1,2
1028,1028,0,2
1029,1029,1,3
1030,1030,0,3
1031,1031,1,4
1032,1032,0,4
1033,1033,1,5
1034,1034,0,5
1035,1035,1,6
1036,1036,0,6
1037,1037,1,7
1038,1038,0,7
1039,1039,1,8
1040,1040,0,8
1041,1041,1,9
1042,1042,0,9
1043,1043,1,10
1044,1044,0,10
1045,1045,1,11
1046,1046,0,11
1047,1047,1,12
1048,1048,0,12
1049,1049,1,13
1050,1050,0,13
1051,1051,1,14
1052,1052,0,14
1053,1053,1,15
1054,1054,0,15
1055,1055,1,16
1056,1056,0,16
1057,1057,1,17
1058,1058,0,17
1059,1059,1,18
1060,1060,0,18
1061,1061,1,19
1062,1062,0,19
1063,1063,1,20
1064,1064,0,20
1065,1065,1,21
1066,1066,0,21
1067,1067,1,22
1068,1068,0,22
1069,1069,1,23
1070,1070,0,23
1071,1071,1,24
1072,1072,0,24
1073,1073,1,25
1074,1074,0,25
1075,1075,1,26
1076,1076,0,26
1077,1077,1,27
1078,1078,0,27
1079,1079,1,28
1080,1080,0,28
1081,1081,1,29
1082,1082,0,29
1083,1083,1,30
1084,1084,0,30
1085,1085,1,31
1086,1086,0,31
1087,1087,1,0
1088,1088,0,0
1089,1089,1,1
1090,1090,0,1
1091,1091,1,2
1092,1092,0,2
1093,1093,1,3
1094,1094,0,3
1095,1095,1,4
1096,1096,0,4
1097,1097,1,5
1098,1098,0,5
1099,1099,1,6
1100,1100,0,6
1101,1101,1,7
1102,1102,0,7
1103,1103,1,8
1104,1104,0,8
1105,1105,1,9
1106,1106,0,9
1107,1107,1,10
1108,1108,0,10
1109,1109,1,11
1110,1110,0,11
1111,1111,1,12
1112,1112,0,12
1113,1113,1,13
1114,1114,0,13
1115,1115,1,14
1116,1116,0,14
1117,1117,1,15
1118,1118,0,15
1119,1119,1,16
1120,1120,0,16
1121,1121,1,17
1122,1122,0,17
1123,1123,1,18
1124,1124,0,18
1125,1125,1,19
1126,1126,0,19
1127,1127,1,20
1128,1128,0,20
1129,1129,1,21
1130,1130,0,21
1131,1131,1,22
1132,1132,0,22
1133,1133,1,23
1134,1134,0,23
1135,1135,1,24
1136,1136,0,24
1137,1137,1,25
1138,1138,0,25
1139,1139,1,26
1140,1140,0,26
1141,1141,1,27
1142,1142,0,27
1143,1143,1,28
1144,1144,0,28
1145,1145,1,29
1146,1146,0,29
1147,1147,1,30
1148,1148,0,30
1149,1149,1,31
1150,1150,0,31
1151,1151,1,0
1152,1152,0,0
1153,1153,1,1
1154,1154,0,1
1155,1155,1,2
1156,1156,0,2
1157,1157,1,3
1158,1158,0,3
1159,1159,1,4
1160,1160,0,4
1161,1161,1,5
1162,1162,0,5
1163,1163,1,6
1164,1164,0,6
1165,1165,1,7
1166,1166,0,7
1167,1167,1,8
1168,1168,0,8
1169,1169,1,9
1170,1170,0,9
1171,1171,1,10
1172,1172,0,10
1173,1173,1,11
1174,1174,0,11
1175,1175,1,12
1176,1176,0,12
1177,1177,1,13
1178,1178,0,13
1179,1179,1,14
1180,1180,0,14
1181,1181,1,15
1182,1182,0,15
1183,1183,1,16
1184,1184,0,16
1185,1185,1,17
1186,1186,0,17
1187,1187,1,18
1188,1188,0,18
1189,1189,1,19
1190,1190,0,19
1191,1191,1,20
1192,1192,0,20
1193,1193,1,21
1194,1194,0,21
1195,1195,1,22
1196,1196,0,22
1197,1197,1,23
1198,1198,0,23
1199,1199,1,24
1200,1200,0,24
1201,1201,1,25
1202,1202,0,25
1203,1203,1,26
1204,1204,0,26
1205,1205,1,27
1206,1206,0,27
1207,1207,1,28
1208,1208,0,28
1209,1209,1,29
1210,1210,0,29
1211,1211,1,30
1212,1212,0,30
1213,1213,1,31
1214,1214,0,31
1215,1215,1,0
1216,1216,0,0
1217,1217,1,1
1218,1218,0,1
1219,1219,1,2
1220,1220,0,2
1221,1221,1,3
1222,1222,0,3
1223,1223,1,4
1224,1224,0,4
1225,1225,1,5
1226,1226,0,5
1227,1227,1,6
1228,1228,0,6
1229,1229,1,7
1230,1230,0,7
1231,1231,1,8
1232,1232,0,8
1233,1233,1,9
1234,1234,0,9
1235,1235,1,10
1236,1236,0,10
1237,1237,1,11
1238,1238,0,11
1239,1239,1,12
1240,1240,0,12
1241,1241,1,13
1242,1242,0,13
1243,1243,1,14
1244,1244,0,14
1245,1245,1,15
1246,1246,0,15
1247,1247,1,16
1248,1248,0,16
1249,1249,1,17
1250,1250,0,17
1251,1251,1,18
1252,1252,0,18
1253,1253,1,19
1254,1254,0,19
1255,1255,1,20
1256,1256,0,20
1257,1257,1,21
1258,1258,0,21
1259,1259,1,22
1260,1260,0,22
1261,1261,1,23
1262,1262,0,23
1263,1263,1,24
1264,1264,0,24
1265,1265,1,25
1266,1266,0,25
1267,1267,1,26
1268,1268,0,26
1269,1269,1,27
1270,1270,0,27
1271,1271,1,28
1272,1272,0,28
1273,1273,1,29
1274,1274,0,29
1275,1275,1,30
1276,1276,0,30
1277,1277,1,31
1278,1278,0,31
1279,1279,1,0
1280,1280,0,0
1281,1281,1,1
1282,1282,0,1
1283,1283,1,2
1284,1284,0,2
1285,1285,1,3
1286,1286,0,3
1287,1287,1,4
1288,1288,0,4
1289,1289,1,5
1290,1290,0,5
1291,1291,1,6
1292,1292,0,6
1293,1293,1,7
1294,1294,0,7
1295,1295,1,8
1296,1296,0,8
1297,1297,1,9
1298,1298,0,9
1299,1299,1,10
1300,1300,0,10
1301,1301,1,11
1302,1302,0,11
1303,1303,1,12
1304,1304,0,12
1305,1305,1,13
1306,1306,0,13
1307,1307,1,14
1308,1308,0,14
1309,1309,1,15
1310,1310,0,15
1311,1311,1,16
1312,1312,0,16
1313,1313,1,17
1314,1314,0,17
1315,1315,1,18
1316,1316,0,18
1317,1317,1,19
1318,1318,0,19
1319,1319,1,20
1320,1320,0,20
1321,1321,1,21
1322,1322,0,21
1323,1323,1,22
1324,1324,0,22
1325,1325,1,23
1326,1326,0,23
1327,1327,1,24
1328,1328,0,24
1329,1329,1,25
1330,1330,0,25
1331,1331,1,26
1332,1332,0,26
1333,1333,1,27
1334,1334,0,27
1335,1335,1,28
1336,1336,0,28
1337,1337,1,29
1338,1338,0,29
1339,1339,1,30
1340,1340,0,30
1341,1341,1,31
1342,1342,0,31
1343,1343,1,0
1344,1344,0,0
1345,1345,1,1
1346,1346,0,1
1347,1347,1,2
1348,1348,0,2
1349,1349,1,3
1350,1350,0,3
1351,1351,1,4
1352,1352,0,4
1353,1353,1,5
1354,1354,0,5
1355,1355,1,6
1356,1356,0,6
1357,1357,1,7
1358,1358,0,7
1359,1359,1,8
1360,1360,0,8
1361,1361,1,9
1362,1362,0,9
1363,1363,1,10
1364,1364,0,10
1365,1365,1,11
1366,1366,0,11
1367,1367,1,12
1368,1368,0,12
1369,1369,1,13
1370,1370,0,13
1371,1371,1,14
1372,1372,0,14
1373,1373,1,15
1374,1374,0,15
1375,1375,1,16
1376,1376,0,16
1377,1377,1,17
1378,1378,0,17
1379,1379,1,18
1380,1380,0,18
1381,1381,1,19
1382,1382,0,19
1383,1383,1,20
1384,1384,0,20
1385,1385,1,21
1386,1386,0,21
1387,1387,1,22
1388,1388,0,22
1389,1389,1,23
1390,1390,0,23
1391,1391,1,24
1392,1392,0,24
1393,1393,1,25
1394,1394,0,25
1395,1395,1,26
1396,1396,0,26
1397,1397,1,27
1398,1398,0,27
1399,1399,1,28
1400,1400,0,28
1401,1401,1,29
1402,1402,0,29
1403,1403,1,30
1404,1404,0,30
1405,1405,1,31
1406,1406,0,31
1407,1407,1,0
1408,1408,0,0
1409,1409,1,1
1410,1410,0,1
1411,1411,1,2
1412,1412,0,2
1413,1413,1,3
1414,1414,0,3
1415,1415,1,4
1416,1416,0,4
1417,1417,1,5
1418,1418,0,5
1419,1419,1,6
1420,1420,0,6
1421,1421,1,7
1422,1422,0,7
1423,1423,1,8
1424,1424,0,8
1425,1425,1,9
1426,1426,0,9
1427,1427,1,10
1428,1428,0,10
1429,1429,1,11
1430,1430,0,11
1431,1431,1,12
1432,1432,0,12
1433,1433,1,13
1434,1434,0,13
1435,1435,1,14
1436,1436,0,14
1437,1437,1,15
1438,1438,0,15
1439,1439,1,16
1440,1440,0,16
1441,1441,1,17
1442,1442,0,17
1443,1443,1,18
1444,1444,0,18
1445,1445,1,19
1446,1446,0,19
1447,1447,1,20
1448,1448,0,20
1449,1449,1,21
1450,1450,0,21
1451,1451,1,22
1452,1452,0,22
1453,1453,1,23
1454,1454,0,23
1455,1455,1,24
1456,1456,0,24
1457,1457,1,25
1458,1458,0,25
1459,1459,1,26
1460,1460,0,26
1461,1461,1,27
1462,1462,0,27
1463,1463,1,28
1464,1464,0,28
1465,1465,1,29
1466,1466,0,29
1467,1467,1,30
1468,1468,0,30
1469,1469,1,31
1470,1470,0,31
1471,1471,1,0
1472,1472,0,0
1473,1473,1,1
1474,1474,0,1
1475,1475,1,2
1476,1476,0,2
1477,1477,1,3
1478,1478,0,3
1479,1479,1,4
1480,1480,0,4
1481,1481,1,5
1482,1482,0,5
1483,1483,1,6
1484,1484,0,6
1485,1485,1,7
1486,1486,0,7
1487,1487,1,8
1488,1488,0,8
1489,1489,1,9
1490,1490,0,9
1491,1491,1,10
1492,1492,0,10
1493,1493,1,11
1494,1494,0,11
1495,1495,1,12
1496,1496,0,12
1497,1497,1,13
1498,1498,0,13
1499,1499,1,14
1500,1500,0,14
1501,1501,1,15
1502,1502,0,15
1503,1503,1,16
1504,1504,0,16
1505,1505,1,17
1506,1506,0,17
1507,1507,1,18
1508,1508,0,18
1509,1509,1,19
1510,1510,0,19
1511,1511,1,20
1512,1512,0,20
1513,1513,1,21
1514,1514,0,21
1515,1515,1,22
1516,1516,0,22
1517,1517,1,23
1518,1518,0,23
1519,1519,1,24
1520,1520,0,24
1521,1521,1,25
1522,1522,0,25
1523,1523,1,26
1524,1524,0,26
1525,1525,1,27
1526,1526,0,27
1527,1527,1,28
1528,1528,0,28
1529,1529,1,29
1530,1530,0,29
1531,1531,1,30
1532,1532,0,30
1533,1533,1,31
1534,1534,0,31
1535,1535,1,0
1536,1536,0,0
1537,1537,1,1
1538,1538,0,1
1539,1539,1,2
1540,1540,0,2
1541,1541,1,3
1542,1542,0,3
1543,1543,1,4
1544,1544,0,4
1545,1545,1,5
1546,1546,0,5
1547,1547,1,6
1548,1548,0,6
1549,1549,1,7
1550,1550,0,7
1551,1551,1,8
1552,1552,0,8
1553,1553,1,9
1554,1554,0,9
1555,1555,1,10
1556,1556,0,10
1557,1557,1,11
1558,1558,0,11
1559,1559,1,12
1560,1560,0,12
1561,1561,1,13
1562,1562,0,13
1563,1563,1,14
1564,1564,0,14
1565,1565,1,15
1566,1566,0,15
1567,1567,1,16
1568,1568,0,16
1569,1569,1,17
1570,1570,0,17
1571,1571,1,18
1572,1572,0,18
1573,1573,1,19
1574,1574,0,19
1575,1575,1,20
1576,1576,0,20
1577,1577,1,21
1578,1578,0,21
1579,1579,1,22
1580,1580,0,22
1581,1581,1,23
1582,1582,0,23
1583,1583,1,24
1584,1584,0,24
1585,1585,1,25
1586,1586,0,25
1587,1587,1,26
1588,1588,0,26
1589,1589,1,27
1590,1590,0,27
1591,1591,1,28
1592,1592,0,28
1593,1593,1,29
1594,1594,0,29
1595,1595,1,30
1596,1596,0,30
1597,1597,1,31
