,time,clock,rising,D,Q,Q+,correct
202,202,1,1,0,1,1,0
203,203,1,1,1,0,1,1
204,204,0,0,0,1,0,0
205,205,0,0,1,1,1,1
206,206,1,0,0,1,1,1
207,207,1,0,1,1,1,1
208,208,1,1,0,1,0,1
209,209,1,1,1,0,0,0
210,210,0,0,0,1,0,0
211,211,0,0,1,1,0,0
212,212,1,0,0,1,1,1
213,213,1,0,1,1,1,1
214,214,1,1,0,1,0,1
215,215,1,1,1,0,0,0
216,216,0,0,0,1,0,0
217,217,0,0,1,1,1,1
218,218,1,0,0,1,0,0
219,219,1,0,1,1,0,0
220,220,1,1,0,1,1,0
221,221,1,1,1,0,0,0
222,222,0,0,0,1,1,1
223,223,0,0,1,1,1,1
224,224,1,0,0,1,0,0
225,225,1,0,1,1,0,0
226,226,1,1,0,1,0,1
227,227,1,1,1,0,1,1
228,228,0,0,0,1,1,1
229,229,0,0,1,1,1,1
230,230,1,0,0,1,1,1
231,231,1,0,1,1,1,1
232,232,1,1,0,1,0,1
233,233,1,1,1,0,0,0
234,234,0,0,0,1,0,0
235,235,0,0,1,1,0,0
236,236,1,0,0,1,1,1
237,237,1,0,1,1,1,1
238,238,1,1,0,1,1,0
239,239,1,1,1,0,0,0
240,240,0,0,0,1,0,0
241,241,0,0,1,1,1,1
242,242,1,0,0,1,1,1
243,243,1,0,1,1,0,0
244,244,1,1,0,1,0,1
245,245,1,1,1,0,1,1
246,246,0,0,0,1,0,0
247,247,0,0,1,1,0,0
248,248,1,0,0,1,0,0
249,249,1,0,1,1,1,1
250,250,1,1,0,1,1,0
251,251,1,1,1,0,1,1
252,252,0,0,0,1,1,1
253,253,0,0,1,1,0,0
254,254,1,0,0,1,0,0
255,255,1,0,1,1,0,0
256,256,1,1,0,1,1,0
257,257,1,1,1,0,0,0
258,258,0,0,0,1,0,0
259,259,0,0,1,1,0,0
260,260,1,0,0,1,1,1
261,261,1,0,1,1,1,1
262,262,1,1,0,1,0,1
263,263,1,1,1,0,0,0
264,264,0,0,0,1,1,1
265,265,0,0,1,1,0,0
266,266,1,0,0,1,1,1
267,267,1,0,1,1,1,1
268,268,1,1,0,1,0,1
269,269,1,1,1,0,1,1
270,270,0,0,0,1,1,1
271,271,0,0,1,1,0,0
272,272,1,0,0,1,0,0
273,273,1,0,1,1,0,0
274,274,1,1,0,1,1,0
275,275,1,1,1,0,0,0
276,276,0,0,0,1,0,0
277,277,0,0,1,1,1,1
278,278,1,0,0,1,1,1
279,279,1,0,1,1,0,0
280,280,1,1,0,1,1,0
281,281,1,1,1,0,1,1
282,282,0,0,0,1,1,1
283,283,0,0,1,1,1,1
284,284,1,0,0,1,0,0
285,285,1,0,1,1,0,0
286,286,1,1,0,1,0,1
287,287,1,1,1,0,1,1
288,288,0,0,0,1,1,1
289,289,0,0,1,1,0,0
290,290,1,0,0,1,0,0
291,291,1,0,1,1,1,1
292,292,1,1,0,1,1,0
293,293,1,1,1,0,1,1
294,294,0,0,0,1,0,0
295,295,0,0,1,1,0,0
296,296,1,0,0,1,1,1
297,297,1,0,1,1,0,0
298,298,1,1,0,1,1,0
299,299,1,1,1,0,0,0
300,300,0,0,0,1,0,0
301,301,0,0,1,1,0,0
302,302,1,0,0,1,0,0
303,303,1,0,1,1,0,0
304,304,1,1,0,1,0,1
305,305,1,1,1,0,0,0
306,306,0,0,0,1,0,0
307,307,0,0,1,1,0,0
308,308,1,0,0,1,1,1
309,309,1,0,1,1,0,0
310,310,1,1,0,1,0,1
311,311,1,1,1,0,0,0
312,312,0,0,0,1,1,1
313,313,0,0,1,1,0,0
314,314,1,0,0,1,0,0
315,315,1,0,1,1,1,1
316,316,1,1,0,1,1,0
317,317,1,1,1,0,0,0
318,318,0,0,0,1,0,0
319,319,0,0,1,1,0,0
320,320,1,0,0,1,0,0
321,321,1,0,1,1,1,1
322,322,1,1,0,1,0,1
323,323,1,1,1,0,1,1
324,324,0,0,0,1,0,0
325,325,0,0,1,1,0,0
326,326,1,0,0,1,0,0
327,327,1,0,1,1,1,1
328,328,1,1,0,1,0,1
329,329,1,1,1,0,0,0
330,330,0,0,0,1,0,0
331,331,0,0,1,1,0,0
332,332,1,0,0,1,0,0
333,333,1,0,1,1,0,0
334,334,1,1,0,1,1,0
335,335,1,1,1,0,1,1
336,336,0,0,0,1,0,0
337,337,0,0,1,1,1,1
338,338,1,0,0,1,1,1
339,339,1,0,1,1,1,1
340,340,1,1,0,1,0,1
341,341,1,1,1,0,1,1
342,342,0,0,0,1,0,0
343,343,0,0,1,1,0,0
344,344,1,0,0,1,0,0
345,345,1,0,1,1,1,1
346,346,1,1,0,1,0,1
347,347,1,1,1,0,0,0
348,348,0,0,0,1,0,0
349,349,0,0,1,1,0,0
350,350,1,0,0,1,1,1
351,351,1,0,1,1,0,0
352,352,1,1,0,1,0,1
353,353,1,1,1,0,1,1
354,354,0,0,0,1,1,1
355,355,0,0,1,1,1,1
356,356,1,0,0,1,1,1
357,357,1,0,1,1,1,1
358,358,1,1,0,1,1,0
359,359,1,1,1,0,0,0
360,360,0,0,0,1,1,1
361,361,0,0,1,1,1,1
362,362,1,0,0,1,0,0
363,363,1,0,1,1,0,0
364,364,1,1,0,1,0,1
365,365,1,1,1,0,1,1
366,366,0,0,0,1,1,1
367,367,0,0,1,1,0,0
368,368,1,0,0,1,0,0
369,369,1,0,1,1,1,1
370,370,1,1,0,1,1,0
371,371,1,1,1,0,0,0
372,372,0,0,0,1,1,1
373,373,0,0,1,1,0,0
374,374,1,0,0,1,1,1
375,375,1,0,1,1,1,1
376,376,1,1,0,1,1,0
377,377,1,1,1,0,1,1
378,378,0,0,0,1,0,0
379,379,0,0,1,1,0,0
380,380,1,0,0,1,1,1
381,381,1,0,1,1,1,1
382,382,1,1,0,1,1,0
383,383,1,1,1,0,0,0
384,384,0,0,0,1,1,1
385,385,0,0,1,1,0,0
386,386,1,0,0,1,0,0
387,387,1,0,1,1,0,0
388,388,1,1,0,1,1,0
389,389,1,1,1,0,0,0
390,390,0,0,0,1,1,1
391,391,0,0,1,1,1,1
392,392,1,0,0,1,0,0
393,393,1,0,1,1,1,1
394,394,1,1,0,1,0,1
395,395,1,1,1,0,1,1
396,396,0,0,0,1,1,1
397,397,0,0,1,1,1,1
398,398,1,0,0,1,1,1
399,399,1,0,1,1,0,0
400,400,1,1,0,1,0,1
401,401,1,1,1,0,1,1
402,402,0,0,0,1,0,0
403,403,0,0,1,1,0,0
404,404,1,0,0,1,1,1
405,405,1,0,1,1,0,0
406,406,1,1,0,1,0,1
407,407,1,1,1,0,0,0
408,408,0,0,0,1,1,1
409,409,0,0,1,1,1,1
410,410,1,0,0,1,1,1
411,411,1,0,1,1,0,0
412,412,1,1,0,1,1,0
413,413,1,1,1,0,1,1
414,414,0,0,0,1,1,1
415,415,0,0,1,1,1,1
416,416,1,0,0,1,1,1
417,417,1,0,1,1,0,0
418,418,1,1,0,1,0,1
419,419,1,1,1,0,1,1
420,420,0,0,0,1,1,1
421,421,0,0,1,1,1,1
422,422,1,0,0,1,1,1
423,423,1,0,1,1,1,1
424,424,1,1,0,1,0,1
425,425,1,1,1,0,1,1
426,426,0,0,0,1,1,1
427,427,0,0,1,1,0,0
428,428,1,0,0,1,1,1
429,429,1,0,1,1,0,0
430,430,1,1,0,1,1,0
431,431,1,1,1,0,1,1
432,432,0,0,0,1,0,0
433,433,0,0,1,1,0,0
434,434,1,0,0,1,0,0
435,435,1,0,1,1,1,1
436,436,1,1,0,1,0,1
437,437,1,1,1,0,0,0
438,438,0,0,0,1,1,1
439,439,0,0,1,1,0,0
440,440,1,0,0,1,0,0
441,441,1,0,1,1,1,1
442,442,1,1,0,1,0,1
443,443,1,1,1,0,1,1
444,444,0,0,0,1,0,0
445,445,0,0,1,1,0,0
446,446,1,0,0,1,0,0
447,447,1,0,1,1,1,1
448,448,1,1,0,1,1,0
449,449,1,1,1,0,1,1
450,450,0,0,0,1,1,1
451,451,0,0,1,1,1,1
452,452,1,0,0,1,0,0
453,453,1,0,1,1,1,1
454,454,1,1,0,1,0,1
455,455,1,1,1,0,1,1
456,456,0,0,0,1,1,1
457,457,0,0,1,1,1,1
458,458,1,0,0,1,1,1
459,459,1,0,1,1,0,0
460,460,1,1,0,1,0,1
461,461,1,1,1,0,0,0
462,462,0,0,0,1,1,1
463,463,0,0,1,1,1,1
464,464,1,0,0,1,0,0
465,465,1,0,1,1,1,1
466,466,1,1,0,1,1,0
467,467,1,1,1,0,0,0
468,468,0,0,0,1,0,0
469,469,0,0,1,1,1,1
470,470,1,0,0,1,1,1
471,471,1,0,1,1,0,0
472,472,1,1,0,1,0,1
473,473,1,1,1,0,0,0
474,474,0,0,0,1,1,1
475,475,0,0,1,1,0,0
476,476,1,0,0,1,0,0
477,477,1,0,1,1,0,0
478,478,1,1,0,1,0,1
479,479,1,1,1,0,1,1
480,480,0,0,0,1,0,0
481,481,0,0,1,1,0,0
482,482,1,0,0,1,1,1
483,483,1,0,1,1,0,0
484,484,1,1,0,1,1,0
485,485,1,1,1,0,1,1
486,486,0,0,0,1,1,1
487,487,0,0,1,1,0,0
488,488,1,0,0,1,1,1
489,489,1,0,1,1,1,1
490,490,1,1,0,1,0,1
491,491,1,1,1,0,1,1
492,492,0,0,0,1,1,1
493,493,0,0,1,1,1,1
494,494,1,0,0,1,1,1
495,495,1,0,1,1,1,1
496,496,1,1,0,1,1,0
497,497,1,1,1,0,0,0
498,498,0,0,0,1,1,1
499,499,0,0,1,1,0,0
500,500,1,0,0,1,1,1
501,501,1,0,1,1,1,1
502,502,1,1,0,1,0,1
503,503,1,1,1,0,1,1
504,504,0,0,0,1,0,0
505,505,0,0,1,1,0,0
506,506,1,0,0,1,1,1
507,507,1,0,1,1,0,0
508,508,1,1,0,1,0,1
509,509,1,1,1,0,0,0
510,510,0,0,0,1,1,1
511,511,0,0,1,1,1,1
512,512,1,0,0,1,1,1
513,513,1,0,1,1,1,1
514,514,1,1,0,1,1,0
515,515,1,1,1,0,1,1
516,516,0,0,0,1,1,1
517,517,0,0,1,1,0,0
518,518,1,0,0,1,1,1
519,519,1,0,1,1,0,0
520,520,1,1,0,1,1,0
521,521,1,1,1,0,1,1
522,522,0,0,0,1,1,1
523,523,0,0,1,1,0,0
524,524,1,0,0,1,1,1
525,525,1,0,1,1,0,0
526,526,1,1,0,1,0,1
527,527,1,1,1,0,1,1
528,528,0,0,0,1,0,0
529,529,0,0,1,1,0,0
530,530,1,0,0,1,1,1
531,531,1,0,1,1,1,1
532,532,1,1,0,1,1,0
533,533,1,1,1,0,1,1
534,534,0,0,0,1,1,1
535,535,0,0,1,1,0,0
536,536,1,0,0,1,1,1
537,537,1,0,1,1,1,1
538,538,1,1,0,1,1,0
539,539,1,1,1,0,0,0
540,540,0,0,0,1,0,0
541,541,0,0,1,1,1,1
542,542,1,0,0,1,0,0
543,543,1,0,1,1,0,0
544,544,1,1,0,1,1,0
545,545,1,1,1,0,1,1
546,546,0,0,0,1,0,0
547,547,0,0,1,1,0,0
548,548,1,0,0,1,0,0
549,549,1,0,1,1,0,0
550,550,1,1,0,1,1,0
551,551,1,1,1,0,0,0
552,552,0,0,0,1,0,0
553,553,0,0,1,1,1,1
554,554,1,0,0,1,1,1
555,555,1,0,1,1,0,0
556,556,1,1,0,1,1,0
557,557,1,1,1,0,1,1
558,558,0,0,0,1,0,0
559,559,0,0,1,1,1,1
560,560,1,0,0,1,1,1
561,561,1,0,1,1,0,0
562,562,1,1,0,1,0,1
563,563,1,1,1,0,1,1
564,564,0,0,0,1,1,1
565,565,0,0,1,1,0,0
566,566,1,0,0,1,0,0
567,567,1,0,1,1,1,1
568,568,1,1,0,1,1,0
569,569,1,1,1,0,1,1
570,570,0,0,0,1,1,1
571,571,0,0,1,1,1,1
572,572,1,0,0,1,1,1
573,573,1,0,1,1,1,1
574,574,1,1,0,1,1,0
575,575,1,1,1,0,0,0
576,576,0,0,0,1,1,1
577,577,0,0,1,1,1,1
578,578,1,0,0,1,0,0
579,579,1,0,1,1,1,1
580,580,1,1,0,1,1,0
581,581,1,1,1,0,0,0
582,582,0,0,0,1,0,0
583,583,0,0,1,1,0,0
584,584,1,0,0,1,0,0
585,585,1,0,1,1,0,0
586,586,1,1,0,1,1,0
587,587,1,1,1,0,0,0
588,588,0,0,0,1,1,1
589,589,0,0,1,1,0,0
590,590,1,0,0,1,1,1
591,591,1,0,1,1,1,1
592,592,1,1,0,1,0,1
593,593,1,1,1,0,0,0
594,594,0,0,0,1,1,1
595,595,0,0,1,1,1,1
596,596,1,0,0,1,1,1
597,597,1,0,1,1,0,0
598,598,1,1,0,1,0,1
599,599,1,1,1,0,1,1
600,600,0,0,0,1,1,1
601,601,0,0,1,1,1,1
602,602,1,0,0,1,1,1
603,603,1,0,1,1,1,1
604,604,1,1,0,1,1,0
605,605,1,1,1,0,0,0
606,606,0,0,0,1,1,1
607,607,0,0,1,1,1,1
608,608,1,0,0,1,1,1
609,609,1,0,1,1,1,1
610,610,1,1,0,1,0,1
611,611,1,1,1,0,1,1
612,612,0,0,0,1,0,0
613,613,0,0,1,1,0,0
614,614,1,0,0,1,1,1
615,615,1,0,1,1,1,1
616,616,1,1,0,1,0,1
617,617,1,1,1,0,1,1
618,618,0,0,0,1,1,1
619,619,0,0,1,1,0,0
620,620,1,0,0,1,1,1
621,621,1,0,1,1,0,0
622,622,1,1,0,1,1,0
623,623,1,1,1,0,0,0
624,624,0,0,0,1,0,0
625,625,0,0,1,1,1,1
626,626,1,0,0,1,0,0
627,627,1,0,1,1,0,0
628,628,1,1,0,1,1,0
629,629,1,1,1,0,0,0
630,630,0,0,0,1,0,0
631,631,0,0,1,1,1,1
632,632,1,0,0,1,0,0
633,633,1,0,1,1,1,1
634,634,1,1,0,1,1,0
635,635,1,1,1,0,0,0
636,636,0,0,0,1,1,1
637,637,0,0,1,1,0,0
638,638,1,0,0,1,0,0
639,639,1,0,1,1,1,1
640,640,1,1,0,1,0,1
641,641,1,1,1,0,0,0
642,642,0,0,0,1,1,1
643,643,0,0,1,1,0,0
644,644,1,0,0,1,0,0
645,645,1,0,1,1,1,1
646,646,1,1,0,1,1,0
647,647,1,1,1,0,0,0
648,648,0,0,0,1,0,0
649,649,0,0,1,1,1,1
650,650,1,0,0,1,1,1
651,651,1,0,1,1,0,0
652,652,1,1,0,1,0,1
653,653,1,1,1,0,1,1
654,654,0,0,0,1,1,1
655,655,0,0,1,1,0,0
656,656,1,0,0,1,1,1
657,657,1,0,1,1,0,0
658,658,1,1,0,1,0,1
659,659,1,1,1,0,1,1
660,660,0,0,0,1,0,0
661,661,0,0,1,1,0,0
662,662,1,0,0,1,0,0
663,663,1,0,1,1,0,0
664,664,1,1,0,1,1,0
665,665,1,1,1,0,0,0
666,666,0,0,0,1,1,1
667,667,0,0,1,1,1,1
668,668,1,0,0,1,1,1
669,669,1,0,1,1,1,1
670,670,1,1,0,1,1,0
671,671,1,1,1,0,0,0
672,672,0,0,0,1,1,1
673,673,0,0,1,1,1,1
674,674,1,0,0,1,0,0
675,675,1,0,1,1,0,0
676,676,1,1,0,1,0,1
677,677,1,1,1,0,1,1
678,678,0,0,0,1,1,1
679,679,0,0,1,1,0,0
680,680,1,0,0,1,0,0
681,681,1,0,1,1,1,1
682,682,1,1,0,1,0,1
683,683,1,1,1,0,1,1
684,684,0,0,0,1,0,0
685,685,0,0,1,1,1,1
686,686,1,0,0,1,1,1
687,687,1,0,1,1,1,1
688,688,1,1,0,1,1,0
689,689,1,1,1,0,0,0
690,690,0,0,0,1,0,0
691,691,0,0,1,1,0,0
692,692,1,0,0,1,0,0
693,693,1,0,1,1,1,1
694,694,1,1,0,1,1,0
695,695,1,1,1,0,0,0
696,696,0,0,0,1,0,0
697,697,0,0,1,1,0,0
698,698,1,0,0,1,0,0
699,699,1,0,1,1,0,0
700,700,1,1,0,1,1,0
701,701,1,1,1,0,1,1
702,702,0,0,0,1,0,0
703,703,0,0,1,1,1,1
704,704,1,0,0,1,0,0
705,705,1,0,1,1,1,1
706,706,1,1,0,1,1,0
707,707,1,1,1,0,0,0
708,708,0,0,0,1,1,1
709,709,0,0,1,1,0,0
710,710,1,0,0,1,0,0
711,711,1,0,1,1,0,0
712,712,1,1,0,1,0,1
713,713,1,1,1,0,0,0
714,714,0,0,0,1,0,0
715,715,0,0,1,1,0,0
716,716,1,0,0,1,1,1
717,717,1,0,1,1,0,0
718,718,1,1,0,1,1,0
719,719,1,1,1,0,1,1
720,720,0,0,0,1,0,0
721,721,0,0,1,1,1,1
722,722,1,0,0,1,1,1
723,723,1,0,1,1,0,0
724,724,1,1,0,1,1,0
725,725,1,1,1,0,1,1
726,726,0,0,0,1,1,1
727,727,0,0,1,1,0,0
728,728,1,0,0,1,0,0
729,729,1,0,1,1,1,1
730,730,1,1,0,1,1,0
731,731,1,1,1,0,1,1
732,732,0,0,0,1,0,0
733,733,0,0,1,1,0,0
734,734,1,0,0,1,1,1
735,735,1,0,1,1,0,0
736,736,1,1,0,1,1,0
737,737,1,1,1,0,1,1
738,738,0,0,0,1,1,1
739,739,0,0,1,1,0,0
740,740,1,0,0,1,1,1
741,741,1,0,1,1,0,0
742,742,1,1,0,1,1,0
743,743,1,1,1,0,1,1
744,744,0,0,0,1,0,0
745,745,0,0,1,1,1,1
746,746,1,0,0,1,1,1
747,747,1,0,1,1,0,0
748,748,1,1,0,1,1,0
749,749,1,1,1,0,0,0
750,750,0,0,0,1,1,1
751,751,0,0,1,1,0,0
752,752,1,0,0,1,1,1
753,753,1,0,1,1,1,1
754,754,1,1,0,1,0,1
755,755,1,1,1,0,0,0
756,756,0,0,0,1,0,0
757,757,0,0,1,1,0,0
758,758,1,0,0,1,1,1
759,759,1,0,1,1,0,0
760,760,1,1,0,1,1,0
761,761,1,1,1,0,0,0
762,762,0,0,0,1,0,0
763,763,0,0,1,1,0,0
764,764,1,0,0,1,1,1
765,765,1,0,1,1,1,1
766,766,1,1,0,1,0,1
767,767,1,1,1,0,1,1
768,768,0,0,0,1,0,0
769,769,0,0,1,1,0,0
770,770,1,0,0,1,0,0
771,771,1,0,1,1,0,0
772,772,1,1,0,1,0,1
773,773,1,1,1,0,0,0
774,774,0,0,0,1,1,1
775,775,0,0,1,1,0,0
776,776,1,0,0,1,1,1
777,777,1,0,1,1,0,0
778,778,1,1,0,1,1,0
779,779,1,1,1,0,1,1
780,780,0,0,0,1,1,1
781,781,0,0,1,1,0,0
782,782,1,0,0,1,0,0
783,783,1,0,1,1,1,1
784,784,1,1,0,1,1,0
785,785,1,1,1,0,0,0
786,786,0,0,0,1,0,0
787,787,0,0,1,1,1,1
788,788,1,0,0,1,0,0
789,789,1,0,1,1,0,0
790,790,1,1,0,1,1,0
791,791,1,1,1,0,1,1
792,792,0,0,0,1,1,1
793,793,0,0,1,1,1,1
794,794,1,0,0,1,1,1
795,795,1,0,1,1,1,1
796,796,1,1,0,1,0,1
797,797,1,1,1,0,1,1
798,798,0,0,0,1,0,0
799,799,0,0,1,1,1,1
800,800,1,0,0,1,1,1
801,801,1,0,1,1,0,0
802,802,1,1,0,1,1,0
803,803,1,1,1,0,1,1
804,804,0,0,0,1,0,0
805,805,0,0,1,1,1,1
806,806,1,0,0,1,0,0
807,807,1,0,1,1,0,0
808,808,1,1,0,1,1,0
809,809,1,1,1,0,0,0
810,810,0,0,0,1,1,1
811,811,0,0,1,1,0,0
812,812,1,0,0,1,0,0
813,813,1,0,1,1,1,1
814,814,1,1,0,1,0,1
815,815,1,1,1,0,0,0
816,816,0,0,0,1,1,1
817,817,0,0,1,1,0,0
818,818,1,0,0,1,1,1
819,819,1,0,1,1,1,1
820,820,1,1,0,1,0,1
821,821,1,1,1,0,1,1
822,822,0,0,0,1,0,0
823,823,0,0,1,1,0,0
824,824,1,0,0,1,1,1
825,825,1,0,1,1,0,0
826,826,1,1,0,1,0,1
827,827,1,1,1,0,0,0
828,828,0,0,0,1,0,0
829,829,0,0,1,1,0,0
830,830,1,0,0,1,1,1
831,831,1,0,1,1,1,1
832,832,1,1,0,1,0,1
833,833,1,1,1,0,0,0
834,834,0,0,0,1,0,0
835,835,0,0,1,1,1,1
836,836,1,0,0,1,0,0
837,837,1,0,1,1,1,1
838,838,1,1,0,1,0,1
839,839,1,1,1,0,0,0
840,840,0,0,0,1,0,0
841,841,0,0,1,1,0,0
842,842,1,0,0,1,0,0
843,843,1,0,1,1,1,1
844,844,1,1,0,1,0,1
845,845,1,1,1,0,0,0
846,846,0,0,0,1,0,0
847,847,0,0,1,1,1,1
848,848,1,0,0,1,0,0
849,849,1,0,1,1,0,0
850,850,1,1,0,1,0,1
851,851,1,1,1,0,0,0
852,852,0,0,0,1,1,1
853,853,0,0,1,1,1,1
854,854,1,0,0,1,1,1
855,855,1,0,1,1,1,1
856,856,1,1,0,1,0,1
857,857,1,1,1,0,1,1
858,858,0,0,0,1,0,0
859,859,0,0,1,1,0,0
860,860,1,0,0,1,0,0
861,861,1,0,1,1,1,1
862,862,1,1,0,1,0,1
863,863,1,1,1,0,1,1
864,864,0,0,0,1,1,1
865,865,0,0,1,1,0,0
866,866,1,0,0,1,0,0
867,867,1,0,1,1,1,1
868,868,1,1,0,1,1,0
869,869,1,1,1,0,1,1
870,870,0,0,0,1,1,1
871,871,0,0,1,1,0,0
