,Time,IN1,IN2,OUT
479,479,0,1,1
480,480,0,0,0
481,481,1,1,1
482,482,1,1,1
483,483,1,0,1
484,484,0,0,0
485,485,1,0,1
486,486,0,1,1
487,487,0,1,1
488,488,1,1,1
489,489,0,1,1
490,490,1,1,1
491,491,1,1,1
492,492,0,1,1
493,493,0,1,1
494,494,1,0,1
495,495,0,0,0
496,496,0,1,1
497,497,0,1,1
498,498,1,0,1
499,499,0,0,0
500,500,0,1,1
501,501,0,1,1
502,502,0,1,1
503,503,0,0,0
504,504,0,0,0
505,505,1,0,1
506,506,1,0,1
507,507,1,1,1
508,508,0,1,1
509,509,1,0,1
510,510,0,0,0
511,511,1,0,1
512,512,0,1,1
513,513,1,1,1
514,514,0,1,1
515,515,0,1,1
516,516,0,1,1
517,517,0,1,1
518,518,0,0,0
519,519,1,0,1
520,520,1,1,1
521,521,0,1,1
522,522,1,0,1
523,523,0,1,1
524,524,1,0,1
525,525,1,0,1
526,526,1,1,1
527,527,0,1,1
528,528,0,1,1
529,529,0,0,0
530,530,1,1,1
531,531,0,0,0
532,532,1,1,1
533,533,0,1,1
534,534,1,0,1
535,535,0,1,1
536,536,1,0,1
537,537,1,0,1
538,538,1,0,1
539,539,0,1,1
540,540,0,1,1
541,541,1,1,1
542,542,0,0,0
543,543,0,0,0
544,544,0,0,0
545,545,1,1,1
546,546,1,1,1
547,547,0,1,1
548,548,1,1,1
549,549,1,1,1
550,550,1,1,1
551,551,1,0,1
552,552,0,1,1
553,553,0,0,0
554,554,0,0,0
555,555,0,1,1
556,556,0,1,1
557,557,0,1,1
558,558,1,1,1
559,559,1,1,1
560,560,0,1,1
561,561,0,0,0
562,562,0,0,0
563,563,1,0,1
564,564,1,0,1
565,565,0,0,0
566,566,0,1,1
567,567,1,1,1
568,568,1,0,1
569,569,0,0,0
570,570,1,1,1
571,571,1,0,1
572,572,0,0,0
573,573,0,1,1
574,574,1,0,1
575,575,1,0,1
576,576,0,0,0
577,577,1,0,1
578,578,0,1,1
579,579,0,0,0
580,580,1,0,1
581,581,0,0,0
582,582,1,1,1
583,583,0,0,0
584,584,0,0,0
585,585,1,1,1
586,586,1,0,1
587,587,0,0,0
588,588,1,1,1
589,589,0,0,0
590,590,1,1,1
591,591,0,0,0
592,592,1,1,1
593,593,1,0,1
594,594,1,0,1
595,595,0,0,0
596,596,1,0,1
597,597,0,1,1
598,598,1,0,1
599,599,0,0,0
600,600,1,1,1
601,601,1,0,1
602,602,0,1,1
603,603,0,0,0
604,604,1,1,1
605,605,0,0,0
606,606,1,0,1
607,607,1,0,1
608,608,1,1,1
609,609,0,1,1
610,610,1,0,1
611,611,0,0,0
612,612,0,1,1
613,613,0,0,0
614,614,0,0,0
615,615,0,0,0
616,616,0,1,1
617,617,1,0,1
618,618,0,0,0
619,619,0,0,0
620,620,1,1,1
621,621,0,0,0
622,622,0,0,0
623,623,1,1,1
624,624,1,1,1
625,625,0,1,1
626,626,1,1,1
627,627,0,0,0
628,628,1,0,1
629,629,1,1,1
630,630,0,1,1
631,631,1,1,1
632,632,1,0,1
633,633,1,0,1
634,634,1,0,1
635,635,1,0,1
636,636,1,0,1
637,637,1,1,1
638,638,0,0,0
639,639,1,0,1
640,640,0,1,1
641,641,0,0,0
642,642,1,1,1
643,643,0,0,0
644,644,0,1,1
645,645,1,1,1
646,646,1,0,1
647,647,0,0,0
648,648,1,0,1
649,649,0,0,0
650,650,0,0,0
651,651,1,1,1
652,652,1,0,1
653,653,0,1,1
654,654,1,1,1
655,655,0,1,1
656,656,1,0,1
657,657,1,1,1
658,658,0,1,1
659,659,0,1,1
660,660,1,1,1
661,661,0,1,1
662,662,0,0,0
663,663,1,1,1
664,664,0,1,1
665,665,1,1,1
666,666,0,1,1
667,667,1,1,1
668,668,0,1,1
669,669,0,1,1
670,670,1,0,1
671,671,0,0,0
672,672,0,1,1
673,673,0,1,1
674,674,0,1,1
675,675,0,0,0
676,676,0,0,0
677,677,0,1,1
678,678,0,0,0
679,679,0,1,1
680,680,1,1,1
681,681,1,0,1
682,682,0,1,1
683,683,1,1,1
684,684,0,1,1
685,685,0,1,1
686,686,1,0,1
687,687,0,1,1
688,688,1,0,1
689,689,0,0,0
690,690,1,1,1
691,691,0,1,1
692,692,0,1,1
693,693,0,1,1
694,694,0,1,1
695,695,1,0,1
696,696,0,1,1
697,697,0,1,1
698,698,1,0,1
699,699,1,0,1
700,700,0,0,0
701,701,0,1,1
702,702,0,0,0
703,703,1,0,1
704,704,0,1,1
705,705,0,1,1
706,706,1,1,1
707,707,0,1,1
708,708,1,0,1
709,709,0,0,0
710,710,0,0,0
711,711,1,0,1
712,712,1,0,1
713,713,1,0,1
714,714,0,1,1
715,715,0,0,0
716,716,0,0,0
717,717,0,0,0
718,718,1,1,1
719,719,1,1,1
720,720,1,1,1
721,721,1,0,1
722,722,0,1,1
723,723,0,0,0
724,724,1,0,1
725,725,1,1,1
726,726,0,0,0
727,727,0,1,1
728,728,0,0,0
729,729,1,1,1
730,730,1,0,1
731,731,1,1,1
732,732,1,0,1
733,733,1,1,1
734,734,1,1,1
735,735,0,0,0
736,736,1,0,1
737,737,1,0,1
738,738,1,0,1
739,739,1,1,1
740,740,1,0,1
741,741,0,0,0
742,742,1,1,1
743,743,1,0,1
744,744,0,1,1
745,745,1,0,1
746,746,1,1,1
747,747,0,1,1
748,748,1,1,1
749,749,0,1,1
750,750,1,0,1
751,751,1,1,1
752,752,0,1,1
753,753,1,1,1
754,754,0,0,0
755,755,1,0,1
756,756,0,0,0
757,757,1,1,1
758,758,1,1,1
759,759,0,0,0
760,760,0,0,0
761,761,0,1,1
762,762,1,1,1
763,763,0,1,1
764,764,1,0,1
765,765,0,0,0
766,766,0,0,0
767,767,0,0,0
768,768,1,0,1
769,769,0,1,1
770,770,0,1,1
771,771,0,0,0
772,772,1,1,1
773,773,0,0,0
774,774,0,1,1
775,775,0,0,0
776,776,1,0,1
777,777,1,1,1
778,778,1,0,1
779,779,1,0,1
780,780,1,0,1
781,781,0,1,1
782,782,1,1,1
783,783,0,1,1
784,784,1,0,1
785,785,0,0,0
786,786,1,1,1
787,787,0,1,1
788,788,1,1,1
789,789,1,0,1
790,790,0,1,1
791,791,1,1,1
792,792,0,1,1
793,793,0,1,1
794,794,1,0,1
795,795,1,0,1
796,796,0,0,0
797,797,1,0,1
798,798,1,0,1
799,799,1,1,1
800,800,1,1,1
801,801,0,1,1
802,802,0,0,0
803,803,1,0,1
804,804,0,1,1
805,805,1,0,1
806,806,1,0,1
807,807,0,0,0
808,808,1,1,1
809,809,0,0,0
810,810,1,0,1
811,811,0,1,1
812,812,0,1,1
813,813,0,0,0
814,814,1,0,1
815,815,1,0,1
816,816,1,0,1
817,817,0,1,1
818,818,0,0,0
819,819,1,0,1
820,820,1,1,1
821,821,0,0,0
822,822,0,0,0
823,823,1,1,1
824,824,1,1,1
825,825,0,1,1
826,826,0,0,0
827,827,1,0,1
828,828,1,1,1
829,829,1,1,1
830,830,1,1,1
831,831,1,1,1
832,832,1,1,1
833,833,0,1,1
834,834,0,0,0
835,835,1,1,1
836,836,0,1,1
837,837,1,1,1
838,838,0,1,1
839,839,0,1,1
840,840,0,1,1
841,841,1,0,1
842,842,1,1,1
843,843,1,0,1
844,844,0,0,0
845,845,1,1,1
846,846,1,1,1
847,847,0,1,1
848,848,0,1,1
849,849,0,1,1
850,850,1,1,1
851,851,1,1,1
852,852,1,1,1
853,853,1,0,1
854,854,0,0,0
855,855,0,1,1
856,856,1,1,1
857,857,1,0,1
858,858,0,0,0
859,859,0,0,0
860,860,1,1,1
861,861,1,0,1
862,862,0,0,0
863,863,1,1,1
864,864,0,1,1
865,865,0,0,0
866,866,1,1,1
867,867,1,0,1
868,868,1,1,1
869,869,0,0,0
870,870,0,1,1
871,871,0,1,1
872,872,1,1,1
873,873,1,0,1
874,874,0,0,0
875,875,1,0,1
876,876,0,0,0
877,877,1,0,1
878,878,0,1,1
879,879,0,1,1
880,880,0,0,0
881,881,0,0,0
882,882,0,0,0
883,883,0,1,1
884,884,1,0,1
885,885,0,0,0
886,886,1,1,1
887,887,0,1,1
888,888,0,0,0
889,889,0,0,0
890,890,0,1,1
891,891,0,1,1
892,892,1,0,1
893,893,1,0,1
894,894,1,0,1
895,895,0,0,0
896,896,1,1,1
897,897,1,0,1
898,898,1,1,1
899,899,0,0,0
900,900,1,0,1
901,901,0,0,0
902,902,1,0,1
903,903,1,0,1
904,904,1,1,1
905,905,1,0,1
906,906,0,1,1
907,907,1,0,1
908,908,1,0,1
909,909,0,0,0
910,910,0,0,0
911,911,0,0,0
912,912,1,1,1
913,913,1,0,1
914,914,1,1,1
915,915,1,1,1
916,916,0,1,1
917,917,0,0,0
918,918,1,1,1
919,919,0,1,1
920,920,1,0,1
921,921,0,0,0
922,922,0,1,1
923,923,1,0,1
924,924,0,0,0
925,925,0,0,0
926,926,0,1,1
927,927,1,1,1
928,928,1,0,1
929,929,1,1,1
930,930,0,0,0
931,931,0,0,0
932,932,1,1,1
933,933,1,0,1
934,934,0,0,0
935,935,0,0,0
936,936,0,0,0
937,937,0,0,0
938,938,0,1,1
939,939,1,0,1
940,940,1,0,1
941,941,1,1,1
942,942,0,0,0
943,943,0,1,1
944,944,0,1,1
945,945,0,1,1
946,946,1,1,1
947,947,0,0,0
948,948,0,1,1
949,949,0,1,1
950,950,0,0,0
951,951,1,0,1
952,952,1,1,1
953,953,0,1,1
954,954,1,0,1
955,955,1,0,1
956,956,0,1,1
957,957,0,1,1
958,958,1,0,1
959,959,0,1,1
960,960,1,0,1
961,961,1,1,1
962,962,0,0,0
963,963,1,1,1
964,964,0,0,0
965,965,1,1,1
966,966,0,1,1
967,967,0,0,0
968,968,1,0,1
969,969,0,1,1
970,970,0,1,1
971,971,1,1,1
972,972,1,0,1
973,973,0,0,0
974,974,1,0,1
975,975,0,1,1
976,976,0,0,0
977,977,0,0,0
978,978,1,0,1
979,979,1,1,1
980,980,0,0,0
981,981,1,0,1
982,982,1,1,1
983,983,1,0,1
984,984,0,0,0
985,985,1,1,1
986,986,1,0,1
987,987,0,0,0
988,988,0,0,0
989,989,0,0,0
990,990,0,0,0
991,991,1,1,1
992,992,1,0,1
993,993,1,1,1
994,994,0,0,0
995,995,1,1,1
996,996,1,1,1
997,997,0,0,0
998,998,1,1,1
999,999,0,0,0
1000,1000,0,1,1
1001,1001,0,0,0
1002,1002,0,1,1
1003,1003,0,1,1
1004,1004,1,1,1
1005,1005,1,1,1
1006,1006,1,1,1
1007,1007,0,1,1
1008,1008,1,0,1
1009,1009,0,1,1
1010,1010,1,0,1
1011,1011,0,0,0
1012,1012,1,0,1
1013,1013,1,0,1
1014,1014,1,1,1
1015,1015,0,0,0
1016,1016,1,1,1
1017,1017,0,0,0
1018,1018,0,0,0
1019,1019,0,0,0
1020,1020,1,1,1
1021,1021,0,0,0
1022,1022,1,1,1
1023,1023,1,0,1
1024,1024,1,0,1
1025,1025,1,1,1
1026,1026,0,1,1
1027,1027,0,1,1
1028,1028,1,1,1
1029,1029,1,1,1
1030,1030,1,0,1
1031,1031,1,0,1
1032,1032,1,0,1
1033,1033,1,0,1
1034,1034,0,0,0
1035,1035,1,1,1
1036,1036,1,0,1
1037,1037,0,1,1
1038,1038,0,0,0
1039,1039,0,1,1
1040,1040,1,1,1
1041,1041,0,0,0
1042,1042,1,1,1
1043,1043,1,0,1
1044,1044,0,1,1
1045,1045,1,0,1
1046,1046,1,0,1
1047,1047,0,0,0
1048,1048,0,1,1
1049,1049,0,1,1
1050,1050,0,0,0
1051,1051,1,1,1
1052,1052,0,0,0
1053,1053,1,0,1
1054,1054,0,0,0
1055,1055,1,1,1
1056,1056,0,1,1
1057,1057,1,1,1
1058,1058,0,1,1
1059,1059,1,0,1
1060,1060,1,0,1
1061,1061,0,0,0
1062,1062,1,1,1
1063,1063,0,0,0
1064,1064,1,0,1
1065,1065,1,1,1
1066,1066,0,0,0
1067,1067,0,1,1
1068,1068,1,0,1
1069,1069,1,0,1
1070,1070,0,0,0
1071,1071,1,1,1
1072,1072,1,0,1
1073,1073,0,1,1
1074,1074,1,0,1
1075,1075,1,0,1
1076,1076,1,0,1
1077,1077,0,1,1
1078,1078,1,0,1
1079,1079,0,1,1
1080,1080,1,0,1
1081,1081,1,0,1
1082,1082,1,0,1
1083,1083,0,1,1
1084,1084,1,1,1
1085,1085,1,0,1
1086,1086,1,0,1
1087,1087,0,0,0
1088,1088,0,0,0
1089,1089,0,0,0
1090,1090,0,0,0
1091,1091,0,1,1
1092,1092,1,0,1
1093,1093,1,0,1
1094,1094,1,1,1
1095,1095,1,0,1
1096,1096,1,0,1
1097,1097,1,1,1
1098,1098,0,0,0
1099,1099,0,0,0
1100,1100,1,0,1
1101,1101,1,0,1
1102,1102,1,0,1
1103,1103,1,0,1
1104,1104,1,0,1
1105,1105,0,0,0
1106,1106,1,1,1
1107,1107,1,1,1
1108,1108,0,0,0
1109,1109,1,0,1
1110,1110,1,0,1
1111,1111,0,0,0
1112,1112,1,1,1
1113,1113,1,1,1
1114,1114,1,1,1
1115,1115,0,0,0
1116,1116,1,0,1
1117,1117,0,1,1
1118,1118,1,0,1
1119,1119,1,0,1
1120,1120,1,1,1
1121,1121,0,0,0
1122,1122,0,0,0
1123,1123,0,1,1
1124,1124,0,1,1
1125,1125,0,0,0
1126,1126,0,1,1
1127,1127,0,1,1
1128,1128,1,0,1
1129,1129,0,1,1
1130,1130,1,1,1
1131,1131,0,0,0
1132,1132,1,0,1
1133,1133,1,0,1
1134,1134,0,0,0
1135,1135,0,0,0
1136,1136,0,1,1
1137,1137,0,0,0
1138,1138,1,1,1
1139,1139,0,0,0
1140,1140,1,0,1
1141,1141,1,0,1
1142,1142,0,1,1
1143,1143,0,1,1
1144,1144,0,1,1
1145,1145,1,0,1
1146,1146,0,0,0
1147,1147,0,0,0
1148,1148,1,1,1
1149,1149,1,0,1
1150,1150,0,0,0
1151,1151,0,1,1
1152,1152,0,0,0
1153,1153,1,0,1
1154,1154,1,1,1
1155,1155,1,0,1
1156,1156,1,0,1
1157,1157,0,1,1
1158,1158,1,1,1
1159,1159,1,1,1
1160,1160,0,1,1
1161,1161,0,1,1
1162,1162,1,0,1
1163,1163,1,0,1
1164,1164,0,1,1
1165,1165,0,0,0
1166,1166,1,1,1
1167,1167,1,0,1
1168,1168,0,0,0
1169,1169,0,1,1
1170,1170,0,1,1
1171,1171,1,1,1
1172,1172,0,0,0
1173,1173,1,0,1
1174,1174,0,0,0
1175,1175,1,1,1
1176,1176,1,0,1
1177,1177,1,0,1
1178,1178,1,0,1
1179,1179,1,0,1
1180,1180,1,0,1
1181,1181,1,0,1
1182,1182,0,0,0
1183,1183,0,0,0
1184,1184,1,1,1
1185,1185,0,1,1
1186,1186,1,0,1
1187,1187,0,0,0
1188,1188,0,1,1
1189,1189,0,0,0
1190,1190,0,1,1
1191,1191,0,1,1
1192,1192,1,1,1
1193,1193,0,0,0
1194,1194,1,0,1
1195,1195,1,1,1
1196,1196,0,1,1
1197,1197,0,1,1
1198,1198,1,1,1
1199,1199,1,0,1
1200,1200,1,1,1
1201,1201,0,0,0
1202,1202,0,0,0
1203,1203,0,1,1
1204,1204,0,1,1
1205,1205,1,1,1
1206,1206,1,1,1
1207,1207,1,0,1
1208,1208,1,0,1
1209,1209,0,1,1
1210,1210,0,0,0
1211,1211,0,0,0
1212,1212,1,0,1
1213,1213,1,1,1
1214,1214,0,0,0
1215,1215,1,0,1
1216,1216,0,0,0
1217,1217,0,1,1
1218,1218,1,0,1
1219,1219,0,1,1
1220,1220,0,0,0
1221,1221,0,1,1
1222,1222,1,0,1
1223,1223,0,1,1
1224,1224,0,1,1
1225,1225,1,0,1
1226,1226,1,1,1
1227,1227,0,0,0
1228,1228,0,0,0
1229,1229,0,1,1
1230,1230,1,0,1
1231,1231,0,0,0
1232,1232,1,0,1
1233,1233,1,0,1
1234,1234,1,1,1
1235,1235,0,1,1
1236,1236,1,1,1
1237,1237,1,1,1
1238,1238,1,0,1
1239,1239,1,0,1
1240,1240,1,0,1
1241,1241,0,0,0
1242,1242,1,0,1
1243,1243,0,0,0
1244,1244,1,1,1
1245,1245,1,1,1
1246,1246,0,1,1
1247,1247,0,1,1
1248,1248,0,1,1
1249,1249,1,0,1
1250,1250,0,0,0
1251,1251,0,0,0
1252,1252,0,1,1
1253,1253,0,1,1
1254,1254,0,1,1
1255,1255,1,0,1
1256,1256,0,1,1
1257,1257,0,0,0
1258,1258,1,1,1
1259,1259,1,1,1
1260,1260,0,0,0
1261,1261,1,1,1
1262,1262,0,0,0
1263,1263,0,0,0
1264,1264,1,0,1
1265,1265,1,1,1
1266,1266,1,1,1
1267,1267,0,0,0
1268,1268,0,1,1
1269,1269,1,0,1
1270,1270,1,1,1
1271,1271,0,1,1
1272,1272,0,1,1
1273,1273,1,0,1
1274,1274,0,0,0
1275,1275,1,0,1
1276,1276,0,0,0
1277,1277,0,0,0
1278,1278,1,0,1
1279,1279,1,1,1
1280,1280,1,0,1
1281,1281,0,0,0
1282,1282,1,0,1
1283,1283,1,1,1
1284,1284,0,0,0
1285,1285,1,1,1
1286,1286,0,1,1
1287,1287,0,1,1
1288,1288,1,1,1
1289,1289,0,0,0
1290,1290,1,0,1
1291,1291,0,0,0
1292,1292,1,1,1
1293,1293,0,1,1
1294,1294,1,0,1
1295,1295,1,1,1
1296,1296,0,0,0
1297,1297,0,0,0
1298,1298,0,0,0
1299,1299,1,0,1
1300,1300,1,0,1
1301,1301,1,0,1
1302,1302,0,1,1
1303,1303,0,1,1
1304,1304,0,0,0
1305,1305,0,0,0
1306,1306,0,0,0
1307,1307,0,0,0
1308,1308,0,1,1
1309,1309,0,1,1
1310,1310,0,0,0
1311,1311,0,0,0
1312,1312,0,0,0
1313,1313,1,1,1
1314,1314,0,1,1
1315,1315,1,1,1
1316,1316,0,1,1
1317,1317,1,1,1
1318,1318,0,0,0
1319,1319,1,0,1
1320,1320,0,0,0
1321,1321,1,0,1
1322,1322,0,1,1
1323,1323,0,1,1
1324,1324,1,0,1
1325,1325,0,1,1
1326,1326,1,1,1
1327,1327,0,1,1
1328,1328,0,0,0
1329,1329,0,0,0
