,clk,rising,count,count_next,correct
367,1,0,26,26,1
368,1,1,26,27,1
369,0,0,27,27,1
370,1,0,27,27,1
371,1,1,27,28,1
372,0,0,28,28,1
373,1,0,28,28,1
374,1,1,28,28,0
375,0,0,29,14,0
376,1,0,29,1,0
377,1,1,29,30,1
378,0,0,30,30,1
379,1,0,30,30,1
380,1,1,30,31,1
381,0,0,31,31,1
382,1,0,31,31,1
383,1,1,31,1,0
384,0,0,0,0,1
385,1,0,0,13,0
386,1,1,0,1,1
387,0,0,1,20,0
388,1,0,1,1,1
389,1,1,1,3,0
390,0,0,2,2,1
391,1,0,2,2,1
392,1,1,2,3,1
393,0,0,3,8,0
394,1,0,3,3,1
395,1,1,3,4,1
396,0,0,4,15,0
397,1,0,4,4,1
398,1,1,4,5,1
399,0,0,5,5,1
400,1,0,5,25,0
401,1,1,5,6,1
402,0,0,6,6,1
403,1,0,6,0,0
404,1,1,6,13,0
405,0,0,7,7,1
406,1,0,7,5,0
407,1,1,7,22,0
408,0,0,8,8,1
409,1,0,8,8,1
410,1,1,8,9,1
411,0,0,9,29,0
412,1,0,9,9,1
413,1,1,9,10,1
414,0,0,10,27,0
415,1,0,10,30,0
416,1,1,10,11,1
417,0,0,11,11,1
418,1,0,11,11,1
419,1,1,11,20,0
420,0,0,12,24,0
421,1,0,12,12,1
422,1,1,12,13,1
423,0,0,13,13,1
424,1,0,13,30,0
425,1,1,13,14,1
426,0,0,14,14,1
427,1,0,14,14,1
428,1,1,14,14,0
429,0,0,15,15,1
430,1,0,15,19,0
431,1,1,15,16,1
432,0,0,16,16,1
433,1,0,16,16,1
434,1,1,16,17,1
435,0,0,17,0,0
436,1,0,17,8,0
437,1,1,17,18,1
438,0,0,18,11,0
439,1,0,18,5,0
440,1,1,18,14,0
441,0,0,19,15,0
442,1,0,19,19,1
443,1,1,19,20,1
444,0,0,20,20,1
445,1,0,20,1,0
446,1,1,20,21,1
447,0,0,21,21,1
448,1,0,21,12,0
449,1,1,21,22,1
450,0,0,22,6,0
451,1,0,22,22,1
452,1,1,22,23,1
453,0,0,23,15,0
454,1,0,23,12,0
455,1,1,23,11,0
456,0,0,24,24,1
457,1,0,24,24,1
458,1,1,24,26,0
459,0,0,25,25,1
460,1,0,25,4,0
461,1,1,25,26,1
462,0,0,26,6,0
463,1,0,26,26,1
464,1,1,26,27,1
465,0,0,27,27,1
466,1,0,27,27,1
467,1,1,27,28,1
468,0,0,28,28,1
469,1,0,28,1,0
470,1,1,28,2,0
471,0,0,29,29,1
472,1,0,29,29,1
473,1,1,29,0,0
474,0,0,30,11,0
475,1,0,30,30,1
476,1,1,30,11,0
477,0,0,31,22,0
478,1,0,31,31,1
479,1,1,31,0,1
480,0,0,0,9,0
481,1,0,0,0,1
482,1,1,0,26,0
483,0,0,1,15,0
484,1,0,1,13,0
485,1,1,1,2,1
486,0,0,2,16,0
487,1,0,2,2,1
488,1,1,2,3,1
489,0,0,3,3,1
490,1,0,3,26,0
491,1,1,3,1,0
492,0,0,4,4,1
493,1,0,4,4,1
494,1,1,4,5,1
495,0,0,5,4,0
496,1,0,5,5,1
497,1,1,5,6,1
498,0,0,6,6,1
499,1,0,6,21,0
500,1,1,6,7,1
501,0,0,7,7,1
502,1,0,7,25,0
503,1,1,7,8,1
504,0,0,8,9,0
505,1,0,8,8,1
506,1,1,8,9,1
507,0,0,9,9,1
508,1,0,9,18,0
509,1,1,9,3,0
510,0,0,10,1,0
511,1,0,10,10,1
512,1,1,10,11,1
513,0,0,11,12,0
514,1,0,11,23,0
515,1,1,11,12,1
516,0,0,12,25,0
517,1,0,12,31,0
518,1,1,12,13,1
519,0,0,13,17,0
520,1,0,13,13,1
521,1,1,13,14,1
522,0,0,14,14,1
523,1,0,14,14,1
524,1,1,14,15,1
525,0,0,15,8,0
526,1,0,15,15,1
527,1,1,15,20,0
528,0,0,16,31,0
529,1,0,16,10,0
530,1,1,16,22,0
531,0,0,17,17,1
532,1,0,17,17,1
533,1,1,17,9,0
534,0,0,18,18,1
535,1,0,18,5,0
536,1,1,18,18,0
537,0,0,19,21,0
538,1,0,19,31,0
539,1,1,19,20,1
540,0,0,20,23,0
541,1,0,20,20,1
542,1,1,20,21,1
543,0,0,21,8,0
544,1,0,21,21,1
545,1,1,21,22,1
546,0,0,22,22,1
547,1,0,22,1,0
548,1,1,22,6,0
549,0,0,23,17,0
550,1,0,23,9,0
551,1,1,23,5,0
552,0,0,24,4,0
553,1,0,24,24,1
554,1,1,24,25,1
555,0,0,25,30,0
556,1,0,25,18,0
557,1,1,25,26,1
558,0,0,26,26,1
559,1,0,26,11,0
560,1,1,26,27,1
561,0,0,27,23,0
562,1,0,27,27,1
563,1,1,27,28,1
564,0,0,28,28,1
565,1,0,28,28,1
566,1,1,28,19,0
567,0,0,29,29,1
568,1,0,29,29,1
569,1,1,29,30,1
570,0,0,30,30,1
571,1,0,30,28,0
572,1,1,30,31,1
573,0,0,31,25,0
574,1,0,31,31,1
575,1,1,31,30,0
576,0,0,0,0,1
577,1,0,0,21,0
578,1,1,0,21,0
579,0,0,1,10,0
580,1,0,1,1,1
581,1,1,1,18,0
582,0,0,2,2,1
583,1,0,2,19,0
584,1,1,2,8,0
585,0,0,3,16,0
586,1,0,3,3,1
587,1,1,3,4,1
588,0,0,4,4,1
589,1,0,4,4,1
590,1,1,4,22,0
591,0,0,5,18,0
592,1,0,5,23,0
593,1,1,5,7,0
594,0,0,6,29,0
595,1,0,6,6,1
596,1,1,6,7,1
597,0,0,7,7,1
598,1,0,7,7,1
599,1,1,7,8,1
600,0,0,8,8,1
601,1,0,8,10,0
602,1,1,8,9,1
603,0,0,9,9,1
604,1,0,9,12,0
605,1,1,9,10,1
606,0,0,10,10,1
607,1,0,10,10,1
608,1,1,10,31,0
609,0,0,11,8,0
610,1,0,11,11,1
611,1,1,11,12,1
612,0,0,12,28,0
613,1,0,12,12,1
614,1,1,12,13,1
615,0,0,13,21,0
616,1,0,13,13,1
617,1,1,13,19,0
618,0,0,14,17,0
619,1,0,14,14,1
620,1,1,14,9,0
621,0,0,15,15,1
622,1,0,15,15,1
623,1,1,15,16,1
624,0,0,16,9,0
625,1,0,16,15,0
626,1,1,16,18,0
627,0,0,17,14,0
628,1,0,17,17,1
629,1,1,17,18,1
630,0,0,18,18,1
631,1,0,18,18,1
632,1,1,18,2,0
633,0,0,19,15,0
634,1,0,19,26,0
635,1,1,19,20,1
636,0,0,20,0,0
637,1,0,20,20,1
638,1,1,20,21,1
639,0,0,21,21,1
640,1,0,21,15,0
641,1,1,21,22,1
642,0,0,22,22,1
643,1,0,22,15,0
644,1,1,22,23,1
645,0,0,23,10,0
646,1,0,23,25,0
647,1,1,23,24,1
648,0,0,24,20,0
649,1,0,24,24,1
650,1,1,24,29,0
651,0,0,25,25,1
652,1,0,25,20,0
653,1,1,25,26,1
654,0,0,26,7,0
655,1,0,26,26,1
656,1,1,26,11,0
657,0,0,27,27,1
658,1,0,27,2,0
659,1,1,27,28,1
660,0,0,28,17,0
661,1,0,28,28,1
662,1,1,28,29,1
663,0,0,29,29,1
664,1,0,29,29,1
665,1,1,29,30,1
666,0,0,30,30,1
667,1,0,30,18,0
668,1,1,30,31,1
669,0,0,31,24,0
670,1,0,31,3,0
671,1,1,31,7,0
672,0,0,0,0,1
673,1,0,0,2,0
674,1,1,0,21,0
675,0,0,1,1,1
676,1,0,1,1,1
677,1,1,1,5,0
678,0,0,2,2,1
679,1,0,2,4,0
680,1,1,2,3,1
681,0,0,3,3,1
682,1,0,3,3,1
683,1,1,3,4,1
684,0,0,4,27,0
685,1,0,4,23,0
686,1,1,4,3,0
687,0,0,5,5,1
688,1,0,5,5,1
689,1,1,5,6,1
690,0,0,6,27,0
691,1,0,6,25,0
692,1,1,6,16,0
693,0,0,7,7,1
694,1,0,7,24,0
695,1,1,7,30,0
696,0,0,8,8,1
697,1,0,8,8,1
698,1,1,8,27,0
699,0,0,9,8,0
700,1,0,9,9,1
701,1,1,9,19,0
702,0,0,10,20,0
703,1,0,10,10,1
704,1,1,10,11,1
705,0,0,11,5,0
706,1,0,11,11,1
707,1,1,11,3,0
708,0,0,12,12,1
709,1,0,12,5,0
710,1,1,12,13,1
711,0,0,13,24,0
712,1,0,13,13,1
713,1,1,13,9,0
714,0,0,14,14,1
715,1,0,14,29,0
716,1,1,14,15,1
717,0,0,15,27,0
718,1,0,15,15,1
719,1,1,15,4,0
720,0,0,16,10,0
721,1,0,16,16,1
722,1,1,16,17,1
723,0,0,17,3,0
724,1,0,17,17,1
725,1,1,17,30,0
726,0,0,18,18,1
727,1,0,18,18,1
728,1,1,18,19,1
729,0,0,19,30,0
730,1,0,19,26,0
731,1,1,19,1,0
732,0,0,20,1,0
733,1,0,20,30,0
734,1,1,20,0,0
735,0,0,21,19,0
736,1,0,21,21,1
737,1,1,21,22,1
738,0,0,22,31,0
739,1,0,22,22,1
740,1,1,22,23,1
741,0,0,23,23,1
742,1,0,23,23,1
743,1,1,23,24,1
744,0,0,24,24,1
745,1,0,24,24,1
746,1,1,24,25,1
747,0,0,25,25,1
748,1,0,25,28,0
749,1,1,25,26,1
750,0,0,26,15,0
751,1,0,26,26,1
752,1,1,26,27,1
753,0,0,27,18,0
754,1,0,27,27,1
755,1,1,27,3,0
756,0,0,28,30,0
757,1,0,28,8,0
758,1,1,28,29,1
759,0,0,29,29,1
760,1,0,29,12,0
761,1,1,29,30,1
762,0,0,30,25,0
763,1,0,30,30,1
764,1,1,30,18,0
765,0,0,31,22,0
766,1,0,31,21,0
767,1,1,31,0,1
768,0,0,0,0,1
769,1,0,0,28,0
770,1,1,0,7,0
771,0,0,1,1,1
772,1,0,1,1,1
773,1,1,1,26,0
774,0,0,2,3,0
775,1,0,2,2,1
776,1,1,2,18,0
777,0,0,3,1,0
778,1,0,3,22,0
779,1,1,3,4,1
780,0,0,4,26,0
781,1,0,4,0,0
782,1,1,4,5,1
783,0,0,5,13,0
784,1,0,5,5,1
785,1,1,5,6,1
786,0,0,6,11,0
787,1,0,6,14,0
788,1,1,6,7,1
789,0,0,7,7,1
790,1,0,7,7,1
791,1,1,7,12,0
792,0,0,8,23,0
793,1,0,8,21,0
794,1,1,8,9,1
795,0,0,9,9,1
796,1,0,9,25,0
797,1,1,9,10,1
798,0,0,10,24,0
799,1,0,10,19,0
800,1,1,10,11,1
801,0,0,11,11,1
802,1,0,11,11,1
803,1,1,11,12,1
804,0,0,12,12,1
805,1,0,12,21,0
806,1,1,12,12,0
807,0,0,13,8,0
808,1,0,13,12,0
809,1,1,13,2,0
810,0,0,14,14,1
811,1,0,14,4,0
812,1,1,14,10,0
813,0,0,15,18,0
814,1,0,15,18,0
815,1,1,15,13,0
816,0,0,16,16,1
817,1,0,16,16,1
818,1,1,16,17,1
819,0,0,17,17,1
820,1,0,17,17,1
821,1,1,17,12,0
822,0,0,18,18,1
823,1,0,18,24,0
824,1,1,18,20,0
825,0,0,19,31,0
826,1,0,19,12,0
827,1,1,19,20,1
828,0,0,20,20,1
829,1,0,20,19,0
830,1,1,20,16,0
831,0,0,21,21,1
832,1,0,21,21,1
833,1,1,21,22,1
834,0,0,22,5,0
835,1,0,22,24,0
836,1,1,22,24,0
837,0,0,23,8,0
838,1,0,23,10,0
839,1,1,23,24,1
840,0,0,24,18,0
841,1,0,24,24,1
842,1,1,24,25,1
843,0,0,25,25,1
844,1,0,25,10,0
845,1,1,25,26,1
846,0,0,26,26,1
847,1,0,26,17,0
848,1,1,26,23,0
849,0,0,27,15,0
850,1,0,27,26,0
851,1,1,27,26,0
852,0,0,28,11,0
853,1,0,28,28,1
854,1,1,28,28,0
855,0,0,29,30,0
856,1,0,29,28,0
857,1,1,29,30,1
858,0,0,30,2,0
859,1,0,30,9,0
860,1,1,30,25,0
861,0,0,31,31,1
862,1,0,31,10,0
863,1,1,31,5,0
864,0,0,0,0,1
865,1,0,0,0,1
866,1,1,0,19,0
867,0,0,1,22,0
868,1,0,1,1,1
869,1,1,1,2,1
870,0,0,2,2,1
871,1,0,2,20,0
872,1,1,2,30,0
873,0,0,3,3,1
874,1,0,3,3,1
875,1,1,3,4,1
876,0,0,4,4,1
877,1,0,4,4,1
878,1,1,4,17,0
879,0,0,5,5,1
880,1,0,5,5,1
881,1,1,5,18,0
882,0,0,6,6,1
883,1,0,6,6,1
884,1,1,6,11,0
885,0,0,7,7,1
886,1,0,7,26,0
887,1,1,7,2,0
888,0,0,8,8,1
889,1,0,8,8,1
890,1,1,8,9,1
891,0,0,9,25,0
892,1,0,9,9,1
893,1,1,9,10,1
894,0,0,10,10,1
895,1,0,10,13,0
896,1,1,10,25,0
897,0,0,11,21,0
898,1,0,11,11,1
899,1,1,11,12,1
900,0,0,12,12,1
901,1,0,12,12,1
902,1,1,12,26,0
903,0,0,13,13,1
904,1,0,13,17,0
905,1,1,13,22,0
906,0,0,14,11,0
907,1,0,14,11,0
908,1,1,14,21,0
909,0,0,15,15,1
910,1,0,15,29,0
911,1,1,15,16,1
912,0,0,16,20,0
913,1,0,16,16,1
914,1,1,16,0,0
915,0,0,17,17,1
916,1,0,17,17,1
917,1,1,17,16,0
918,0,0,18,5,0
919,1,0,18,18,1
920,1,1,18,19,1
921,0,0,19,21,0
922,1,0,19,19,1
923,1,1,19,2,0
924,0,0,20,7,0
925,1,0,20,20,1
926,1,1,20,21,1
927,0,0,21,31,0
928,1,0,21,2,0
929,1,1,21,22,1
930,0,0,22,17,0
931,1,0,22,25,0
932,1,1,22,23,1
933,0,0,23,29,0
934,1,0,23,29,0
935,1,1,23,24,1
936,0,0,24,2,0
937,1,0,24,24,1
938,1,1,24,16,0
939,0,0,25,18,0
940,1,0,25,25,1
941,1,1,25,26,1
942,0,0,26,30,0
943,1,0,26,26,1
944,1,1,26,20,0
945,0,0,27,21,0
946,1,0,27,27,1
947,1,1,27,28,1
948,0,0,28,25,0
949,1,0,28,31,0
950,1,1,28,29,1
951,0,0,29,25,0
952,1,0,29,29,1
953,1,1,29,23,0
954,0,0,30,9,0
955,1,0,30,1,0
956,1,1,30,24,0
957,0,0,31,31,1
958,1,0,31,23,0
959,1,1,31,8,0
960,0,0,0,0,1
961,1,0,0,18,0
962,1,1,0,29,0
963,0,0,1,1,1
964,1,0,1,10,0
965,1,1,1,2,1
966,0,0,2,0,0
967,1,0,2,2,1
968,1,1,2,2,0
969,0,0,3,30,0
970,1,0,3,3,1
971,1,1,3,1,0
972,0,0,4,16,0
973,1,0,4,17,0
974,1,1,4,5,1
975,0,0,5,16,0
976,1,0,5,5,1
977,1,1,5,6,1
978,0,0,6,0,0
979,1,0,6,16,0
980,1,1,6,7,1
981,0,0,7,7,1
982,1,0,7,16,0
983,1,1,7,8,1
984,0,0,8,8,1
985,1,0,8,29,0
986,1,1,8,19,0
987,0,0,9,10,0
988,1,0,9,9,1
989,1,1,9,10,1
990,0,0,10,30,0
991,1,0,10,6,0
992,1,1,10,11,1
993,0,0,11,19,0
994,1,0,11,11,1
995,1,1,11,12,1
996,0,0,12,12,1
997,1,0,12,15,0
998,1,1,12,13,1
999,0,0,13,13,1
1000,1,0,13,13,1
1001,1,1,13,14,1
1002,0,0,14,14,1
1003,1,0,14,14,1
1004,1,1,14,15,1
1005,0,0,15,16,0
1006,1,0,15,27,0
1007,1,1,15,14,0
1008,0,0,16,29,0
1009,1,0,16,18,0
1010,1,1,16,17,1
1011,0,0,17,22,0
1012,1,0,17,4,0
1013,1,1,17,23,0
1014,0,0,18,18,1
1015,1,0,18,18,1
1016,1,1,18,19,1
1017,0,0,19,6,0
1018,1,0,19,31,0
1019,1,1,19,20,1
1020,0,0,20,2,0
1021,1,0,20,6,0
1022,1,1,20,21,1
1023,0,0,21,21,1
1024,1,0,21,21,1
1025,1,1,21,22,1
1026,0,0,22,8,0
1027,1,0,22,22,1
1028,1,1,22,22,0
1029,0,0,23,26,0
1030,1,0,23,2,0
1031,1,1,23,24,1
1032,0,0,24,24,1
1033,1,0,24,24,1
1034,1,1,24,30,0
1035,0,0,25,0,0
1036,1,0,25,8,0
1037,1,1,25,16,0
1038,0,0,26,30,0
1039,1,0,26,16,0
1040,1,1,26,22,0
1041,0,0,27,22,0
1042,1,0,27,27,1
1043,1,1,27,9,0
1044,0,0,28,11,0
1045,1,0,28,10,0
1046,1,1,28,13,0
1047,0,0,29,0,0
1048,1,0,29,29,1
1049,1,1,29,30,1
1050,0,0,30,29,0
1051,1,0,30,8,0
1052,1,1,30,31,1
1053,0,0,31,12,0
1054,1,0,31,31,1
1055,1,1,31,0,1
1056,0,0,0,15,0
1057,1,0,0,30,0
1058,1,1,0,3,0
1059,0,0,1,19,0
1060,1,0,1,1,1
1061,1,1,1,12,0
1062,0,0,2,2,1
1063,1,0,2,4,0
1064,1,1,2,3,1
1065,0,0,3,19,0
1066,1,0,3,3,1
1067,1,1,3,11,0
1068,0,0,4,19,0
1069,1,0,4,17,0
1070,1,1,4,24,0
1071,0,0,5,5,1
1072,1,0,5,22,0
1073,1,1,5,21,0
1074,0,0,6,9,0
1075,1,0,6,27,0
1076,1,1,6,7,1
1077,0,0,7,7,1
1078,1,0,7,7,1
1079,1,1,7,29,0
1080,0,0,8,11,0
1081,1,0,8,8,1
1082,1,1,8,10,0
1083,0,0,9,16,0
1084,1,0,9,19,0
1085,1,1,9,10,1
1086,0,0,10,7,0
1087,1,0,10,18,0
1088,1,1,10,0,0
1089,0,0,11,11,1
1090,1,0,11,14,0
1091,1,1,11,19,0
1092,0,0,12,12,1
1093,1,0,12,12,1
1094,1,1,12,13,1
1095,0,0,13,25,0
1096,1,0,13,13,1
1097,1,1,13,8,0
1098,0,0,14,31,0
1099,1,0,14,14,1
1100,1,1,14,18,0
1101,0,0,15,15,1
1102,1,0,15,1,0
1103,1,1,15,16,1
1104,0,0,16,13,0
1105,1,0,16,11,0
1106,1,1,16,23,0
1107,0,0,17,17,1
1108,1,0,17,17,1
1109,1,1,17,18,1
1110,0,0,18,18,1
1111,1,0,18,18,1
1112,1,1,18,19,1
1113,0,0,19,19,1
1114,1,0,19,19,1
1115,1,1,19,20,1
1116,0,0,20,5,0
1117,1,0,20,20,1
1118,1,1,20,27,0
1119,0,0,21,7,0
1120,1,0,21,13,0
1121,1,1,21,20,0
1122,0,0,22,21,0
1123,1,0,22,22,1
1124,1,1,22,23,1
1125,0,0,23,23,1
1126,1,0,23,23,1
1127,1,1,23,24,1
1128,0,0,24,24,1
1129,1,0,24,7,0
1130,1,1,24,25,1
1131,0,0,25,13,0
1132,1,0,25,25,1
1133,1,1,25,26,1
1134,0,0,26,2,0
1135,1,0,26,11,0
1136,1,1,26,10,0
1137,0,0,27,15,0
1138,1,0,27,27,1
1139,1,1,27,0,0
1140,0,0,28,12,0
1141,1,0,28,28,1
1142,1,1,28,29,1
1143,0,0,29,9,0
1144,1,0,29,29,1
1145,1,1,29,10,0
1146,0,0,30,26,0
1147,1,0,30,0,0
1148,1,1,30,26,0
1149,0,0,31,9,0
1150,1,0,31,31,1
