,clock,D0,D1,D2,D3,D4,D5,D6,D7,S0,S1,S2,OUTCHANGED,CORRECT
36,36,0,0,0,0,0,1,0,0,1,0,0,1,0
37,37,0,0,0,0,0,1,0,0,1,0,1,1,1
38,38,0,0,0,0,0,1,0,0,1,1,0,0,1
39,39,0,0,0,0,0,1,0,0,1,1,1,0,1
40,40,0,0,0,0,0,1,0,1,0,0,0,0,1
41,41,0,0,0,0,0,1,0,1,0,0,1,0,1
42,42,0,0,0,0,0,1,0,1,0,1,0,1,0
43,43,0,0,0,0,0,1,0,1,0,1,1,0,1
44,44,0,0,0,0,0,1,0,1,1,0,0,1,0
45,45,0,0,0,0,0,1,0,1,1,0,1,1,1
46,46,0,0,0,0,0,1,0,1,1,1,0,0,1
47,47,0,0,0,0,0,1,0,1,1,1,1,0,0
48,48,0,0,0,0,0,1,1,0,0,0,0,1,0
49,49,0,0,0,0,0,1,1,0,0,0,1,1,0
50,50,0,0,0,0,0,1,1,0,0,1,0,1,0
51,51,0,0,0,0,0,1,1,0,0,1,1,1,1
52,52,0,0,0,0,0,1,1,0,1,0,0,1,0
53,53,0,0,0,0,0,1,1,0,1,0,1,1,1
54,54,0,0,0,0,0,1,1,0,1,1,0,0,1
55,55,0,0,0,0,0,1,1,0,1,1,1,0,1
56,56,0,0,0,0,0,1,1,1,0,0,0,1,0
57,57,0,0,0,0,0,1,1,1,0,0,1,0,1
58,58,0,0,0,0,0,1,1,1,0,1,0,0,1
59,59,0,0,0,0,0,1,1,1,0,1,1,0,0
60,60,0,0,0,0,0,1,1,1,1,0,0,0,1
61,61,0,0,0,0,0,1,1,1,1,0,1,1,1
62,62,0,0,0,0,0,1,1,1,1,1,0,0,1
63,63,0,0,0,0,0,1,1,1,1,1,1,0,0
64,64,0,0,0,0,1,0,0,0,0,0,0,0,1
65,65,0,0,0,0,1,0,0,0,0,0,1,0,0
66,66,0,0,0,0,1,0,0,0,0,1,0,1,0
67,67,0,0,0,0,1,0,0,0,0,1,1,0,1
68,68,0,0,0,0,1,0,0,0,1,0,0,0,1
69,69,0,0,0,0,1,0,0,0,1,0,1,1,0
70,70,0,0,0,0,1,0,0,0,1,1,0,0,1
71,71,0,0,0,0,1,0,0,0,1,1,1,0,1
72,72,0,0,0,0,1,0,0,1,0,0,0,0,1
73,73,0,0,0,0,1,0,0,1,0,0,1,1,1
74,74,0,0,0,0,1,0,0,1,0,1,0,1,0
75,75,0,0,0,0,1,0,0,1,0,1,1,0,1
76,76,0,0,0,0,1,0,0,1,1,0,0,1,0
77,77,0,0,0,0,1,0,0,1,1,0,1,1,0
78,78,0,0,0,0,1,0,0,1,1,1,0,0,1
79,79,0,0,0,0,1,0,0,1,1,1,1,0,0
80,80,0,0,0,0,1,0,1,0,0,0,0,0,1
81,81,0,0,0,0,1,0,1,0,0,0,1,0,0
82,82,0,0,0,0,1,0,1,0,0,1,0,0,1
83,83,0,0,0,0,1,0,1,0,0,1,1,1,1
84,84,0,0,0,0,1,0,1,0,1,0,0,0,1
85,85,0,0,0,0,1,0,1,0,1,0,1,1,0
86,86,0,0,0,0,1,0,1,0,1,1,0,1,0
87,87,0,0,0,0,1,0,1,0,1,1,1,1,0
88,88,0,0,0,0,1,0,1,1,0,0,0,1,0
89,89,0,0,0,0,1,0,1,1,0,0,1,1,1
90,90,0,0,0,0,1,0,1,1,0,1,0,1,0
91,91,0,0,0,0,1,0,1,1,0,1,1,1,1
92,92,0,0,0,0,1,0,1,1,1,0,0,1,0
93,93,0,0,0,0,1,0,1,1,1,0,1,0,1
94,94,0,0,0,0,1,0,1,1,1,1,0,1,0
95,95,0,0,0,0,1,0,1,1,1,1,1,1,1
96,96,0,0,0,0,1,1,0,0,0,0,0,0,1
97,97,0,0,0,0,1,1,0,0,0,0,1,0,0
98,98,0,0,0,0,1,1,0,0,0,1,0,1,0
99,99,0,0,0,0,1,1,0,0,0,1,1,0,1
100,100,0,0,0,0,1,1,0,0,1,0,0,0,1
101,101,0,0,0,0,1,1,0,0,1,0,1,1,1
102,102,0,0,0,0,1,1,0,0,1,1,0,0,1
103,103,0,0,0,0,1,1,0,0,1,1,1,1,0
104,104,0,0,0,0,1,1,0,1,0,0,0,0,1
105,105,0,0,0,0,1,1,0,1,0,0,1,1,1
106,106,0,0,0,0,1,1,0,1,0,1,0,1,0
107,107,0,0,0,0,1,1,0,1,0,1,1,0,1
108,108,0,0,0,0,1,1,0,1,1,0,0,0,1
109,109,0,0,0,0,1,1,0,1,1,0,1,0,0
110,110,0,0,0,0,1,1,0,1,1,1,0,1,0
111,111,0,0,0,0,1,1,0,1,1,1,1,0,0
112,112,0,0,0,0,1,1,1,0,0,0,0,0,1
113,113,0,0,0,0,1,1,1,0,0,0,1,0,0
114,114,0,0,0,0,1,1,1,0,0,1,0,1,0
115,115,0,0,0,0,1,1,1,0,0,1,1,1,1
116,116,0,0,0,0,1,1,1,0,1,0,0,1,0
117,117,0,0,0,0,1,1,1,0,1,0,1,1,1
118,118,0,0,0,0,1,1,1,0,1,1,0,0,1
119,119,0,0,0,0,1,1,1,0,1,1,1,1,0
120,120,0,0,0,0,1,1,1,1,0,0,0,0,1
121,121,0,0,0,0,1,1,1,1,0,0,1,1,1
122,122,0,0,0,0,1,1,1,1,0,1,0,0,1
123,123,0,0,0,0,1,1,1,1,0,1,1,0,0
124,124,0,0,0,0,1,1,1,1,1,0,0,0,1
125,125,0,0,0,0,1,1,1,1,1,0,1,0,0
126,126,0,0,0,0,1,1,1,1,1,1,0,1,0
127,127,0,0,0,0,1,1,1,1,1,1,1,1,1
128,128,0,0,0,1,0,0,0,0,0,0,0,1,0
129,129,0,0,0,1,0,0,0,0,0,0,1,1,0
130,130,0,0,0,1,0,0,0,0,0,1,0,0,1
131,131,0,0,0,1,0,0,0,0,0,1,1,1,0
132,132,0,0,0,1,0,0,0,0,1,0,0,1,0
133,133,0,0,0,1,0,0,0,0,1,0,1,0,1
134,134,0,0,0,1,0,0,0,0,1,1,0,1,1
135,135,0,0,0,1,0,0,0,0,1,1,1,1,0
136,136,0,0,0,1,0,0,0,1,0,0,0,1,0
137,137,0,0,0,1,0,0,0,1,0,0,1,1,0
138,138,0,0,0,1,0,0,0,1,0,1,0,1,0
139,139,0,0,0,1,0,0,0,1,0,1,1,0,1
140,140,0,0,0,1,0,0,0,1,1,0,0,1,0
141,141,0,0,0,1,0,0,0,1,1,0,1,1,0
142,142,0,0,0,1,0,0,0,1,1,1,0,0,0
143,143,0,0,0,1,0,0,0,1,1,1,1,1,1
144,144,0,0,0,1,0,0,1,0,0,0,0,0,1
145,145,0,0,0,1,0,0,1,0,0,0,1,0,1
146,146,0,0,0,1,0,0,1,0,0,1,0,1,0
147,147,0,0,0,1,0,0,1,0,0,1,1,1,1
148,148,0,0,0,1,0,0,1,0,1,0,0,0,1
149,149,0,0,0,1,0,0,1,0,1,0,1,1,0
150,150,0,0,0,1,0,0,1,0,1,1,0,1,1
151,151,0,0,0,1,0,0,1,0,1,1,1,1,0
152,152,0,0,0,1,0,0,1,1,0,0,0,0,1
153,153,0,0,0,1,0,0,1,1,0,0,1,0,1
154,154,0,0,0,1,0,0,1,1,0,1,0,1,0
155,155,0,0,0,1,0,0,1,1,0,1,1,1,1
156,156,0,0,0,1,0,0,1,1,1,0,0,1,0
157,157,0,0,0,1,0,0,1,1,1,0,1,0,1
158,158,0,0,0,1,0,0,1,1,1,1,0,1,1
159,159,0,0,0,1,0,0,1,1,1,1,1,0,0
160,160,0,0,0,1,0,1,0,0,0,0,0,1,0
161,161,0,0,0,1,0,1,0,0,0,0,1,1,0
162,162,0,0,0,1,0,1,0,0,0,1,0,1,0
163,163,0,0,0,1,0,1,0,0,0,1,1,0,1
164,164,0,0,0,1,0,1,0,0,1,0,0,1,0
165,165,0,0,0,1,0,1,0,0,1,0,1,0,0
166,166,0,0,0,1,0,1,0,0,1,1,0,1,1
167,167,0,0,0,1,0,1,0,0,1,1,1,1,0
168,168,0,0,0,1,0,1,0,1,0,0,0,0,1
169,169,0,0,0,1,0,1,0,1,0,0,1,0,1
170,170,0,0,0,1,0,1,0,1,0,1,0,1,0
171,171,0,0,0,1,0,1,0,1,0,1,1,0,1
172,172,0,0,0,1,0,1,0,1,1,0,0,1,0
173,173,0,0,0,1,0,1,0,1,1,0,1,0,0
174,174,0,0,0,1,0,1,0,1,1,1,0,0,0
175,175,0,0,0,1,0,1,0,1,1,1,1,1,1
176,176,0,0,0,1,0,1,1,0,0,0,0,0,1
177,177,0,0,0,1,0,1,1,0,0,0,1,1,0
178,178,0,0,0,1,0,1,1,0,0,1,0,1,0
179,179,0,0,0,1,0,1,1,0,0,1,1,1,1
180,180,0,0,0,1,0,1,1,0,1,0,0,1,0
181,181,0,0,0,1,0,1,1,0,1,0,1,0,0
182,182,0,0,0,1,0,1,1,0,1,1,0,1,1
183,183,0,0,0,1,0,1,1,0,1,1,1,0,1
184,184,0,0,0,1,0,1,1,1,0,0,0,0,1
185,185,0,0,0,1,0,1,1,1,0,0,1,0,1
186,186,0,0,0,1,0,1,1,1,0,1,0,0,1
187,187,0,0,0,1,0,1,1,1,0,1,1,1,1
188,188,0,0,0,1,0,1,1,1,1,0,0,1,0
189,189,0,0,0,1,0,1,1,1,1,0,1,1,1
190,190,0,0,0,1,0,1,1,1,1,1,0,0,0
191,191,0,0,0,1,0,1,1,1,1,1,1,1,1
192,192,0,0,0,1,1,0,0,0,0,0,0,0,1
193,193,0,0,0,1,1,0,0,0,0,0,1,1,1
194,194,0,0,0,1,1,0,0,0,0,1,0,0,1
195,195,0,0,0,1,1,0,0,0,0,1,1,1,0
196,196,0,0,0,1,1,0,0,0,1,0,0,1,0
197,197,0,0,0,1,1,0,0,0,1,0,1,1,0
198,198,0,0,0,1,1,0,0,0,1,1,0,1,1
199,199,0,0,0,1,1,0,0,0,1,1,1,1,0
200,200,0,0,0,1,1,0,0,1,0,0,0,1,0
201,201,0,0,0,1,1,0,0,1,0,0,1,0,0
202,202,0,0,0,1,1,0,0,1,0,1,0,0,1
203,203,0,0,0,1,1,0,0,1,0,1,1,1,0
204,204,0,0,0,1,1,0,0,1,1,0,0,0,1
205,205,0,0,0,1,1,0,0,1,1,0,1,0,1
206,206,0,0,0,1,1,0,0,1,1,1,0,1,1
207,207,0,0,0,1,1,0,0,1,1,1,1,0,0
208,208,0,0,0,1,1,0,1,0,0,0,0,0,1
209,209,0,0,0,1,1,0,1,0,0,0,1,0,0
210,210,0,0,0,1,1,0,1,0,0,1,0,0,1
211,211,0,0,0,1,1,0,1,0,0,1,1,0,0
212,212,0,0,0,1,1,0,1,0,1,0,0,0,1
213,213,0,0,0,1,1,0,1,0,1,0,1,1,0
214,214,0,0,0,1,1,0,1,0,1,1,0,1,1
215,215,0,0,0,1,1,0,1,0,1,1,1,1,0
216,216,0,0,0,1,1,0,1,1,0,0,0,1,0
217,217,0,0,0,1,1,0,1,1,0,0,1,0,0
218,218,0,0,0,1,1,0,1,1,0,1,0,1,0
219,219,0,0,0,1,1,0,1,1,0,1,1,1,1
220,220,0,0,0,1,1,0,1,1,1,0,0,0,1
221,221,0,0,0,1,1,0,1,1,1,0,1,0,1
222,222,0,0,0,1,1,0,1,1,1,1,0,0,0
223,223,0,0,0,1,1,0,1,1,1,1,1,1,1
224,224,0,0,0,1,1,1,0,0,0,0,0,0,1
225,225,0,0,0,1,1,1,0,0,0,0,1,1,1
226,226,0,0,0,1,1,1,0,0,0,1,0,1,0
227,227,0,0,0,1,1,1,0,0,0,1,1,1,0
228,228,0,0,0,1,1,1,0,0,1,0,0,1,0
229,229,0,0,0,1,1,1,0,0,1,0,1,0,0
230,230,0,0,0,1,1,1,0,0,1,1,0,0,0
231,231,0,0,0,1,1,1,0,0,1,1,1,0,1
232,232,0,0,0,1,1,1,0,1,0,0,0,1,0
233,233,0,0,0,1,1,1,0,1,0,0,1,1,1
234,234,0,0,0,1,1,1,0,1,0,1,0,1,0
235,235,0,0,0,1,1,1,0,1,0,1,1,0,1
236,236,0,0,0,1,1,1,0,1,1,0,0,0,1
237,237,0,0,0,1,1,1,0,1,1,0,1,1,1
238,238,0,0,0,1,1,1,0,1,1,1,0,1,1
239,239,0,0,0,1,1,1,0,1,1,1,1,0,0
240,240,0,0,0,1,1,1,1,0,0,0,0,1,0
241,241,0,0,0,1,1,1,1,0,0,0,1,0,0
242,242,0,0,0,1,1,1,1,0,0,1,0,1,0
243,243,0,0,0,1,1,1,1,0,0,1,1,0,0
244,244,0,0,0,1,1,1,1,0,1,0,0,0,1
245,245,0,0,0,1,1,1,1,0,1,0,1,1,1
246,246,0,0,0,1,1,1,1,0,1,1,0,1,1
247,247,0,0,0,1,1,1,1,0,1,1,1,1,0
248,248,0,0,0,1,1,1,1,1,0,0,0,1,0
249,249,0,0,0,1,1,1,1,1,0,0,1,0,0
250,250,0,0,0,1,1,1,1,1,0,1,0,0,1
251,251,0,0,0,1,1,1,1,1,0,1,1,0,0
252,252,0,0,0,1,1,1,1,1,1,0,0,0,1
253,253,0,0,0,1,1,1,1,1,1,0,1,1,1
254,254,0,0,0,1,1,1,1,1,1,1,0,1,1
255,255,0,0,0,1,1,1,1,1,1,1,1,1,1
256,256,0,0,1,0,0,0,0,0,0,0,0,1,0
257,257,0,0,1,0,0,0,0,0,0,0,1,0,1
258,258,0,0,1,0,0,0,0,0,0,1,0,0,0
259,259,0,0,1,0,0,0,0,0,0,1,1,1,0
260,260,0,0,1,0,0,0,0,0,1,0,0,0,1
261,261,0,0,1,0,0,0,0,0,1,0,1,0,1
262,262,0,0,1,0,0,0,0,0,1,1,0,0,1
263,263,0,0,1,0,0,0,0,0,1,1,1,1,0
264,264,0,0,1,0,0,0,0,1,0,0,0,0,1
265,265,0,0,1,0,0,0,0,1,0,0,1,1,0
266,266,0,0,1,0,0,0,0,1,0,1,0,0,0
267,267,0,0,1,0,0,0,0,1,0,1,1,0,1
268,268,0,0,1,0,0,0,0,1,1,0,0,1,0
269,269,0,0,1,0,0,0,0,1,1,0,1,0,1
270,270,0,0,1,0,0,0,0,1,1,1,0,1,0
271,271,0,0,1,0,0,0,0,1,1,1,1,0,0
272,272,0,0,1,0,0,0,1,0,0,0,0,1,0
273,273,0,0,1,0,0,0,1,0,0,0,1,0,1
274,274,0,0,1,0,0,0,1,0,0,1,0,0,0
275,275,0,0,1,0,0,0,1,0,0,1,1,1,1
276,276,0,0,1,0,0,0,1,0,1,0,0,1,0
277,277,0,0,1,0,0,0,1,0,1,0,1,1,0
278,278,0,0,1,0,0,0,1,0,1,1,0,1,0
279,279,0,0,1,0,0,0,1,0,1,1,1,0,1
280,280,0,0,1,0,0,0,1,1,0,0,0,1,0
281,281,0,0,1,0,0,0,1,1,0,0,1,1,0
282,282,0,0,1,0,0,0,1,1,0,1,0,1,1
283,283,0,0,1,0,0,0,1,1,0,1,1,0,0
284,284,0,0,1,0,0,0,1,1,1,0,0,1,0
285,285,0,0,1,0,0,0,1,1,1,0,1,1,0
286,286,0,0,1,0,0,0,1,1,1,1,0,0,1
287,287,0,0,1,0,0,0,1,1,1,1,1,0,0
288,288,0,0,1,0,0,1,0,0,0,0,0,1,0
289,289,0,0,1,0,0,1,0,0,0,0,1,1,0
290,290,0,0,1,0,0,1,0,0,0,1,0,1,1
291,291,0,0,1,0,0,1,0,0,0,1,1,1,0
292,292,0,0,1,0,0,1,0,0,1,0,0,1,0
293,293,0,0,1,0,0,1,0,0,1,0,1,1,1
294,294,0,0,1,0,0,1,0,0,1,1,0,1,0
295,295,0,0,1,0,0,1,0,0,1,1,1,0,1
296,296,0,0,1,0,0,1,0,1,0,0,0,1,0
297,297,0,0,1,0,0,1,0,1,0,0,1,0,1
298,298,0,0,1,0,0,1,0,1,0,1,0,0,0
299,299,0,0,1,0,0,1,0,1,0,1,1,0,1
300,300,0,0,1,0,0,1,0,1,1,0,0,0,1
301,301,0,0,1,0,0,1,0,1,1,0,1,1,1
302,302,0,0,1,0,0,1,0,1,1,1,0,1,0
303,303,0,0,1,0,0,1,0,1,1,1,1,1,1
304,304,0,0,1,0,0,1,1,0,0,0,0,1,0
305,305,0,0,1,0,0,1,1,0,0,0,1,0,1
306,306,0,0,1,0,0,1,1,0,0,1,0,1,1
307,307,0,0,1,0,0,1,1,0,0,1,1,1,1
308,308,0,0,1,0,0,1,1,0,1,0,0,0,1
309,309,0,0,1,0,0,1,1,0,1,0,1,0,0
310,310,0,0,1,0,0,1,1,0,1,1,0,1,0
311,311,0,0,1,0,0,1,1,0,1,1,1,1,0
312,312,0,0,1,0,0,1,1,1,0,0,0,1,0
313,313,0,0,1,0,0,1,1,1,0,0,1,1,0
314,314,0,0,1,0,0,1,1,1,0,1,0,0,0
315,315,0,0,1,0,0,1,1,1,0,1,1,1,1
316,316,0,0,1,0,0,1,1,1,1,0,0,1,0
317,317,0,0,1,0,0,1,1,1,1,0,1,1,1
318,318,0,0,1,0,0,1,1,1,1,1,0,1,0
319,319,0,0,1,0,0,1,1,1,1,1,1,1,1
320,320,0,0,1,0,1,0,0,0,0,0,0,1,0
321,321,0,0,1,0,1,0,0,0,0,0,1,0,0
322,322,0,0,1,0,1,0,0,0,0,1,0,0,0
323,323,0,0,1,0,1,0,0,0,0,1,1,1,0
324,324,0,0,1,0,1,0,0,0,1,0,0,1,0
325,325,0,0,1,0,1,0,0,0,1,0,1,1,0
326,326,0,0,1,0,1,0,0,0,1,1,0,0,1
327,327,0,0,1,0,1,0,0,0,1,1,1,1,0
328,328,0,0,1,0,1,0,0,1,0,0,0,0,1
329,329,0,0,1,0,1,0,0,1,0,0,1,1,1
330,330,0,0,1,0,1,0,0,1,0,1,0,0,0
331,331,0,0,1,0,1,0,0,1,0,1,1,1,0
332,332,0,0,1,0,1,0,0,1,1,0,0,0,1
333,333,0,0,1,0,1,0,0,1,1,0,1,0,1
334,334,0,0,1,0,1,0,0,1,1,1,0,0,1
335,335,0,0,1,0,1,0,0,1,1,1,1,0,0
336,336,0,0,1,0,1,0,1,0,0,0,0,0,1
337,337,0,0,1,0,1,0,1,0,0,0,1,0,0
338,338,0,0,1,0,1,0,1,0,0,1,0,0,0
339,339,0,0,1,0,1,0,1,0,0,1,1,0,0
340,340,0,0,1,0,1,0,1,0,1,0,0,0,1
341,341,0,0,1,0,1,0,1,0,1,0,1,0,1
342,342,0,0,1,0,1,0,1,0,1,1,0,0,1
343,343,0,0,1,0,1,0,1,0,1,1,1,1,0
344,344,0,0,1,0,1,0,1,1,0,0,0,0,1
345,345,0,0,1,0,1,0,1,1,0,0,1,0,0
346,346,0,0,1,0,1,0,1,1,0,1,0,0,0
347,347,0,0,1,0,1,0,1,1,0,1,1,0,0
348,348,0,0,1,0,1,0,1,1,1,0,0,0,1
349,349,0,0,1,0,1,0,1,1,1,0,1,1,0
350,350,0,0,1,0,1,0,1,1,1,1,0,1,0
351,351,0,0,1,0,1,0,1,1,1,1,1,0,0
352,352,0,0,1,0,1,1,0,0,0,0,0,1,0
353,353,0,0,1,0,1,1,0,0,0,0,1,1,1
354,354,0,0,1,0,1,1,0,0,0,1,0,1,1
355,355,0,0,1,0,1,1,0,0,0,1,1,1,0
356,356,0,0,1,0,1,1,0,0,1,0,0,1,0
357,357,0,0,1,0,1,1,0,0,1,0,1,1,1
358,358,0,0,1,0,1,1,0,0,1,1,0,0,1
359,359,0,0,1,0,1,1,0,0,1,1,1,0,1
360,360,0,0,1,0,1,1,0,1,0,0,0,0,1
361,361,0,0,1,0,1,1,0,1,0,0,1,0,0
362,362,0,0,1,0,1,1,0,1,0,1,0,1,1
363,363,0,0,1,0,1,1,0,1,0,1,1,1,0
364,364,0,0,1,0,1,1,0,1,1,0,0,0,1
365,365,0,0,1,0,1,1,0,1,1,0,1,1,1
366,366,0,0,1,0,1,1,0,1,1,1,0,1,0
367,367,0,0,1,0,1,1,0,1,1,1,1,1,1
368,368,0,0,1,0,1,1,1,0,0,0,0,1,0
369,369,0,0,1,0,1,1,1,0,0,0,1,1,1
370,370,0,0,1,0,1,1,1,0,0,1,0,0,0
371,371,0,0,1,0,1,1,1,0,0,1,1,1,1
372,372,0,0,1,0,1,1,1,0,1,0,0,1,0
373,373,0,0,1,0,1,1,1,0,1,0,1,0,0
374,374,0,0,1,0,1,1,1,0,1,1,0,0,1
375,375,0,0,1,0,1,1,1,0,1,1,1,1,0
376,376,0,0,1,0,1,1,1,1,0,0,0,1,0
377,377,0,0,1,0,1,1,1,1,0,0,1,1,1
378,378,0,0,1,0,1,1,1,1,0,1,0,0,0
379,379,0,0,1,0,1,1,1,1,0,1,1,0,0
380,380,0,0,1,0,1,1,1,1,1,0,0,1,0
381,381,0,0,1,0,1,1,1,1,1,0,1,0,0
382,382,0,0,1,0,1,1,1,1,1,1,0,1,0
383,383,0,0,1,0,1,1,1,1,1,1,1,0,0
384,384,0,0,1,1,0,0,0,0,0,0,0,1,0
385,385,0,0,1,1,0,0,0,0,0,0,1,0,1
386,386,0,0,1,1,0,0,0,0,0,1,0,0,0
387,387,0,0,1,1,0,0,0,0,0,1,1,1,0
388,388,0,0,1,1,0,0,0,0,1,0,0,1,0
389,389,0,0,1,1,0,0,0,0,1,0,1,0,1
390,390,0,0,1,1,0,0,0,0,1,1,0,1,1
391,391,0,0,1,1,0,0,0,0,1,1,1,0,1
392,392,0,0,1,1,0,0,0,1,0,0,0,1,0
393,393,0,0,1,1,0,0,0,1,0,0,1,1,0
394,394,0,0,1,1,0,0,0,1,0,1,0,1,1
395,395,0,0,1,1,0,0,0,1,0,1,1,1,0
396,396,0,0,1,1,0,0,0,1,1,0,0,0,1
397,397,0,0,1,1,0,0,0,1,1,0,1,0,1
398,398,0,0,1,1,0,0,0,1,1,1,0,0,0
399,399,0,0,1,1,0,0,0,1,1,1,1,1,1
400,400,0,0,1,1,0,0,1,0,0,0,0,1,0
401,401,0,0,1,1,0,0,1,0,0,0,1,1,0
402,402,0,0,1,1,0,0,1,0,0,1,0,1,1
403,403,0,0,1,1,0,0,1,0,0,1,1,0,0
404,404,0,0,1,1,0,0,1,0,1,0,0,0,1
405,405,0,0,1,1,0,0,1,0,1,0,1,0,1
406,406,0,0,1,1,0,0,1,0,1,1,0,0,0
407,407,0,0,1,1,0,0,1,0,1,1,1,0,1
408,408,0,0,1,1,0,0,1,1,0,0,0,0,1
409,409,0,0,1,1,0,0,1,1,0,0,1,1,0
410,410,0,0,1,1,0,0,1,1,0,1,0,0,0
411,411,0,0,1,1,0,0,1,1,0,1,1,0,0
412,412,0,0,1,1,0,0,1,1,1,0,0,0,1
413,413,0,0,1,1,0,0,1,1,1,0,1,0,1
414,414,0,0,1,1,0,0,1,1,1,1,0,0,0
415,415,0,0,1,1,0,0,1,1,1,1,1,1,1
416,416,0,0,1,1,0,1,0,0,0,0,0,0,1
417,417,0,0,1,1,0,1,0,0,0,0,1,1,0
418,418,0,0,1,1,0,1,0,0,0,1,0,1,1
419,419,0,0,1,1,0,1,0,0,0,1,1,0,1
420,420,0,0,1,1,0,1,0,0,1,0,0,1,0
421,421,0,0,1,1,0,1,0,0,1,0,1,0,0
422,422,0,0,1,1,0,1,0,0,1,1,0,0,0
423,423,0,0,1,1,0,1,0,0,1,1,1,1,0
424,424,0,0,1,1,0,1,0,1,0,0,0,0,1
425,425,0,0,1,1,0,1,0,1,0,0,1,1,0
426,426,0,0,1,1,0,1,0,1,0,1,0,1,1
427,427,0,0,1,1,0,1,0,1,0,1,1,1,0
428,428,0,0,1,1,0,1,0,1,1,0,0,0,1
429,429,0,0,1,1,0,1,0,1,1,0,1,1,1
430,430,0,0,1,1,0,1,0,1,1,1,0,0,0
431,431,0,0,1,1,0,1,0,1,1,1,1,0,0
432,432,0,0,1,1,0,1,1,0,0,0,0,1,0
433,433,0,0,1,1,0,1,1,0,0,0,1,1,0
434,434,0,0,1,1,0,1,1,0,0,1,0,0,0
435,435,0,0,1,1,0,1,1,0,0,1,1,1,1
436,436,0,0,1,1,0,1,1,0,1,0,0,0,1
437,437,0,0,1,1,0,1,1,0,1,0,1,1,1
438,438,0,0,1,1,0,1,1,0,1,1,0,0,0
439,439,0,0,1,1,0,1,1,0,1,1,1,1,0
440,440,0,0,1,1,0,1,1,1,0,0,0,0,1
441,441,0,0,1,1,0,1,1,1,0,0,1,0,1
442,442,0,0,1,1,0,1,1,1,0,1,0,1,1
443,443,0,0,1,1,0,1,1,1,0,1,1,1,1
444,444,0,0,1,1,0,1,1,1,1,0,0,0,1
445,445,0,0,1,1,0,1,1,1,1,0,1,0,0
446,446,0,0,1,1,0,1,1,1,1,1,0,1,1
447,447,0,0,1,1,0,1,1,1,1,1,1,1,1
448,448,0,0,1,1,1,0,0,0,0,0,0,1,0
449,449,0,0,1,1,1,0,0,0,0,0,1,1,1
450,450,0,0,1,1,1,0,0,0,0,1,0,0,0
451,451,0,0,1,1,1,0,0,0,0,1,1,0,1
452,452,0,0,1,1,1,0,0,0,1,0,0,0,1
453,453,0,0,1,1,1,0,0,0,1,0,1,0,1
454,454,0,0,1,1,1,0,0,0,1,1,0,1,1
455,455,0,0,1,1,1,0,0,0,1,1,1,1,0
456,456,0,0,1,1,1,0,0,1,0,0,0,0,1
457,457,0,0,1,1,1,0,0,1,0,0,1,0,0
458,458,0,0,1,1,1,0,0,1,0,1,0,1,1
459,459,0,0,1,1,1,0,0,1,0,1,1,1,0
460,460,0,0,1,1,1,0,0,1,1,0,0,0,1
461,461,0,0,1,1,1,0,0,1,1,0,1,1,0
462,462,0,0,1,1,1,0,0,1,1,1,0,1,1
