clock,D0,D1,D2,D3,D4,D5,D6,D7,S0,S1,S2,out
68,0,0,0,0,1,0,0,0,1,0,0,0
69,0,0,0,0,1,0,0,0,1,0,1,0
70,0,0,0,0,1,0,0,0,1,1,0,0
71,0,0,0,0,1,0,0,0,1,1,1,0
72,0,0,0,0,1,0,0,1,0,0,0,0
73,0,0,0,0,1,0,0,1,0,0,1,1
74,0,0,0,0,1,0,0,1,0,1,0,0
75,0,0,0,0,1,0,0,1,0,1,1,0
76,0,0,0,0,1,0,0,1,1,0,0,0
77,0,0,0,0,1,0,0,1,1,0,1,0
78,0,0,0,0,1,0,0,1,1,1,0,0
79,0,0,0,0,1,0,0,1,1,1,1,1
80,0,0,0,0,1,0,1,0,0,0,0,0
81,0,0,0,0,1,0,1,0,0,0,1,1
82,0,0,0,0,1,0,1,0,0,1,0,0
83,0,0,0,0,1,0,1,0,0,1,1,1
84,0,0,0,0,1,0,1,0,1,0,0,0
85,0,0,0,0,1,0,1,0,1,0,1,0
86,0,0,0,0,1,0,1,0,1,1,0,0
87,0,0,0,0,1,0,1,0,1,1,1,0
88,0,0,0,0,1,0,1,1,0,0,0,0
89,0,0,0,0,1,0,1,1,0,0,1,1
90,0,0,0,0,1,0,1,1,0,1,0,0
91,0,0,0,0,1,0,1,1,0,1,1,1
92,0,0,0,0,1,0,1,1,1,0,0,0
93,0,0,0,0,1,0,1,1,1,0,1,0
94,0,0,0,0,1,0,1,1,1,1,0,0
95,0,0,0,0,1,0,1,1,1,1,1,1
96,0,0,0,0,1,1,0,0,0,0,0,0
97,0,0,0,0,1,1,0,0,0,0,1,1
98,0,0,0,0,1,1,0,0,0,1,0,0
99,0,0,0,0,1,1,0,0,0,1,1,0
100,0,0,0,0,1,1,0,0,1,0,0,0
101,0,0,0,0,1,1,0,0,1,0,1,1
102,0,0,0,0,1,1,0,0,1,1,0,0
103,0,0,0,0,1,1,0,0,1,1,1,0
104,0,0,0,0,1,1,0,1,0,0,0,0
105,0,0,0,0,1,1,0,1,0,0,1,1
106,0,0,0,0,1,1,0,1,0,1,0,0
107,0,0,0,0,1,1,0,1,0,1,1,0
108,0,0,0,0,1,1,0,1,1,0,0,0
109,0,0,0,0,1,1,0,1,1,0,1,1
110,0,0,0,0,1,1,0,1,1,1,0,0
111,0,0,0,0,1,1,0,1,1,1,1,1
112,0,0,0,0,1,1,1,0,0,0,0,0
113,0,0,0,0,1,1,1,0,0,0,1,1
114,0,0,0,0,1,1,1,0,0,1,0,0
115,0,0,0,0,1,1,1,0,0,1,1,1
116,0,0,0,0,1,1,1,0,1,0,0,0
117,0,0,0,0,1,1,1,0,1,0,1,1
118,0,0,0,0,1,1,1,0,1,1,0,0
119,0,0,0,0,1,1,1,0,1,1,1,0
120,0,0,0,0,1,1,1,1,0,0,0,0
121,0,0,0,0,1,1,1,1,0,0,1,1
122,0,0,0,0,1,1,1,1,0,1,0,0
123,0,0,0,0,1,1,1,1,0,1,1,1
124,0,0,0,0,1,1,1,1,1,0,0,0
125,0,0,0,0,1,1,1,1,1,0,1,1
126,0,0,0,0,1,1,1,1,1,1,0,0
127,0,0,0,0,1,1,1,1,1,1,1,1
128,0,0,0,1,0,0,0,0,0,0,0,0
129,0,0,0,1,0,0,0,0,0,0,1,0
130,0,0,0,1,0,0,0,0,0,1,0,0
131,0,0,0,1,0,0,0,0,0,1,1,0
132,0,0,0,1,0,0,0,0,1,0,0,0
133,0,0,0,1,0,0,0,0,1,0,1,0
134,0,0,0,1,0,0,0,0,1,1,0,1
135,0,0,0,1,0,0,0,0,1,1,1,0
136,0,0,0,1,0,0,0,1,0,0,0,0
137,0,0,0,1,0,0,0,1,0,0,1,0
138,0,0,0,1,0,0,0,1,0,1,0,0
139,0,0,0,1,0,0,0,1,0,1,1,0
140,0,0,0,1,0,0,0,1,1,0,0,0
141,0,0,0,1,0,0,0,1,1,0,1,0
142,0,0,0,1,0,0,0,1,1,1,0,1
143,0,0,0,1,0,0,0,1,1,1,1,1
144,0,0,0,1,0,0,1,0,0,0,0,0
145,0,0,0,1,0,0,1,0,0,0,1,0
146,0,0,0,1,0,0,1,0,0,1,0,0
147,0,0,0,1,0,0,1,0,0,1,1,1
148,0,0,0,1,0,0,1,0,1,0,0,0
149,0,0,0,1,0,0,1,0,1,0,1,0
150,0,0,0,1,0,0,1,0,1,1,0,1
151,0,0,0,1,0,0,1,0,1,1,1,0
152,0,0,0,1,0,0,1,1,0,0,0,0
153,0,0,0,1,0,0,1,1,0,0,1,0
154,0,0,0,1,0,0,1,1,0,1,0,0
155,0,0,0,1,0,0,1,1,0,1,1,1
156,0,0,0,1,0,0,1,1,1,0,0,0
157,0,0,0,1,0,0,1,1,1,0,1,0
158,0,0,0,1,0,0,1,1,1,1,0,1
159,0,0,0,1,0,0,1,1,1,1,1,1
160,0,0,0,1,0,1,0,0,0,0,0,0
161,0,0,0,1,0,1,0,0,0,0,1,0
162,0,0,0,1,0,1,0,0,0,1,0,0
163,0,0,0,1,0,1,0,0,0,1,1,0
164,0,0,0,1,0,1,0,0,1,0,0,0
165,0,0,0,1,0,1,0,0,1,0,1,1
166,0,0,0,1,0,1,0,0,1,1,0,1
167,0,0,0,1,0,1,0,0,1,1,1,0
168,0,0,0,1,0,1,0,1,0,0,0,0
169,0,0,0,1,0,1,0,1,0,0,1,0
170,0,0,0,1,0,1,0,1,0,1,0,0
171,0,0,0,1,0,1,0,1,0,1,1,0
172,0,0,0,1,0,1,0,1,1,0,0,0
173,0,0,0,1,0,1,0,1,1,0,1,1
174,0,0,0,1,0,1,0,1,1,1,0,1
175,0,0,0,1,0,1,0,1,1,1,1,1
176,0,0,0,1,0,1,1,0,0,0,0,0
177,0,0,0,1,0,1,1,0,0,0,1,0
178,0,0,0,1,0,1,1,0,0,1,0,0
179,0,0,0,1,0,1,1,0,0,1,1,1
180,0,0,0,1,0,1,1,0,1,0,0,0
181,0,0,0,1,0,1,1,0,1,0,1,1
182,0,0,0,1,0,1,1,0,1,1,0,1
183,0,0,0,1,0,1,1,0,1,1,1,0
184,0,0,0,1,0,1,1,1,0,0,0,0
185,0,0,0,1,0,1,1,1,0,0,1,0
186,0,0,0,1,0,1,1,1,0,1,0,0
187,0,0,0,1,0,1,1,1,0,1,1,1
188,0,0,0,1,0,1,1,1,1,0,0,0
189,0,0,0,1,0,1,1,1,1,0,1,1
190,0,0,0,1,0,1,1,1,1,1,0,1
191,0,0,0,1,0,1,1,1,1,1,1,1
192,0,0,0,1,1,0,0,0,0,0,0,0
193,0,0,0,1,1,0,0,0,0,0,1,1
194,0,0,0,1,1,0,0,0,0,1,0,0
195,0,0,0,1,1,0,0,0,0,1,1,0
196,0,0,0,1,1,0,0,0,1,0,0,0
197,0,0,0,1,1,0,0,0,1,0,1,0
198,0,0,0,1,1,0,0,0,1,1,0,1
199,0,0,0,1,1,0,0,0,1,1,1,0
200,0,0,0,1,1,0,0,1,0,0,0,0
201,0,0,0,1,1,0,0,1,0,0,1,1
202,0,0,0,1,1,0,0,1,0,1,0,0
203,0,0,0,1,1,0,0,1,0,1,1,0
204,0,0,0,1,1,0,0,1,1,0,0,0
205,0,0,0,1,1,0,0,1,1,0,1,0
206,0,0,0,1,1,0,0,1,1,1,0,1
207,0,0,0,1,1,0,0,1,1,1,1,1
208,0,0,0,1,1,0,1,0,0,0,0,0
209,0,0,0,1,1,0,1,0,0,0,1,1
210,0,0,0,1,1,0,1,0,0,1,0,0
211,0,0,0,1,1,0,1,0,0,1,1,1
212,0,0,0,1,1,0,1,0,1,0,0,0
213,0,0,0,1,1,0,1,0,1,0,1,0
214,0,0,0,1,1,0,1,0,1,1,0,1
215,0,0,0,1,1,0,1,0,1,1,1,0
216,0,0,0,1,1,0,1,1,0,0,0,0
217,0,0,0,1,1,0,1,1,0,0,1,1
218,0,0,0,1,1,0,1,1,0,1,0,0
219,0,0,0,1,1,0,1,1,0,1,1,1
220,0,0,0,1,1,0,1,1,1,0,0,0
221,0,0,0,1,1,0,1,1,1,0,1,0
222,0,0,0,1,1,0,1,1,1,1,0,1
223,0,0,0,1,1,0,1,1,1,1,1,1
224,0,0,0,1,1,1,0,0,0,0,0,0
225,0,0,0,1,1,1,0,0,0,0,1,1
226,0,0,0,1,1,1,0,0,0,1,0,0
227,0,0,0,1,1,1,0,0,0,1,1,0
228,0,0,0,1,1,1,0,0,1,0,0,0
229,0,0,0,1,1,1,0,0,1,0,1,1
230,0,0,0,1,1,1,0,0,1,1,0,1
231,0,0,0,1,1,1,0,0,1,1,1,0
232,0,0,0,1,1,1,0,1,0,0,0,0
233,0,0,0,1,1,1,0,1,0,0,1,1
234,0,0,0,1,1,1,0,1,0,1,0,0
235,0,0,0,1,1,1,0,1,0,1,1,0
236,0,0,0,1,1,1,0,1,1,0,0,0
237,0,0,0,1,1,1,0,1,1,0,1,1
238,0,0,0,1,1,1,0,1,1,1,0,1
239,0,0,0,1,1,1,0,1,1,1,1,1
240,0,0,0,1,1,1,1,0,0,0,0,0
241,0,0,0,1,1,1,1,0,0,0,1,1
242,0,0,0,1,1,1,1,0,0,1,0,0
243,0,0,0,1,1,1,1,0,0,1,1,1
244,0,0,0,1,1,1,1,0,1,0,0,0
245,0,0,0,1,1,1,1,0,1,0,1,1
246,0,0,0,1,1,1,1,0,1,1,0,1
247,0,0,0,1,1,1,1,0,1,1,1,0
248,0,0,0,1,1,1,1,1,0,0,0,0
249,0,0,0,1,1,1,1,1,0,0,1,1
250,0,0,0,1,1,1,1,1,0,1,0,0
251,0,0,0,1,1,1,1,1,0,1,1,1
252,0,0,0,1,1,1,1,1,1,0,0,0
253,0,0,0,1,1,1,1,1,1,0,1,1
254,0,0,0,1,1,1,1,1,1,1,0,1
255,0,0,0,1,1,1,1,1,1,1,1,1
256,0,0,1,0,0,0,0,0,0,0,0,0
257,0,0,1,0,0,0,0,0,0,0,1,0
258,0,0,1,0,0,0,0,0,0,1,0,1
259,0,0,1,0,0,0,0,0,0,1,1,0
260,0,0,1,0,0,0,0,0,1,0,0,0
261,0,0,1,0,0,0,0,0,1,0,1,0
262,0,0,1,0,0,0,0,0,1,1,0,0
263,0,0,1,0,0,0,0,0,1,1,1,0
264,0,0,1,0,0,0,0,1,0,0,0,0
265,0,0,1,0,0,0,0,1,0,0,1,0
266,0,0,1,0,0,0,0,1,0,1,0,1
267,0,0,1,0,0,0,0,1,0,1,1,0
268,0,0,1,0,0,0,0,1,1,0,0,0
269,0,0,1,0,0,0,0,1,1,0,1,0
270,0,0,1,0,0,0,0,1,1,1,0,0
271,0,0,1,0,0,0,0,1,1,1,1,1
272,0,0,1,0,0,0,1,0,0,0,0,0
273,0,0,1,0,0,0,1,0,0,0,1,0
274,0,0,1,0,0,0,1,0,0,1,0,1
275,0,0,1,0,0,0,1,0,0,1,1,1
276,0,0,1,0,0,0,1,0,1,0,0,0
277,0,0,1,0,0,0,1,0,1,0,1,0
278,0,0,1,0,0,0,1,0,1,1,0,0
279,0,0,1,0,0,0,1,0,1,1,1,0
280,0,0,1,0,0,0,1,1,0,0,0,0
281,0,0,1,0,0,0,1,1,0,0,1,0
282,0,0,1,0,0,0,1,1,0,1,0,1
283,0,0,1,0,0,0,1,1,0,1,1,1
284,0,0,1,0,0,0,1,1,1,0,0,0
285,0,0,1,0,0,0,1,1,1,0,1,0
286,0,0,1,0,0,0,1,1,1,1,0,0
287,0,0,1,0,0,0,1,1,1,1,1,1
288,0,0,1,0,0,1,0,0,0,0,0,0
289,0,0,1,0,0,1,0,0,0,0,1,0
290,0,0,1,0,0,1,0,0,0,1,0,1
291,0,0,1,0,0,1,0,0,0,1,1,0
292,0,0,1,0,0,1,0,0,1,0,0,0
293,0,0,1,0,0,1,0,0,1,0,1,1
294,0,0,1,0,0,1,0,0,1,1,0,0
295,0,0,1,0,0,1,0,0,1,1,1,0
296,0,0,1,0,0,1,0,1,0,0,0,0
297,0,0,1,0,0,1,0,1,0,0,1,0
298,0,0,1,0,0,1,0,1,0,1,0,1
299,0,0,1,0,0,1,0,1,0,1,1,0
300,0,0,1,0,0,1,0,1,1,0,0,0
301,0,0,1,0,0,1,0,1,1,0,1,1
302,0,0,1,0,0,1,0,1,1,1,0,0
303,0,0,1,0,0,1,0,1,1,1,1,1
304,0,0,1,0,0,1,1,0,0,0,0,0
305,0,0,1,0,0,1,1,0,0,0,1,0
306,0,0,1,0,0,1,1,0,0,1,0,1
307,0,0,1,0,0,1,1,0,0,1,1,1
308,0,0,1,0,0,1,1,0,1,0,0,0
309,0,0,1,0,0,1,1,0,1,0,1,1
310,0,0,1,0,0,1,1,0,1,1,0,0
311,0,0,1,0,0,1,1,0,1,1,1,0
312,0,0,1,0,0,1,1,1,0,0,0,0
313,0,0,1,0,0,1,1,1,0,0,1,0
314,0,0,1,0,0,1,1,1,0,1,0,1
315,0,0,1,0,0,1,1,1,0,1,1,1
316,0,0,1,0,0,1,1,1,1,0,0,0
317,0,0,1,0,0,1,1,1,1,0,1,1
318,0,0,1,0,0,1,1,1,1,1,0,0
319,0,0,1,0,0,1,1,1,1,1,1,1
320,0,0,1,0,1,0,0,0,0,0,0,0
321,0,0,1,0,1,0,0,0,0,0,1,1
322,0,0,1,0,1,0,0,0,0,1,0,1
323,0,0,1,0,1,0,0,0,0,1,1,0
324,0,0,1,0,1,0,0,0,1,0,0,0
325,0,0,1,0,1,0,0,0,1,0,1,0
326,0,0,1,0,1,0,0,0,1,1,0,0
327,0,0,1,0,1,0,0,0,1,1,1,0
328,0,0,1,0,1,0,0,1,0,0,0,0
329,0,0,1,0,1,0,0,1,0,0,1,1
330,0,0,1,0,1,0,0,1,0,1,0,1
331,0,0,1,0,1,0,0,1,0,1,1,0
332,0,0,1,0,1,0,0,1,1,0,0,0
333,0,0,1,0,1,0,0,1,1,0,1,0
334,0,0,1,0,1,0,0,1,1,1,0,0
335,0,0,1,0,1,0,0,1,1,1,1,1
336,0,0,1,0,1,0,1,0,0,0,0,0
337,0,0,1,0,1,0,1,0,0,0,1,1
338,0,0,1,0,1,0,1,0,0,1,0,1
339,0,0,1,0,1,0,1,0,0,1,1,1
340,0,0,1,0,1,0,1,0,1,0,0,0
341,0,0,1,0,1,0,1,0,1,0,1,0
342,0,0,1,0,1,0,1,0,1,1,0,0
343,0,0,1,0,1,0,1,0,1,1,1,0
344,0,0,1,0,1,0,1,1,0,0,0,0
345,0,0,1,0,1,0,1,1,0,0,1,1
346,0,0,1,0,1,0,1,1,0,1,0,1
347,0,0,1,0,1,0,1,1,0,1,1,1
348,0,0,1,0,1,0,1,1,1,0,0,0
349,0,0,1,0,1,0,1,1,1,0,1,0
350,0,0,1,0,1,0,1,1,1,1,0,0
351,0,0,1,0,1,0,1,1,1,1,1,1
352,0,0,1,0,1,1,0,0,0,0,0,0
353,0,0,1,0,1,1,0,0,0,0,1,1
354,0,0,1,0,1,1,0,0,0,1,0,1
355,0,0,1,0,1,1,0,0,0,1,1,0
356,0,0,1,0,1,1,0,0,1,0,0,0
357,0,0,1,0,1,1,0,0,1,0,1,1
358,0,0,1,0,1,1,0,0,1,1,0,0
359,0,0,1,0,1,1,0,0,1,1,1,0
360,0,0,1,0,1,1,0,1,0,0,0,0
361,0,0,1,0,1,1,0,1,0,0,1,1
362,0,0,1,0,1,1,0,1,0,1,0,1
363,0,0,1,0,1,1,0,1,0,1,1,0
364,0,0,1,0,1,1,0,1,1,0,0,0
365,0,0,1,0,1,1,0,1,1,0,1,1
366,0,0,1,0,1,1,0,1,1,1,0,0
367,0,0,1,0,1,1,0,1,1,1,1,1
368,0,0,1,0,1,1,1,0,0,0,0,0
369,0,0,1,0,1,1,1,0,0,0,1,1
370,0,0,1,0,1,1,1,0,0,1,0,1
371,0,0,1,0,1,1,1,0,0,1,1,1
372,0,0,1,0,1,1,1,0,1,0,0,0
373,0,0,1,0,1,1,1,0,1,0,1,1
374,0,0,1,0,1,1,1,0,1,1,0,0
375,0,0,1,0,1,1,1,0,1,1,1,0
376,0,0,1,0,1,1,1,1,0,0,0,0
377,0,0,1,0,1,1,1,1,0,0,1,1
378,0,0,1,0,1,1,1,1,0,1,0,1
379,0,0,1,0,1,1,1,1,0,1,1,1
380,0,0,1,0,1,1,1,1,1,0,0,0
381,0,0,1,0,1,1,1,1,1,0,1,1
382,0,0,1,0,1,1,1,1,1,1,0,0
383,0,0,1,0,1,1,1,1,1,1,1,1
384,0,0,1,1,0,0,0,0,0,0,0,0
385,0,0,1,1,0,0,0,0,0,0,1,0
386,0,0,1,1,0,0,0,0,0,1,0,1
387,0,0,1,1,0,0,0,0,0,1,1,0
388,0,0,1,1,0,0,0,0,1,0,0,0
389,0,0,1,1,0,0,0,0,1,0,1,0
390,0,0,1,1,0,0,0,0,1,1,0,1
391,0,0,1,1,0,0,0,0,1,1,1,0
392,0,0,1,1,0,0,0,1,0,0,0,0
393,0,0,1,1,0,0,0,1,0,0,1,0
394,0,0,1,1,0,0,0,1,0,1,0,1
395,0,0,1,1,0,0,0,1,0,1,1,0
396,0,0,1,1,0,0,0,1,1,0,0,0
397,0,0,1,1,0,0,0,1,1,0,1,0
398,0,0,1,1,0,0,0,1,1,1,0,1
399,0,0,1,1,0,0,0,1,1,1,1,1
400,0,0,1,1,0,0,1,0,0,0,0,0
401,0,0,1,1,0,0,1,0,0,0,1,0
402,0,0,1,1,0,0,1,0,0,1,0,1
403,0,0,1,1,0,0,1,0,0,1,1,1
404,0,0,1,1,0,0,1,0,1,0,0,0
405,0,0,1,1,0,0,1,0,1,0,1,0
406,0,0,1,1,0,0,1,0,1,1,0,1
407,0,0,1,1,0,0,1,0,1,1,1,0
408,0,0,1,1,0,0,1,1,0,0,0,0
409,0,0,1,1,0,0,1,1,0,0,1,0
410,0,0,1,1,0,0,1,1,0,1,0,1
411,0,0,1,1,0,0,1,1,0,1,1,1
412,0,0,1,1,0,0,1,1,1,0,0,0
413,0,0,1,1,0,0,1,1,1,0,1,0
414,0,0,1,1,0,0,1,1,1,1,0,1
415,0,0,1,1,0,0,1,1,1,1,1,1
416,0,0,1,1,0,1,0,0,0,0,0,0
417,0,0,1,1,0,1,0,0,0,0,1,0
418,0,0,1,1,0,1,0,0,0,1,0,1
419,0,0,1,1,0,1,0,0,0,1,1,0
420,0,0,1,1,0,1,0,0,1,0,0,0
421,0,0,1,1,0,1,0,0,1,0,1,1
422,0,0,1,1,0,1,0,0,1,1,0,1
423,0,0,1,1,0,1,0,0,1,1,1,0
424,0,0,1,1,0,1,0,1,0,0,0,0
425,0,0,1,1,0,1,0,1,0,0,1,0
426,0,0,1,1,0,1,0,1,0,1,0,1
427,0,0,1,1,0,1,0,1,0,1,1,0
428,0,0,1,1,0,1,0,1,1,0,0,0
429,0,0,1,1,0,1,0,1,1,0,1,1
430,0,0,1,1,0,1,0,1,1,1,0,1
431,0,0,1,1,0,1,0,1,1,1,1,1
432,0,0,1,1,0,1,1,0,0,0,0,0
433,0,0,1,1,0,1,1,0,0,0,1,0
434,0,0,1,1,0,1,1,0,0,1,0,1
435,0,0,1,1,0,1,1,0,0,1,1,1
436,0,0,1,1,0,1,1,0,1,0,0,0
437,0,0,1,1,0,1,1,0,1,0,1,1
438,0,0,1,1,0,1,1,0,1,1,0,1
439,0,0,1,1,0,1,1,0,1,1,1,0
440,0,0,1,1,0,1,1,1,0,0,0,0
441,0,0,1,1,0,1,1,1,0,0,1,0
442,0,0,1,1,0,1,1,1,0,1,0,1
443,0,0,1,1,0,1,1,1,0,1,1,1
444,0,0,1,1,0,1,1,1,1,0,0,0
445,0,0,1,1,0,1,1,1,1,0,1,1
446,0,0,1,1,0,1,1,1,1,1,0,1
447,0,0,1,1,0,1,1,1,1,1,1,1
448,0,0,1,1,1,0,0,0,0,0,0,0
449,0,0,1,1,1,0,0,0,0,0,1,1
450,0,0,1,1,1,0,0,0,0,1,0,1
451,0,0,1,1,1,0,0,0,0,1,1,0
452,0,0,1,1,1,0,0,0,1,0,0,0
453,0,0,1,1,1,0,0,0,1,0,1,0
454,0,0,1,1,1,0,0,0,1,1,0,1
455,0,0,1,1,1,0,0,0,1,1,1,0
456,0,0,1,1,1,0,0,1,0,0,0,0
457,0,0,1,1,1,0,0,1,0,0,1,1
458,0,0,1,1,1,0,0,1,0,1,0,1
459,0,0,1,1,1,0,0,1,0,1,1,0
460,0,0,1,1,1,0,0,1,1,0,0,0
461,0,0,1,1,1,0,0,1,1,0,1,0
462,0,0,1,1,1,0,0,1,1,1,0,1
463,0,0,1,1,1,0,0,1,1,1,1,1
464,0,0,1,1,1,0,1,0,0,0,0,0
465,0,0,1,1,1,0,1,0,0,0,1,1
466,0,0,1,1,1,0,1,0,0,1,0,1
467,0,0,1,1,1,0,1,0,0,1,1,1
468,0,0,1,1,1,0,1,0,1,0,0,0
469,0,0,1,1,1,0,1,0,1,0,1,0
470,0,0,1,1,1,0,1,0,1,1,0,1
471,0,0,1,1,1,0,1,0,1,1,1,0
472,0,0,1,1,1,0,1,1,0,0,0,0
473,0,0,1,1,1,0,1,1,0,0,1,1
474,0,0,1,1,1,0,1,1,0,1,0,1
475,0,0,1,1,1,0,1,1,0,1,1,1
476,0,0,1,1,1,0,1,1,1,0,0,0
477,0,0,1,1,1,0,1,1,1,0,1,0
478,0,0,1,1,1,0,1,1,1,1,0,1
479,0,0,1,1,1,0,1,1,1,1,1,1
480,0,0,1,1,1,1,0,0,0,0,0,0
481,0,0,1,1,1,1,0,0,0,0,1,1
482,0,0,1,1,1,1,0,0,0,1,0,1
483,0,0,1,1,1,1,0,0,0,1,1,0
484,0,0,1,1,1,1,0,0,1,0,0,0
485,0,0,1,1,1,1,0,0,1,0,1,1
486,0,0,1,1,1,1,0,0,1,1,0,1
487,0,0,1,1,1,1,0,0,1,1,1,0
488,0,0,1,1,1,1,0,1,0,0,0,0
489,0,0,1,1,1,1,0,1,0,0,1,1
490,0,0,1,1,1,1,0,1,0,1,0,1
491,0,0,1,1,1,1,0,1,0,1,1,0
492,0,0,1,1,1,1,0,1,1,0,0,0
493,0,0,1,1,1,1,0,1,1,0,1,1
494,0,0,1,1,1,1,0,1,1,1,0,1
495,0,0,1,1,1,1,0,1,1,1,1,1
496,0,0,1,1,1,1,1,0,0,0,0,0
497,0,0,1,1,1,1,1,0,0,0,1,1
498,0,0,1,1,1,1,1,0,0,1,0,1
499,0,0,1,1,1,1,1,0,0,1,1,1
500,0,0,1,1,1,1,1,0,1,0,0,0
501,0,0,1,1,1,1,1,0,1,0,1,1
502,0,0,1,1,1,1,1,0,1,1,0,1
503,0,0,1,1,1,1,1,0,1,1,1,0
504,0,0,1,1,1,1,1,1,0,0,0,0
505,0,0,1,1,1,1,1,1,0,0,1,1
506,0,0,1,1,1,1,1,1,0,1,0,1
507,0,0,1,1,1,1,1,1,0,1,1,1
508,0,0,1,1,1,1,1,1,1,0,0,0
509,0,0,1,1,1,1,1,1,1,0,1,1
510,0,0,1,1,1,1,1,1,1,1,0,1
511,0,0,1,1,1,1,1,1,1,1,1,1
512,0,1,0,0,0,0,0,0,0,0,0,0
513,0,1,0,0,0,0,0,0,0,0,1,0
514,0,1,0,0,0,0,0,0,0,1,0,0
515,0,1,0,0,0,0,0,0,0,1,1,0
516,0,1,0,0,0,0,0,0,1,0,0,1
517,0,1,0,0,0,0,0,0,1,0,1,0
518,0,1,0,0,0,0,0,0,1,1,0,0
519,0,1,0,0,0,0,0,0,1,1,1,0
520,0,1,0,0,0,0,0,1,0,0,0,0
521,0,1,0,0,0,0,0,1,0,0,1,0
522,0,1,0,0,0,0,0,1,0,1,0,0
523,0,1,0,0,0,0,0,1,0,1,1,0
524,0,1,0,0,0,0,0,1,1,0,0,1
525,0,1,0,0,0,0,0,1,1,0,1,0
526,0,1,0,0,0,0,0,1,1,1,0,0
527,0,1,0,0,0,0,0,1,1,1,1,1
528,0,1,0,0,0,0,1,0,0,0,0,0
529,0,1,0,0,0,0,1,0,0,0,1,0
530,0,1,0,0,0,0,1,0,0,1,0,0
531,0,1,0,0,0,0,1,0,0,1,1,1
532,0,1,0,0,0,0,1,0,1,0,0,1
533,0,1,0,0,0,0,1,0,1,0,1,0
534,0,1,0,0,0,0,1,0,1,1,0,0
